,sWord count,unique sWords
,10/24/2015,
Aeschylus_Agamemnon.xml,9527,3201
Aeschylus_Ch.xml,5501,2016
Aeschylus_Eumenides.xml,6148,2200
Aeschylus_Persians.xml,5961,2139
Aeschylus_Prometheus.xml,6823,2501
Aeschylus_Seven.xml,5974,2133
Aeschylus_Suppliants.xml,5748,1938
Athenaeus_Book12-13.xml,43115,12702
DiodorusSic_Book11.xml,24223,6594
FragPolybius,,7814
Herodotus_Book1.xml,31158,12702
Hesiod_Shield.xml,3705,1212
Hesiod_Theogony.xml,7761,2365
Hesiod_Works.xml,6654,1992
Iliad_Iliad.xml,123727,20390
Odyssey_Odyssey.xml,98229,17368
Plutarch_Alcibiades.xml,10640,4433
Plutarch_Lycurgus.xml,9996,4457
Polybius_Book1.xml,26894,9455
Sophocles_Ajax.xml,9110,3193
Sophocles_Antigone.xml,8443,3217
Sophocles_Electra.xml,10121,3716
Sophocles_OT.xml,10752,3987
Sophocles_Trachiniae.xml,8316,3262
Thucydides_Book1.xml,23913,8856
,,
Total,502439,90409
