"","file","sent","index","words","dependency","relation","morph","depPerWord","relPerWord","morphPerWord","DepDist","topSentNum"
"1","Polybius 21.1-10",34,1,15,26,43,32,1.733333333,2.866666667,2.133333333,2.7857,34
"2","Polybius 21.1-10",35,2,18,26,47,40,1.444444444,2.611111111,2.222222222,2.4118,35
"3","Polybius 21.1-10",36,3,18,31,40,42,1.722222222,2.222222222,2.333333333,4,36
"4","Polybius 21.1-10",37,4,30,59,59,41,1.966666667,1.966666667,1.366666667,5.2069,37
"5","Polybius 21.1-10",38,5,20,59,63,34,2.95,3.15,1.7,4.7895,38
"6","Polybius 21.1-10",39,6,57,156,146,115,2.736842105,2.561403509,2.01754386,4.1607,39
"7","Polybius 21.1-10",40,7,26,104,94,61,4,3.615384615,2.346153846,5.0769,40
"8","Polybius 21.1-10",41,8,19,42,43,32,2.210526316,2.263157895,1.684210526,4.2778,41
"9","Polybius 21.1-10",42,9,23,45,45,31,1.956521739,1.956521739,1.347826087,3.6818,42
"10","Polybius 21.1-10",43,10,15,48,47,40,3.2,3.133333333,2.666666667,2.7143,43
"11","Polybius 21.1-10",44,11,8,26,26,19,3.25,3.25,2.375,2.75,44
"12","Polybius 21.1-10",45,12,3,6,11,9,2,3.666666667,3,1.5,45
"13","Polybius 21.1-10",46,13,25,63,51,98,2.52,2.04,3.92,2.7083,46
"14","Polybius 21.1-10",47,14,35,84,85,60,2.4,2.428571429,1.714285714,3.4412,47
"15","Polybius 21.1-10",48,15,27,67,73,50,2.481481481,2.703703704,1.851851852,3.3462,48
"16","Polybius 21.1-10",49,16,18,55,51,28,3.055555556,2.833333333,1.555555556,3.8889,49
"17","Polybius 21.1-10",50,17,25,72,66,41,2.88,2.64,1.64,3.7917,50
"18","Polybius 21.1-10",51,18,49,137,126,135,2.795918367,2.571428571,2.755102041,3.3958,51
"19","Polybius 21.1-10",52,19,14,24,48,26,1.714285714,3.428571429,1.857142857,3,52
"20","Polybius 21.1-10",53,20,36,154,90,97,4.277777778,2.5,2.694444444,3.7714,53
"21","Polybius 21.1-10",54,21,18,34,52,24,1.888888889,2.888888889,1.333333333,3.1765,54
"22","Polybius 21.1-10",55,22,13,29,58,25,2.230769231,4.461538462,1.923076923,2.75,55
"23","Polybius 21.1-10",56,23,44,120,126,99,2.727272727,2.863636364,2.25,4.5581,56
"24","Polybius 21.1-10",57,24,33,88,73,61,2.666666667,2.212121212,1.848484848,3.75,57
"25","Polybius 21.1-10",58,25,16,32,46,24,2,2.875,1.5,2.4,58
"26","Polybius 21.1-10",59,26,20,40,47,32,2,2.35,1.6,3.3158,59
"27","Polybius 21.1-10",60,27,13,26,43,15,2,3.307692308,1.153846154,4.0833,60
"28","Polybius 21.1-10",61,28,15,35,51,26,2.333333333,3.4,1.733333333,3.7143,61
"29","Polybius 21.1-10",62,29,15,54,59,37,3.6,3.933333333,2.466666667,6.6,62
"30","Polybius 21.1-10",63,30,9,32,36,15,3.555555556,4,1.666666667,3.7778,63
"31","Polybius 21.1-10",64,31,14,39,41,22,2.785714286,2.928571429,1.571428571,3.0769,64
"32","Polybius 21.1-10",65,32,38,131,112,63,3.447368421,2.947368421,1.657894737,7.9474,65
"33","Polybius 21.1-10",66,33,21,53,55,55,2.523809524,2.619047619,2.619047619,3,66
"34","Polybius 21.1-10",67,34,27,154,87,74,5.703703704,3.222222222,2.740740741,5.037,67
"35","Polybius 21.1-10",68,35,6,11,20,13,1.833333333,3.333333333,2.166666667,2.6,68
"36","Polybius 21.1-10",69,36,22,41,64,32,1.863636364,2.909090909,1.454545455,2.7143,69
"37","Polybius 21.1-10",70,37,13,22,34,21,1.692307692,2.615384615,1.615384615,2.5,70
"38","Polybius 21.1-10",71,38,35,162,78,92,4.628571429,2.228571429,2.628571429,3.6765,71
"39","Polybius 21.11-20",1,39,22,30,45,33,1.363636364,2.045454545,1.5,3.1429,1
"40","Polybius 21.11-20",2,40,17,26,45,31,1.529411765,2.647058824,1.823529412,3.125,2
"41","Polybius 21.11-20",3,41,16,24,40,28,1.5,2.5,1.75,2.2,3
"42","Polybius 21.11-20",4,42,40,131,106,78,3.275,2.65,1.95,3.5385,4
"43","Polybius 21.11-20",5,43,45,183,181,203,4.066666667,4.022222222,4.511111111,4.8667,5
"44","Polybius 21.11-20",6,44,22,61,49,51,2.772727273,2.227272727,2.318181818,5.5217,6
"45","Polybius 21.11-20",7,45,12,41,39,35,3.416666667,3.25,2.916666667,3.5455,7
"46","Polybius 21.11-20",8,46,47,214,133,107,4.553191489,2.829787234,2.276595745,7.4167,8
"47","Polybius 21.11-20",9,47,19,47,55,28,2.473684211,2.894736842,1.473684211,3.6316,9
"48","Polybius 21.11-20",10,48,19,36,50,31,1.894736842,2.631578947,1.631578947,2.3333,10
"49","Polybius 21.11-20",11,49,7,20,28,15,2.857142857,4,2.142857143,3,11
"50","Polybius 21.11-20",12,50,8,14,24,15,1.75,3,1.875,2.5714,12
"51","Polybius 21.11-20",13,51,23,54,57,54,2.347826087,2.47826087,2.347826087,3.3636,13
"52","Polybius 21.11-20",14,52,46,241,132,98,5.239130435,2.869565217,2.130434783,5.7778,14
"53","Polybius 21.11-20",16,53,14,21,30,32,1.5,2.142857143,2.285714286,3.6154,16
"54","Polybius 21.11-20",17,54,44,102,95,50,2.318181818,2.159090909,1.136363636,4.1163,17
"55","Polybius 21.11-20",18,55,28,63,85,45,2.25,3.035714286,1.607142857,2.8148,18
"56","Polybius 21.11-20",19,56,23,97,85,95,4.217391304,3.695652174,4.130434783,5.4348,19
"57","Polybius 21.11-20",20,57,16,45,46,25,2.8125,2.875,1.5625,4.875,20
"58","Polybius 21.11-20",21,58,28,94,67,47,3.357142857,2.392857143,1.678571429,5.75,21
"59","Polybius 21.11-20",22,59,68,238,180,110,3.5,2.647058824,1.617647059,4.9851,22
"60","Polybius 21.11-20",23,60,26,57,70,93,2.192307692,2.692307692,3.576923077,3.4,23
"61","Polybius 21.11-20",24,61,27,61,80,62,2.259259259,2.962962963,2.296296296,3,24
"62","Polybius 21.11-20",25,62,17,73,52,43,4.294117647,3.058823529,2.529411765,3.7059,25
"63","Polybius 21.11-20",26,63,6,13,26,15,2.166666667,4.333333333,2.5,2.2,26
"64","Polybius 21.11-20",27,64,16,25,46,21,1.5625,2.875,1.3125,2.0667,27
"65","Polybius 21.11-20",28,65,32,74,72,57,2.3125,2.25,1.78125,2.9677,28
"66","Polybius 21.11-20",29,66,52,174,150,102,3.346153846,2.884615385,1.961538462,3.7059,29
"67","Polybius 21.11-20",30,67,14,39,49,23,2.785714286,3.5,1.642857143,2.9286,30
"68","Polybius 21.11-20",31,68,37,120,118,67,3.243243243,3.189189189,1.810810811,3.8056,31
"69","Polybius 21.11-20",32,69,14,66,59,59,4.714285714,4.214285714,4.214285714,2.9286,32
"70","Polybius 21.11-20",33,70,11,38,37,37,3.454545455,3.363636364,3.363636364,3.9091,33
"71","Polybius 21.11-20",34,71,8,27,40,17,3.375,5,2.125,2.875,34
"72","Polybius 21.11-20",35,72,22,54,111,37,2.454545455,5.045454545,1.681818182,2.619,35
"73","Polybius 21.11-20",36,73,12,32,43,13,2.666666667,3.583333333,1.083333333,3.5,36
"74","Polybius 21.11-20",37,74,22,61,56,36,2.772727273,2.545454545,1.636363636,3.7727,37
"75","Polybius 21.11-20",38,75,30,77,73,62,2.566666667,2.433333333,2.066666667,6.1379,38
"76","Polybius 21.11-20",39,76,10,19,27,16,1.9,2.7,1.6,2.3333,39
"77","Polybius 21.11-20",40,77,14,48,45,27,3.428571429,3.214285714,1.928571429,3.7692,40
"78","Polybius 21.11-20",41,78,16,29,32,43,1.8125,2,2.6875,2.4667,41
"79","Polybius 21.11-20",42,79,35,100,134,49,2.857142857,3.828571429,1.4,5.6571,42
"80","Polybius 21.11-20",43,80,21,39,52,25,1.857142857,2.476190476,1.19047619,2.75,43
"81","Polybius 21.11-20",44,81,27,53,64,47,1.962962963,2.37037037,1.740740741,2.8846,44
"82","Polybius 21.11-20",45,82,19,47,80,41,2.473684211,4.210526316,2.157894737,5.8421,45
"83","Polybius 21.11-20",46,83,32,84,110,69,2.625,3.4375,2.15625,4.2903,46
"84","Polybius 21.11-20",47,84,31,78,95,41,2.516129032,3.064516129,1.322580645,4.6774,47
"85","Polybius 21.11-20",48,85,13,19,38,23,1.461538462,2.923076923,1.769230769,2.0833,48
"86","Polybius 21.11-20",49,86,15,26,32,26,1.733333333,2.133333333,1.733333333,2.9286,49
"87","Polybius 21.11-20",50,87,12,20,35,15,1.666666667,2.916666667,1.25,2.5455,50
"88","Polybius 21.11-20",51,88,15,33,49,26,2.2,3.266666667,1.733333333,2.2857,51
"89","Polybius 21.11-20",52,89,30,76,94,57,2.533333333,3.133333333,1.9,5.2069,52
"90","Polybius 21.11-20",53,90,23,93,75,39,4.043478261,3.260869565,1.695652174,5.6818,53
"91","Polybius 21.11-20",54,91,19,33,54,39,1.736842105,2.842105263,2.052631579,2.1667,54
"92","Polybius 21.11-20",55,92,6,24,26,12,4,4.333333333,2,1.6,55
"93","Polybius 21.11-20",56,93,25,90,76,82,3.6,3.04,3.28,2.875,56
"94","Polybius 21.11-20",57,94,21,42,67,30,2,3.19047619,1.428571429,2.3,57
"95","Polybius 21.11-20",58,95,15,26,49,20,1.733333333,3.266666667,1.333333333,3.1429,58
