Authors,prob_ratio,chunk_id
Aeschylus,6.37E-05,Aeschylus_Agamemnon-1
Aeschylus,6.37E-05,Aeschylus_Agamemnon-2
Aeschylus,6.37E-05,Aeschylus_Agamemnon-3
Aeschylus,6.37E-05,Aeschylus_Agamemnon-4
Aeschylus,6.37E-05,Aeschylus_Agamemnon-5
Aeschylus,6.37E-05,Aeschylus_Agamemnon-6
Aeschylus,6.37E-05,Aeschylus_Agamemnon-7
Aeschylus,6.37E-05,Aeschylus_Agamemnon-8
Aeschylus,6.37E-05,Aeschylus_Agamemnon-9
Aeschylus,6.37E-05,Aeschylus_Agamemnon-10
Aeschylus,6.37E-05,Aeschylus_Agamemnon-11
Aeschylus,6.37E-05,Aeschylus_Agamemnon-12
Aeschylus,6.37E-05,Aeschylus_Agamemnon-13
Aeschylus,6.37E-05,Aeschylus_Agamemnon-14
Aeschylus,6.37E-05,Aeschylus_Agamemnon-15
Aeschylus,6.37E-05,Aeschylus_Agamemnon-16
Aeschylus,6.37E-05,Aeschylus_Agamemnon-17
Aeschylus,6.37E-05,Aeschylus_Agamemnon-18
Aeschylus,6.37E-05,Aeschylus_Agamemnon-19
Aeschylus,6.37E-05,Aeschylus_Agamemnon-20
Aeschylus,6.37E-05,Aeschylus_Agamemnon-21
Aeschylus,6.37E-05,Aeschylus_Agamemnon-22
Aeschylus,6.37E-05,Aeschylus_Agamemnon-23
Aeschylus,6.37E-05,Aeschylus_Agamemnon-24
Aeschylus,6.37E-05,Aeschylus_Agamemnon-25
Aeschylus,6.37E-05,Aeschylus_Agamemnon-26
Aeschylus,6.37E-05,Aeschylus_Agamemnon-27
Aeschylus,6.37E-05,Aeschylus_Agamemnon-28
Aeschylus,6.37E-05,Aeschylus_Agamemnon-29
Aeschylus,6.37E-05,Aeschylus_Agamemnon-30
Aeschylus,6.37E-05,Aeschylus_Agamemnon-31
Aeschylus,6.37E-05,Aeschylus_Agamemnon-32
Aeschylus,6.37E-05,Aeschylus_Agamemnon-33
Aeschylus,6.37E-05,Aeschylus_Agamemnon-34
Aeschylus,6.37E-05,Aeschylus_Agamemnon-35
Aeschylus,6.37E-05,Aeschylus_Agamemnon-36
Aeschylus,6.37E-05,Aeschylus_Agamemnon-37
Aeschylus,6.37E-05,Aeschylus_Agamemnon-38
Aeschylus,6.37E-05,Aeschylus_Agamemnon-39
Aeschylus,6.37E-05,Aeschylus_Agamemnon-40
Aeschylus,6.37E-05,Aeschylus_Agamemnon-41
Aeschylus,6.37E-05,Aeschylus_Agamemnon-42
Aeschylus,6.37E-05,Aeschylus_Agamemnon-43
Aeschylus,6.37E-05,Aeschylus_Agamemnon-44
Aeschylus,6.37E-05,Aeschylus_Agamemnon-45
Aeschylus,6.37E-05,Aeschylus_Agamemnon-46
Aeschylus,6.37E-05,Aeschylus_Agamemnon-47
Aeschylus,6.37E-05,Aeschylus_Agamemnon-48
Aeschylus,6.37E-05,Aeschylus_Agamemnon-49
Aeschylus,6.37E-05,Aeschylus_Agamemnon-50
Aeschylus,6.37E-05,Aeschylus_Agamemnon-51
Aeschylus,6.37E-05,Aeschylus_Agamemnon-52
Aeschylus,6.37E-05,Aeschylus_Agamemnon-53
