authors,prob_ratio,chunk_id
Aeschylus,9.10E-05,Aeschylus_Agamemnon-1
Aeschylus,9.10E-05,Aeschylus_Agamemnon-2
Aeschylus,9.10E-05,Aeschylus_Agamemnon-3
Aeschylus,9.10E-05,Aeschylus_Agamemnon-4
Aeschylus,9.10E-05,Aeschylus_Agamemnon-5
Aeschylus,9.10E-05,Aeschylus_Agamemnon-6
Aeschylus,9.10E-05,Aeschylus_Agamemnon-7
Aeschylus,9.10E-05,Aeschylus_Agamemnon-8
Aeschylus,9.10E-05,Aeschylus_Agamemnon-9
Aeschylus,9.10E-05,Aeschylus_Agamemnon-10
Aeschylus,9.10E-05,Aeschylus_Agamemnon-11
Aeschylus,9.10E-05,Aeschylus_Agamemnon-12
Aeschylus,9.10E-05,Aeschylus_Agamemnon-13
Aeschylus,9.10E-05,Aeschylus_Agamemnon-14
Aeschylus,9.10E-05,Aeschylus_Agamemnon-15
Aeschylus,9.10E-05,Aeschylus_Agamemnon-16
Aeschylus,9.10E-05,Aeschylus_Agamemnon-17
Aeschylus,9.10E-05,Aeschylus_Agamemnon-18
Aeschylus,9.10E-05,Aeschylus_Agamemnon-19
Aeschylus,9.10E-05,Aeschylus_Agamemnon-20
Aeschylus,9.10E-05,Aeschylus_Agamemnon-21
Aeschylus,9.10E-05,Aeschylus_Agamemnon-22
Aeschylus,9.10E-05,Aeschylus_Agamemnon-23
Aeschylus,9.10E-05,Aeschylus_Agamemnon-24
Aeschylus,9.10E-05,Aeschylus_Agamemnon-25
Aeschylus,9.10E-05,Aeschylus_Agamemnon-26
Aeschylus,9.10E-05,Aeschylus_Agamemnon-27
Aeschylus,9.10E-05,Aeschylus_Agamemnon-28
Aeschylus,9.10E-05,Aeschylus_Agamemnon-29
Aeschylus,9.10E-05,Aeschylus_Agamemnon-30
Aeschylus,9.10E-05,Aeschylus_Agamemnon-31
Aeschylus,9.10E-05,Aeschylus_Agamemnon-32
Aeschylus,9.10E-05,Aeschylus_Agamemnon-33
Aeschylus,9.10E-05,Aeschylus_Agamemnon-34
Aeschylus,9.10E-05,Aeschylus_Agamemnon-35
Aeschylus,9.10E-05,Aeschylus_Agamemnon-36
Aeschylus,9.10E-05,Aeschylus_Agamemnon-37
Aeschylus,9.10E-05,Aeschylus_Agamemnon-38
Aeschylus,9.10E-05,Aeschylus_Agamemnon-39
Aeschylus,9.10E-05,Aeschylus_Agamemnon-40
Aeschylus,9.10E-05,Aeschylus_Agamemnon-41
Aeschylus,9.10E-05,Aeschylus_Agamemnon-42
Aeschylus,9.10E-05,Aeschylus_Agamemnon-43
Aeschylus,9.10E-05,Aeschylus_Agamemnon-44
Aeschylus,9.10E-05,Aeschylus_Agamemnon-45
Aeschylus,9.10E-05,Aeschylus_Agamemnon-46
Aeschylus,9.10E-05,Aeschylus_Agamemnon-47
Aeschylus,9.10E-05,Aeschylus_Agamemnon-48
Aeschylus,9.10E-05,Aeschylus_Agamemnon-49
Aeschylus,9.10E-05,Aeschylus_Agamemnon-50
Aeschylus,9.10E-05,Aeschylus_Agamemnon-51
Aeschylus,9.10E-05,Aeschylus_Agamemnon-52
Aeschylus,9.10E-05,Aeschylus_Agamemnon-53
Aeschylus,9.10E-05,Aeschylus_Agamemnon-54
Aeschylus,9.10E-05,Aeschylus_Agamemnon-55
Aeschylus,9.10E-05,Aeschylus_Agamemnon-56
Aeschylus,9.10E-05,Aeschylus_Agamemnon-57
Aeschylus,9.10E-05,Aeschylus_Agamemnon-58
Aeschylus,9.10E-05,Aeschylus_Agamemnon-59
Aeschylus,9.10E-05,Aeschylus_Agamemnon-60
Aeschylus,9.10E-05,Aeschylus_Agamemnon-61
Aeschylus,9.10E-05,Aeschylus_Agamemnon-62
Aeschylus,9.10E-05,Aeschylus_Agamemnon-63
Aeschylus,9.10E-05,Aeschylus_Agamemnon-64
Aeschylus,9.10E-05,Aeschylus_Agamemnon-65
Aeschylus,9.10E-05,Aeschylus_Agamemnon-66
Aeschylus,9.10E-05,Aeschylus_Agamemnon-67
Aeschylus,9.10E-05,Aeschylus_Agamemnon-68
Aeschylus,9.10E-05,Aeschylus_Agamemnon-69
Aeschylus,9.10E-05,Aeschylus_Agamemnon-70
Aeschylus,9.10E-05,Aeschylus_Agamemnon-71
Aeschylus,9.10E-05,Aeschylus_Agamemnon-72
Aeschylus,9.10E-05,Aeschylus_Agamemnon-73
Aeschylus,9.10E-05,Aeschylus_Agamemnon-74
Aeschylus,9.10E-05,Aeschylus_Agamemnon-75
Aeschylus,9.10E-05,Aeschylus_Agamemnon-76
Aeschylus,9.10E-05,Aeschylus_Agamemnon-77
Aeschylus,9.10E-05,Aeschylus_Agamemnon-78
Aeschylus,9.10E-05,Aeschylus_Agamemnon-79
Aeschylus,9.10E-05,Aeschylus_Agamemnon-80
Aeschylus,9.10E-05,Aeschylus_Agamemnon-81
Aeschylus,9.10E-05,Aeschylus_Agamemnon-82
Aeschylus,9.10E-05,Aeschylus_Agamemnon-83
Aeschylus,9.10E-05,Aeschylus_Agamemnon-84
Aeschylus,9.10E-05,Aeschylus_Agamemnon-85
Aeschylus,9.10E-05,Aeschylus_Agamemnon-86
Aeschylus,9.10E-05,Aeschylus_Agamemnon-87
Aeschylus,9.10E-05,Aeschylus_Agamemnon-88
Aeschylus,9.10E-05,Aeschylus_Agamemnon-89
Aeschylus,9.10E-05,Aeschylus_Agamemnon-90
Aeschylus,9.10E-05,Aeschylus_Agamemnon-91
Aeschylus,9.10E-05,Aeschylus_Agamemnon-92
Aeschylus,9.10E-05,Aeschylus_Agamemnon-93
Aeschylus,9.10E-05,Aeschylus_Agamemnon-94
Aeschylus,9.10E-05,Aeschylus_Agamemnon-95
Aeschylus,9.10E-05,Aeschylus_Agamemnon-96
Aeschylus,9.10E-05,Aeschylus_Agamemnon-97
Aeschylus,9.10E-05,Aeschylus_Agamemnon-98
Aeschylus,9.10E-05,Aeschylus_Agamemnon-99
Aeschylus,9.10E-05,Aeschylus_Agamemnon-100
Aeschylus,9.10E-05,Aeschylus_Agamemnon-101
Aeschylus,9.10E-05,Aeschylus_Agamemnon-102
Aeschylus,9.10E-05,Aeschylus_Agamemnon-103
Aeschylus,9.10E-05,Aeschylus_Agamemnon-104
Aeschylus,9.10E-05,Aeschylus_Agamemnon-105
Aeschylus,9.10E-05,Aeschylus_Agamemnon-106
Aeschylus,9.10E-05,Aeschylus_Agamemnon-107
Aeschylus,9.10E-05,Aeschylus_Agamemnon-108
Aeschylus,9.10E-05,Aeschylus_Agamemnon-109
Aeschylus,9.10E-05,Aeschylus_Agamemnon-110
Aeschylus,9.10E-05,Aeschylus_Agamemnon-111
Aeschylus,9.10E-05,Aeschylus_Agamemnon-112
Aeschylus,9.10E-05,Aeschylus_Agamemnon-113
Aeschylus,9.10E-05,Aeschylus_Agamemnon-114
Aeschylus,9.10E-05,Aeschylus_Agamemnon-115
Aeschylus,9.10E-05,Aeschylus_Agamemnon-116
Aeschylus,9.10E-05,Aeschylus_Agamemnon-117
Aeschylus,9.10E-05,Aeschylus_Agamemnon-118
Aeschylus,9.10E-05,Aeschylus_Agamemnon-119
Aeschylus,9.10E-05,Aeschylus_Agamemnon-120
Aeschylus,9.10E-05,Aeschylus_Agamemnon-121
Aeschylus,9.10E-05,Aeschylus_Agamemnon-122
Aeschylus,9.10E-05,Aeschylus_Agamemnon-123
Aeschylus,9.10E-05,Aeschylus_Agamemnon-124
Aeschylus,9.10E-05,Aeschylus_Agamemnon-125
Aeschylus,9.10E-05,Aeschylus_Agamemnon-126
Aeschylus,9.10E-05,Aeschylus_Agamemnon-127
Aeschylus,9.10E-05,Aeschylus_Agamemnon-128
Aeschylus,9.10E-05,Aeschylus_Agamemnon-129
Aeschylus,9.10E-05,Aeschylus_Agamemnon-130
Aeschylus,9.10E-05,Aeschylus_Agamemnon-131
Aeschylus,9.10E-05,Aeschylus_Agamemnon-132
Aeschylus,9.10E-05,Aeschylus_Agamemnon-133
Aeschylus,9.10E-05,Aeschylus_Agamemnon-134
Aeschylus,9.10E-05,Aeschylus_Agamemnon-135
Aeschylus,9.10E-05,Aeschylus_Agamemnon-136
Aeschylus,9.10E-05,Aeschylus_Agamemnon-137
