,Aeschylus,Diodorus,Herodotus,Hesiod,HomerIl,HomerOd,Lysias,Plutarch,Polybius,Sophocles,Thucydides,Xenophon,-SUM-,,,,
Aeschylus,28,0,0,0,0,0,0,0,0,4,0,0,4,,,,
Diodorus,0,20,0,0,0,0,0,2,11,0,0,1,14,,,,
Herodotus,0,1,29,0,0,0,2,1,0,0,2,3,9,,,,
Hesiod,2,0,0,32,5,1,0,0,0,1,0,0,9,,,,
HomerIl,0,0,0,0,40,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,1,4,33,0,0,0,0,0,0,5,,,,
Lysias,0,0,4,0,0,0,27,0,1,0,0,2,7,,,,
Plutarch,0,2,2,0,0,0,1,25,5,0,4,1,15,,,,
Polybius,0,3,1,0,0,0,0,1,29,0,1,1,7,,,,
Sophocles,3,0,0,0,0,0,0,0,0,39,0,0,3,,,,
Thucydides,0,1,7,0,0,0,3,0,6,0,21,3,20,,,,
Xenophon,0,3,2,0,0,0,6,2,4,0,7,18,24,,,,
-SUM-,5,10,16,1,9,3,12,6,27,5,14,11,119,,,,
Aeschylus,39,0,0,0,0,0,0,0,0,7,0,0,7,,,,
Diodorus,0,20,1,0,0,0,0,3,14,0,0,0,18,,,,
Herodotus,0,1,21,0,0,0,0,0,1,0,7,2,11,,,,
Hesiod,0,0,0,33,9,3,0,0,0,0,0,0,12,,,,
HomerIl,0,0,0,0,35,3,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,0,8,30,0,0,0,0,0,0,8,,,,
Lysias,0,0,3,0,0,0,22,0,2,0,4,2,11,,,,
Plutarch,0,1,0,0,0,0,0,28,5,0,1,2,9,,,,
Polybius,0,5,1,0,0,0,1,1,31,0,1,1,10,,,,
Sophocles,8,0,0,0,0,0,0,0,0,34,0,0,8,,,,
Thucydides,0,1,3,0,0,0,3,2,4,0,19,3,16,,,,
Xenophon,0,2,4,0,0,0,4,1,3,0,2,19,16,,,,
-SUM-,8,10,12,0,17,6,8,7,29,7,15,10,129,,,,
Aeschylus,28,0,0,0,0,0,0,0,0,4,0,0,4,,,,
Diodorus,0,23,0,0,0,0,0,0,10,0,2,0,12,,,,
Herodotus,1,2,24,0,0,0,0,0,2,0,4,4,13,,,,
Hesiod,1,0,1,28,6,2,0,0,0,1,0,0,11,,,,
HomerIl,0,0,0,0,37,4,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,0,5,28,0,0,0,0,0,0,5,,,,
Lysias,0,0,5,0,0,0,24,0,4,0,5,2,16,,,,
Plutarch,0,0,4,0,0,0,2,23,9,0,3,2,20,,,,
Polybius,0,2,0,0,0,0,1,0,38,0,1,0,4,,,,
Sophocles,5,0,0,0,0,0,0,0,0,37,0,0,5,,,,
Thucydides,0,0,6,0,0,0,2,1,5,0,18,4,18,,,,
Xenophon,0,3,4,0,0,0,7,0,5,0,3,18,22,,,,
-SUM-,7,7,20,0,11,6,12,1,35,5,18,12,134,,,,
Aeschylus,34,0,0,0,0,0,0,0,0,10,0,0,10,,,,
Diodorus,0,25,0,0,0,0,0,2,20,0,0,0,22,,,,
Herodotus,0,0,21,0,0,0,2,0,3,0,5,3,13,,,,
Hesiod,1,0,0,22,5,5,0,0,0,0,0,0,11,,,,
HomerIl,0,0,0,0,29,3,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,0,4,22,0,0,0,0,0,0,4,,,,
Lysias,0,0,3,0,0,0,30,2,0,0,2,0,7,,,,
Plutarch,0,1,1,0,0,0,1,30,2,0,3,2,10,,,,
Polybius,0,1,2,0,0,0,1,1,44,0,0,1,6,,,,
Sophocles,2,0,0,0,0,0,0,0,0,46,0,0,2,,,,
Thucydides,0,0,6,0,0,0,2,3,3,0,12,4,18,,,,
Xenophon,0,4,5,0,0,0,8,0,3,0,5,14,25,,,,
-SUM-,3,6,17,0,9,8,14,8,31,10,15,10,131,,,,
Aeschylus,33,0,0,1,0,0,0,0,0,7,0,0,8,,,,
Diodorus,0,22,0,0,0,0,0,0,7,0,1,0,8,,,,
Herodotus,0,2,31,0,0,0,2,2,1,0,3,1,11,,,,
Hesiod,4,0,0,30,3,2,0,0,0,1,0,0,10,,,,
HomerIl,0,0,0,1,35,0,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,1,10,33,0,0,0,0,0,0,11,,,,
Lysias,0,0,3,0,0,0,29,0,1,0,3,1,8,,,,
Plutarch,0,4,5,0,0,0,0,11,11,0,1,0,21,,,,
Polybius,0,2,1,0,0,0,0,0,31,0,2,1,6,,,,
Sophocles,6,0,0,0,0,0,0,0,0,35,0,0,6,,,,
Thucydides,0,2,8,0,0,0,6,2,4,0,19,0,22,,,,
Xenophon,0,0,5,0,0,0,6,1,5,0,4,18,21,,,,
-SUM-,10,10,22,3,13,2,14,5,29,8,14,3,133,,,,
Aeschylus,39,0,0,0,0,1,0,0,0,3,0,0,4,,,,
Diodorus,0,20,0,0,0,0,0,0,12,0,2,0,14,,,,
