"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",83,0,1,4,5,5,0,1,0,29,0,0,45
"Diodorus",1,46,6,0,0,0,0,5,65,1,6,4,88
"Herodotus",2,14,69,0,0,1,8,5,22,0,11,9,72
"Hesiod",18,0,0,59,31,17,0,0,0,4,0,0,70
"HomerIL",3,0,0,0,142,19,0,0,0,1,0,0,23
"HomerOD",3,0,0,3,34,104,0,0,0,1,0,0,41
"Lysias",1,2,19,0,0,0,52,6,25,0,12,7,72
"Plutarch",2,12,18,1,1,2,7,30,43,0,7,6,99
"Polybius",0,16,5,0,0,0,2,10,109,0,7,2,42
"Sophocles",29,0,3,5,10,4,2,0,0,89,0,1,54
"Thucydides",1,7,22,0,0,0,10,9,25,1,44,6,81
"Xenophon",0,8,27,0,1,1,23,6,16,0,13,32,95
"-SUM-",60,59,101,13,82,49,52,42,196,37,56,35,782
"Aeschylus",104,0,1,6,3,4,0,0,0,24,0,0,38
"Diodorus",1,50,8,0,0,0,1,4,51,0,4,3,72
"Herodotus",1,6,69,1,0,1,5,8,16,4,15,8,65
"Hesiod",19,0,0,57,32,22,0,0,0,13,0,0,86
"HomerIL",2,0,0,3,116,24,0,0,0,0,0,0,29
"HomerOD",2,0,0,5,35,110,0,0,0,0,0,0,42
"Lysias",0,2,12,0,1,1,57,7,23,0,9,9,64
"Plutarch",0,9,17,0,1,0,4,44,44,0,2,5,82
"Polybius",1,12,5,0,0,0,1,6,109,0,4,1,30
"Sophocles",38,0,1,4,5,3,0,0,1,92,0,1,53
"Thucydides",1,13,21,0,1,2,14,7,30,0,34,13,102
"Xenophon",0,7,30,0,2,0,20,10,22,0,9,36,100
"-SUM-",65,49,95,19,80,57,45,42,187,41,43,40,763
"Aeschylus",105,0,0,5,6,6,1,1,0,26,0,0,45
"Diodorus",1,51,5,0,0,0,1,2,60,0,4,0,73
"Herodotus",1,9,66,0,1,2,6,7,17,2,12,11,68
"Hesiod",15,0,1,55,28,13,0,0,0,9,0,0,66
"HomerIL",4,0,0,11,111,23,1,0,0,1,0,0,40
"HomerOD",1,0,2,9,36,95,0,0,0,1,0,0,49
"Lysias",0,3,17,0,1,1,51,7,22,2,10,10,73
"Plutarch",3,21,16,0,0,0,4,44,45,1,8,3,101
"Polybius",0,17,4,0,0,0,1,10,104,0,4,1,37
"Sophocles",22,0,0,1,7,2,2,0,1,97,0,0,35
"Thucydides",1,7,23,0,0,1,13,13,29,0,43,9,96
"Xenophon",0,6,22,0,0,0,31,4,30,0,15,28,108
"-SUM-",48,63,90,26,79,48,60,44,204,42,53,34,791
"Aeschylus",87,0,0,5,7,3,0,0,0,23,0,0,38
"Diodorus",1,53,7,0,0,0,2,4,56,0,3,4,77
"Herodotus",3,4,72,0,1,1,10,8,17,4,17,7,72
"Hesiod",16,0,1,53,30,17,0,0,0,9,0,0,73
"HomerIL",1,0,0,7,104,23,0,0,0,1,0,0,32
"HomerOD",3,0,0,5,50,89,0,0,0,5,0,0,63
"Lysias",1,2,19,1,0,0,48,2,22,2,7,13,69
"Plutarch",1,14,11,0,1,0,8,38,44,0,6,10,95
"Polybius",0,17,5,0,0,0,6,11,112,1,1,2,43
"Sophocles",29,0,0,1,3,4,1,3,0,92,0,0,41
"Thucydides",1,9,24,0,0,1,14,7,25,1,47,12,94
"Xenophon",0,10,24,0,1,1,29,8,27,3,14,32,117
"-SUM-",56,56,91,19,93,50,70,43,191,49,48,48,814
"Aeschylus",97,0,0,6,5,5,0,0,0,33,0,0,49
"Diodorus",0,43,6,0,0,0,1,5,58,0,6,4,80
"Herodotus",1,8,64,0,1,4,9,4,11,2,10,15,65
"Hesiod",16,0,0,46,38,17,0,0,0,10,0,0,81
"HomerIL",2,0,0,2,119,23,1,0,0,2,0,0,30
"HomerOD",4,0,0,6,40,104,0,0,0,2,0,0,52
"Lysias",0,3,18,0,0,0,62,9,24,2,8,17,81
"Plutarch",1,15,12,0,0,1,9,35,42,0,5,9,94
"Polybius",1,12,3,0,0,0,4,8,95,0,5,3,36
"Sophocles",24,0,0,5,5,4,0,0,0,97,0,0,38
"Thucydides",0,8,18,0,0,0,17,12,32,1,39,14,102
"Xenophon",2,3,26,0,1,1,20,5,20,1,12,41,91
"-SUM-",51,49,83,19,90,55,61,43,187,53,46,62,799
"Aeschylus",99,1,2,2,6,5,0,0,2,24,0,0,42
"Diodorus",0,44,11,0,0,0,0,6,54,0,3,1,75
"Herodotus",1,12,67,0,2,1,11,6,16,0,10,15,74
"Hesiod",11,0,1,58,37,19,0,0,0,6,0,0,74
"HomerIL",4,0,0,4,101,28,0,0,0,1,0,0,37
"HomerOD",3,0,0,1,40,102,0,0,0,2,0,1,47
"Lysias",0,1,23,0,0,0,55,4,23,2,8,5,66
"Plutarch",2,11,13,0,0,1,5,40,31,1,11,4,79
"Polybius",0,8,3,0,0,0,9,2,125,0,5,3,30
"Sophocles",34,0,1,2,17,3,0,1,1,79,0,1,60
"Thucydides",2,4,16,0,0,2,20,8,34,1,37,11,98
"Xenophon",1,8,26,0,1,0,23,6,29,2,14,42,110
