"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",100,1,0,3,4,1,1,0,1,35,0,0,46
"Diodorus",0,53,4,0,0,0,3,6,69,0,0,3,85
"Herodotus",2,8,68,0,0,0,10,6,19,1,12,2,60
"Hesiod",13,0,0,58,34,17,0,0,0,7,0,0,71
"HomerIL",1,0,0,1,135,29,1,0,0,1,0,0,33
"HomerOD",2,0,0,5,27,82,0,0,0,2,0,0,36
"Lysias",0,3,15,0,0,0,57,5,17,3,14,10,67
"Plutarch",2,8,12,0,0,1,11,50,40,0,8,3,85
"Polybius",0,13,8,0,0,0,1,11,105,0,6,4,43
"Sophocles",28,0,2,0,9,3,1,1,1,84,0,0,45
"Thucydides",0,7,16,0,0,3,15,11,22,1,53,6,81
"Xenophon",0,8,21,0,0,0,30,6,22,1,17,39,105
"-SUM-",48,48,78,9,74,54,73,46,191,51,57,28,757
"Aeschylus",90,0,0,6,8,1,0,0,0,32,0,1,48
"Diodorus",1,54,13,0,0,0,0,6,59,0,5,6,90
"Herodotus",0,5,67,0,0,1,5,10,13,1,11,7,53
"Hesiod",13,0,0,66,30,16,0,0,0,7,0,0,66
"HomerIL",4,0,0,5,122,15,0,0,0,1,0,0,25
"HomerOD",3,0,1,1,48,97,0,0,0,3,0,0,56
"Lysias",0,1,12,0,3,1,53,5,25,3,9,13,72
"Plutarch",1,14,14,1,1,0,6,45,35,2,11,11,96
"Polybius",0,9,6,0,0,0,3,8,95,0,3,4,33
"Sophocles",32,0,1,4,6,1,0,0,2,97,0,0,46
"Thucydides",0,6,21,1,0,0,15,9,28,0,33,14,94
"Xenophon",0,9,18,0,1,0,24,6,23,1,20,41,102
"-SUM-",54,44,86,18,97,35,53,44,185,50,59,56,781
"Aeschylus",99,0,2,5,8,3,2,0,0,34,0,0,54
"Diodorus",1,49,9,0,1,0,0,7,59,0,9,5,91
"Herodotus",0,14,68,1,0,3,6,11,28,3,11,7,84
"Hesiod",17,0,0,58,31,26,0,1,0,10,0,0,85
"HomerIL",0,0,0,1,103,23,0,0,0,2,0,0,26
"HomerOD",2,0,1,1,32,91,0,0,0,0,0,1,37
"Lysias",0,1,19,0,0,1,44,7,22,2,10,16,78
"Plutarch",0,9,18,0,0,0,7,40,47,0,9,7,97
"Polybius",0,13,8,0,1,0,5,4,97,0,4,3,38
"Sophocles",27,0,0,1,7,2,1,0,0,104,0,1,39
"Thucydides",1,5,17,0,1,2,13,11,32,1,26,7,90
"Xenophon",1,6,30,0,0,0,18,11,20,2,16,39,104
"-SUM-",49,48,104,9,81,60,52,52,208,54,59,47,823
"Aeschylus",115,0,0,3,3,3,0,1,0,26,0,0,36
"Diodorus",0,45,11,0,0,0,2,3,55,0,4,3,78
"Herodotus",4,8,71,0,2,4,3,7,21,1,10,8,68
"Hesiod",14,0,0,52,36,15,0,0,0,8,1,0,74
"HomerIL",2,0,1,4,119,19,0,0,0,0,0,0,26
"HomerOD",3,0,0,8,36,93,0,0,0,0,0,0,47
"Lysias",1,3,20,0,1,0,47,3,25,3,14,17,87
"Plutarch",0,5,19,0,1,0,8,36,32,2,16,8,91
"Polybius",1,20,9,0,0,0,5,11,109,0,6,2,54
"Sophocles",32,0,3,2,6,2,2,0,0,101,0,0,47
"Thucydides",2,8,14,0,0,2,10,9,29,1,35,9,84
"Xenophon",0,9,24,0,2,0,15,10,17,0,19,30,96
"-SUM-",59,53,101,17,87,45,45,44,179,41,70,47,788
"Aeschylus",104,0,0,4,4,3,1,1,0,23,0,0,36
"Diodorus",0,44,10,0,0,0,2,6,63,0,3,3,87
"Herodotus",0,10,70,1,1,3,5,9,17,2,7,10,65
"Hesiod",17,0,0,46,29,21,0,0,0,5,0,0,72
"HomerIL",2,0,0,3,111,33,0,0,0,0,0,0,38
"HomerOD",2,0,0,3,38,97,0,0,0,2,1,0,46
"Lysias",1,1,17,0,1,0,55,9,25,0,9,4,67
"Plutarch",1,6,15,0,0,0,5,38,46,1,11,10,95
"Polybius",0,18,4,0,0,0,6,4,111,0,3,6,41
"Sophocles",34,0,3,4,6,4,1,0,1,97,0,0,53
"Thucydides",1,7,31,1,0,0,17,11,25,0,31,13,106
"Xenophon",2,6,20,0,2,0,22,6,21,0,20,32,99
"-SUM-",60,48,100,16,81,64,59,46,198,33,54,46,805
"Aeschylus",80,0,1,5,1,4,0,0,0,29,0,0,40
"Diodorus",0,45,14,0,0,0,0,5,53,0,2,3,77
"Herodotus",3,11,64,0,1,1,9,10,11,2,14,11,73
"Hesiod",13,0,0,63,19,14,0,0,0,8,0,0,54
"HomerIL",0,0,0,2,124,15,0,0,0,2,0,0,19
"HomerOD",2,0,0,6,46,104,0,0,0,1,0,1,56
"Lysias",3,2,18,0,1,0,62,11,24,2,7,11,79
"Plutarch",0,6,14,0,0,1,12,41,38,2,12,2,87
"Polybius",0,17,5,0,0,0,7,7,119,0,4,5,45
"Sophocles",25,0,1,2,8,4,1,1,0,82,0,1,43
"Thucydides",1,7,31,0,1,1,21,5,31,0,36,7,105
"Xenophon",1,16,21,0,0,1,22,3,20,1,15,43,100
"-SUM-",48,59,105,15,77,41,72,42,177,47,54,41,778
"Aeschylus",101,0,1,3,4,0,0,0,0,33,0,0,41
"Diodorus",1,64,10,0,1,0,1,4,43,0,2,5,67
"Herodotus",0,10,61,0,1,1,7,8,17,1,11,11,67
"Hesiod",21,0,0,43,22,21,0,0,0,9,0,0,73
"HomerIL",4,0,0,2,139,19,0,0,0,1,0,0,26
"HomerOD",2,0,0,3,31,107,0,0,0,0,0,0,36
"Lysias",0,1,18,0,1,0,42,7,24,2,12,14,79
"Plutarch",1,11,16,2,0,0,12,48,30,0,9,7,88
"Polybius",0,21,4,0,0,0,4,4,98,1,5,2,41
"Sophocles",30,0,2,4,9,3,1,0,1,109,0,0,50
"Thucydides",0,5,18,0,0,0,12,7,35,1,45,15,93
"Xenophon",0,7,22,0,1,1,19,7,13,1,15,37,86
"-SUM-",59,55,91,14,70,45,56,37,163,49,54,54,747
"Aeschylus",92,0,0,5,9,4,0,1,1,29,0,0,49
"Diodorus",1,48,11,0,0,0,5,5,66,0,3,3,94
"Herodotus",1,11,52,0,1,2,8,8,17,5,13,6,72
"Hesiod",22,0,1,67,26,18,0,0,0,4,0,0,71
"HomerIL",3,0,0,5,109,32,0,0,0,0,0,0,40
"HomerOD",2,0,0,4,52,100,0,0,0,0,0,0,58
"Lysias",2,0,17,0,1,0,51,7,22,2,15,12,78
"Plutarch",0,19,22,0,1,1,14,36,38,0,13,1,109
"Polybius",0,17,6,0,1,0,3,9,98,0,3,3,42
"Sophocles",30,0,0,1,8,5,1,1,0,82,0,1,47
"Thucydides",0,7,23,0,1,0,12,8,26,2,29,10,89
"Xenophon",1,7,21,0,1,1,24,13,19,0,12,29,99
"-SUM-",62,61,101,15,101,63,67,52,189,42,59,36,848
