"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOd","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",79,0,0,1,2,2,0,1,0,29,0,0,35
"Diodorus",0,53,14,0,2,0,1,7,45,0,7,1,77
"Herodotus",1,4,72,0,2,0,11,7,12,1,7,7,52
"Hesiod",16,0,0,57,22,9,0,0,0,4,0,0,51
"HomerIL",0,0,0,5,103,18,0,0,0,1,0,0,24
"HomerOd",3,0,0,7,28,85,0,0,0,1,0,0,39
"Lysias",1,3,19,0,1,0,54,3,16,3,9,14,69
"Plutarch",1,6,15,0,0,0,5,43,31,2,8,2,70
"Polybius",0,11,1,0,0,0,6,5,89,0,2,4,29
"Sophocles",27,0,0,1,8,3,1,0,1,91,0,0,41
"Thucydides",0,9,17,0,0,0,14,7,15,0,36,11,73
"Xenophon",0,8,15,0,0,0,15,7,15,2,12,39,74
"-SUM-",49,41,81,14,65,32,53,37,135,43,45,39,634
"Aeschylus",101,0,1,0,3,6,0,0,0,25,0,0,35
"Diodorus",0,47,11,0,0,0,2,5,55,0,3,1,77
"Herodotus",1,7,56,0,1,0,7,4,14,0,16,7,57
"Hesiod",3,0,0,65,16,22,0,0,0,7,0,0,48
"HomerIL",2,0,0,5,93,28,0,0,0,1,0,0,36
"HomerOd",4,0,1,2,26,83,0,0,0,1,0,0,34
"Lysias",0,4,13,0,1,2,58,4,14,1,11,9,59
"Plutarch",1,8,14,0,0,0,3,31,32,1,14,1,74
"Polybius",1,15,9,0,0,0,4,8,78,0,6,2,45
"Sophocles",27,0,1,3,5,3,1,0,2,85,0,0,42
"Thucydides",0,11,23,0,0,0,10,9,18,0,30,8,79
"Xenophon",0,4,20,0,0,0,26,3,18,0,19,32,90
"-SUM-",39,49,93,10,52,61,53,33,153,36,69,28,676
"Aeschylus",87,0,1,3,4,2,0,0,0,21,0,0,31
"Diodorus",0,47,9,0,0,0,0,4,55,0,6,5,79
"Herodotus",4,7,70,0,1,0,6,8,14,1,9,11,61
"Hesiod",14,0,0,51,17,19,0,0,0,5,0,0,55
"HomerIL",0,0,0,1,107,19,0,0,0,1,0,0,21
"HomerOd",5,0,0,2,28,70,0,0,0,1,0,0,36
"Lysias",0,4,12,0,1,1,54,5,18,2,12,13,68
"Plutarch",1,10,9,0,0,1,4,42,36,1,5,5,72
"Polybius",0,13,5,0,0,0,4,11,80,1,3,0,37
"Sophocles",24,0,3,1,7,5,3,0,0,77,0,0,43
"Thucydides",0,12,30,0,0,1,10,13,23,0,38,12,101
"Xenophon",0,4,16,0,1,0,21,6,22,1,13,24,84
"-SUM-",48,50,85,7,59,48,48,47,168,34,48,46,688
"Aeschylus",93,0,0,0,8,5,0,0,0,27,0,1,41
"Diodorus",0,39,7,0,0,0,2,2,46,0,2,3,62
"Herodotus",2,5,64,0,2,1,11,9,17,1,11,18,77
"Hesiod",17,0,0,49,30,14,0,0,0,6,0,0,67
"HomerIL",2,0,0,4,103,14,0,0,0,2,0,0,22
"HomerOd",2,0,0,1,33,94,0,0,0,1,0,0,37
"Lysias",0,3,17,0,1,0,47,1,21,2,7,17,69
"Plutarch",1,6,16,1,0,0,4,32,26,1,6,3,64
"Polybius",2,14,9,0,0,1,2,4,89,0,3,3,38
"Sophocles",20,0,1,2,1,4,2,1,0,87,0,0,31
"Thucydides",0,5,24,0,0,1,10,13,18,0,40,8,79
"Xenophon",0,7,19,1,0,0,19,5,15,1,17,27,84
"-SUM-",46,40,93,9,75,40,50,35,143,41,46,53,671
"Aeschylus",69,0,2,1,5,2,0,0,1,25,0,0,36
"Diodorus",0,49,9,0,0,0,1,5,60,0,4,0,79
"Herodotus",0,8,66,1,3,0,4,5,17,1,11,9,59
"Hesiod",10,0,0,54,24,16,0,0,0,8,0,0,58
"HomerIL",3,0,1,4,97,17,0,0,0,1,0,0,26
"HomerOd",2,0,0,3,35,82,0,0,0,2,0,0,42
"Lysias",0,3,16,0,2,1,58,5,23,0,14,18,82
"Plutarch",0,13,10,1,0,0,3,39,26,0,12,4,69
"Polybius",0,11,6,0,1,0,3,6,96,0,5,2,34
