"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucycides","Xenophon","-SUM-"
"Aeschylus",79,0,1,0,2,4,0,0,0,12,0,1,20
"Diodorus",0,42,3,0,0,0,0,1,41,0,0,4,49
"Herodotus",0,5,64,0,0,0,2,7,8,0,9,5,36
"Hesiod",6,0,1,45,14,12,0,0,0,5,0,0,38
"HomerIL",1,0,0,4,91,5,0,0,0,0,0,0,10
"HomerOD",0,0,0,3,20,70,0,0,0,2,0,0,25
"Lysias",0,3,19,0,0,0,49,2,12,1,8,12,57
"Plutarch",0,6,12,0,0,0,4,34,32,0,5,5,64
"Polybius",0,5,6,0,0,0,1,3,94,0,3,2,20
"Sophocles",20,0,0,2,3,1,2,0,0,65,0,1,29
"Thucycides",0,5,18,0,0,0,7,4,20,0,25,7,61
"Xenophon",0,3,15,0,0,0,13,2,15,0,10,24,58
"-SUM-",27,27,75,9,39,22,29,19,128,20,35,37,467
"Aeschylus",79,0,0,3,3,2,0,0,0,19,0,0,27
"Diodorus",0,42,8,0,0,1,1,5,40,0,2,0,57
"Herodotus",1,8,63,0,1,0,5,3,9,0,9,2,38
"Hesiod",8,0,0,44,14,21,0,0,0,3,0,0,46
"HomerIL",3,0,0,1,80,8,0,0,0,1,0,0,13
"HomerOD",1,0,0,0,23,78,0,0,0,0,0,0,24
"Lysias",0,2,12,0,0,1,39,3,14,1,5,8,46
"Plutarch",0,13,7,0,0,0,0,29,24,0,10,5,59
"Polybius",0,7,3,0,0,0,4,0,78,0,2,2,18
"Sophocles",18,0,1,2,2,2,1,0,1,68,0,0,27
"Thucycides",0,6,15,0,0,0,6,3,21,0,35,12,63
"Xenophon",1,8,9,0,0,0,13,2,14,0,9,40,56
"-SUM-",32,44,55,6,43,35,30,16,123,24,37,29,474
"Aeschylus",98,0,1,4,3,1,0,0,0,12,0,0,21
"Diodorus",0,49,4,0,0,0,0,6,49,0,0,1,60
"Herodotus",2,5,57,0,1,0,6,3,13,1,8,8,47
"Hesiod",10,0,0,57,15,13,0,0,0,2,0,0,40
"HomerIL",0,0,0,1,91,14,0,0,0,0,0,0,15
"HomerOD",1,0,0,2,25,62,0,0,0,0,0,0,28
"Lysias",0,1,16,0,0,0,39,0,10,0,3,9,39
"Plutarch",1,5,12,0,0,0,3,33,33,0,3,3,60
"Polybius",0,8,0,0,0,0,2,6,70,0,1,0,17
"Sophocles",19,0,0,2,2,2,2,0,1,68,1,0,29
"Thucycides",0,9,13,0,0,1,7,4,14,0,27,5,53
"Xenophon",0,5,17,0,0,0,16,4,11,0,11,25,64
"-SUM-",33,33,63,9,46,31,36,23,131,15,27,26,473
"Aeschylus",76,0,2,4,2,2,0,0,0,21,0,0,31
"Diodorus",0,38,4,0,0,0,2,5,50,0,1,1,63
"Herodotus",0,3,59,0,0,0,5,3,3,1,4,8,27
"Hesiod",8,0,0,53,18,13,0,0,0,6,0,0,45
"HomerIL",1,0,0,0,87,13,0,0,0,1,0,0,15
"HomerOD",0,0,0,0,12,71,0,0,0,0,0,0,12
"Lysias",0,0,11,0,0,0,51,2,10,2,3,8,36
"Plutarch",0,4,9,0,0,0,2,40,23,0,6,4,48
"Polybius",1,8,6,0,0,0,1,6,94,0,2,0,24
"Sophocles",17,0,0,0,5,0,1,0,2,71,0,0,25
"Thucycides",0,4,18,0,0,0,8,11,14,1,26,11,67
"Xenophon",0,6,21,0,0,0,14,1,13,0,9,26,64
"-SUM-",27,25,71,4,37,28,33,28,115,32,25,32,457
"Aeschylus",80,0,0,2,3,2,0,0,0,14,0,0,21
"Diodorus",0,44,3,0,0,0,0,4,37,1,2,3,50
"Herodotus",1,9,46,0,0,0,3,3,12,3,10,5,46
"Hesiod",12,0,1,41,14,15,0,0,0,4,0,0,46
"HomerIL",1,0,0,2,88,13,0,0,0,0,0,0,16
"HomerOD",1,0,0,2,16,77,0,0,0,0,0,0,19
"Lysias",0,2,13,0,0,0,51,4,9,0,6,11,45
"Plutarch",0,8,9,0,0,0,2,38,21,0,5,1,46
"Polybius",0,6,3,0,0,0,1,6,84,0,4,4,24
"Sophocles",29,0,0,2,4,2,3,0,0,71,1,0,41
"Thucycides",0,2,10,0,0,1,9,6,20,1,29,6,55
"Xenophon",0,1,15,0,0,0,18,6,16,0,10,25,66
"-SUM-",44,28,54,8,37,33,36,29,115,23,38,30,475
"Aeschylus",73,0,0,2,3,0,0,0,0,19,0,0,24
"Diodorus",0,32,3,0,0,0,1,0,50,0,2,2,58
"Herodotus",1,9,52,0,1,0,5,3,8,0,10,11,48
"Hesiod",3,0,0,47,14,12,0,1,0,4,0,0,34
"HomerIL",1,0,0,3,84,19,0,0,0,0,0,0,23
"HomerOD",0,0,0,2,19,69,0,0,0,0,0,0,21
"Lysias",0,3,15,0,0,0,40,3,16,1,8,10,56
"Plutarch",0,10,15,0,1,0,4,28,23,0,10,3,66
"Polybius",0,8,4,0,0,0,1,2,93,0,4,1,20
"Sophocles",25,0,1,1,1,3,0,0,0,74,0,0,31
"Thucycides",0,3,16,0,0,0,11,3,15,0,33,6,54
"Xenophon",0,3,10,0,0,0,15,3,20,0,15,23,66
"-SUM-",30,36,64,8,39,34,37,15,132,24,49,33,501
"Aeschylus",73,0,0,2,2,3,0,0,0,17,0,0,24
"Diodorus",0,51,8,0,0,0,1,5,43,0,2,3,62
"Herodotus",0,6,50,0,0,0,10,2,13,0,10,4,45
"Hesiod",10,0,0,60,9,12,0,0,0,4,0,0,35
"HomerIL",0,0,0,3,86,11,0,0,0,1,0,0,15
"HomerOD",0,0,0,3,24,70,0,0,0,0,0,0,27
"Lysias",0,2,11,0,0,1,43,2,13,1,9,12,51
"Plutarch",0,6,10,0,0,0,2,28,25,0,6,2,51
"Polybius",1,10,1,0,0,0,1,6,85,0,2,0,21
"Sophocles",20,0,0,6,4,2,2,0,1,61,0,0,35
"Thucycides",0,6,14,0,0,0,5,5,15,0,34,10,55
"Xenophon",0,3,13,0,0,0,14,5,13,0,7,32,55
"-SUM-",31,33,57,14,39,29,35,25,123,23,36,31,476
"Aeschylus",72,0,0,7,1,4,0,0,0,14,0,0,26
"Diodorus",0,31,4,0,1,0,1,1,57,0,3,5,72
"Herodotus",0,9,73,0,0,0,5,3,10,2,12,3,44
"Hesiod",6,0,0,44,9,19,0,0,0,3,0,0,37
"HomerIL",1,0,0,2,91,9,0,0,0,1,0,0,13
"HomerOD",0,0,0,0,22,66,0,0,0,0,0,0,22
"Lysias",1,2,13,0,0,0,43,5,14,0,11,12,58
"Plutarch",0,8,10,0,0,0,4,26,19,0,11,4,56
"Polybius",0,8,4,0,0,0,2,6,67,0,1,2,23
"Sophocles",31,0,0,2,3,3,1,0,1,68,0,0,41
"Thucycides",0,6,12,0,0,0,8,7,22,0,22,7,62
"Xenophon",0,4,11,0,0,0,19,6,9,0,15,28,64
"-SUM-",39,37,54,11,36,35,40,28,132,20,53,33,518
"Aeschylus",74,0,1,2,5,3,0,0,0,17,0,0,28
"Diodorus",0,43,6,0,1,0,0,4,37,0,0,1,49
"Herodotus",0,6,56,0,2,0,9,4,6,1,17,8,53
"Hesiod",11,0,0,46,16,14,0,0,0,6,0,0,47
"HomerIL",0,0,0,2,81,14,0,0,0,1,0,0,17
"HomerOD",1,0,0,2,13,88,0,0,0,0,0,0,16
"Lysias",0,1,7,0,0,1,41,2,10,0,7,12,40
"Plutarch",0,4,13,0,0,0,2,28,26,0,9,4,58
"Polybius",0,9,2,0,0,0,3,3,84,0,1,0,18
"Sophocles",25,0,0,3,3,2,0,0,0,69,0,0,33
"Thucycides",0,3,14,0,0,1,9,3,25,0,33,8,63
"Xenophon",0,7,11,0,0,0,8,3,9,0,18,28,56
"-SUM-",37,30,54,9,40,35,31,19,113,25,52,33,478
"Aeschylus",77,0,1,4,5,4,0,0,0,19,0,0,33
"Diodorus",0,34,6,0,0,1,1,2,40,0,3,0,53
"Herodotus",1,7,43,0,0,0,6,4,7,0,9,4,38
"Hesiod",16,0,0,49,22,14,0,0,0,10,0,0,62
"HomerIL",0,0,0,1,77,8,0,0,0,2,0,0,11
"HomerOD",0,0,0,3,23,78,0,0,0,1,0,0,27
"Lysias",0,0,15,0,0,0,36,5,9,1,8,15,53
"Plutarch",0,4,9,0,0,0,2,35,29,1,5,2,52
"Polybius",0,14,3,0,0,0,4,6,76,0,3,0,30
"Sophocles",26,0,0,0,2,1,2,0,0,74,0,0,31
"Thucycides",0,2,20,0,0,0,6,9,22,1,26,8,68
"Xenophon",0,2,18,0,0,0,9,5,12,0,12,28,58
"-SUM-",43,29,72,8,52,28,30,31,119,35,40,29,516
"Aeschylus",90,0,0,0,2,2,0,0,0,16,0,0,20
"Diodorus",0,40,5,0,1,0,0,3,40,0,1,1,51
"Herodotus",0,6,49,0,0,0,8,0,12,1,6,10,43
"Hesiod",10,0,0,42,21,18,0,1,0,6,0,0,56
"HomerIL",2,0,0,2,94,11,0,0,0,0,0,0,15
"HomerOD",1,0,0,4,16,68,0,0,0,1,0,0,22
"Lysias",1,2,13,0,0,0,42,2,13,2,4,6,43
"Plutarch",0,9,6,1,1,0,3,34,21,1,10,7,59
"Polybius",0,8,2,0,0,0,0,3,81,0,5,0,18
"Sophocles",20,0,1,4,3,3,2,0,0,77,0,0,33
"Thucycides",0,5,16,0,1,0,6,6,17,0,33,3,54
"Xenophon",0,4,15,0,0,2,9,5,12,0,13,25,60
"-SUM-",34,34,58,11,45,36,28,20,115,27,39,27,474
"Aeschylus",83,0,0,4,1,2,0,0,1,24,0,0,32
"Diodorus",0,38,6,0,0,0,0,6,41,0,1,0,54
"Herodotus",0,5,57,0,1,0,8,8,8,1,9,7,47
"Hesiod",11,0,0,51,12,8,0,0,0,6,0,0,37
