"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIl","HomerOd","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",44,0,0,2,0,0,0,0,0,8,0,0,10
"Diodorus",0,33,3,0,0,0,0,1,19,0,1,2,26
"Herodotus",0,2,37,0,0,0,4,4,7,1,7,6,31
"Hesiod",7,0,0,53,13,6,0,0,0,1,0,0,27
"HomerIl",0,0,0,0,56,7,0,0,0,0,0,0,7
"HomerOd",0,0,0,0,10,53,0,0,0,2,0,0,12
"Lysias",0,1,7,0,0,0,33,2,5,0,4,7,26
"Plutarch",0,6,3,0,0,0,1,34,13,0,10,4,37
"Polybius",0,10,2,0,0,0,0,7,46,0,1,0,20
"Sophocles",14,0,0,0,2,0,0,0,0,48,0,0,16
"Thucydides",0,0,8,0,0,0,7,5,9,0,24,3,32
"Xenophon",0,1,11,0,0,0,13,4,6,0,9,16,44
"-SUM-",21,20,34,2,25,13,25,23,59,12,32,22,288
"Aeschylus",41,0,0,1,1,0,0,0,0,8,0,0,10
"Diodorus",0,37,6,0,0,0,0,2,22,0,2,1,33
"Herodotus",1,6,27,0,0,0,1,2,7,0,7,6,30
"Hesiod",4,0,0,38,10,9,0,0,0,1,0,0,24
"HomerIl",0,0,0,5,46,5,0,0,0,0,0,0,10
"HomerOd",0,0,0,0,11,50,0,0,0,0,0,0,11
"Lysias",0,1,5,0,0,0,29,3,3,0,3,3,18
"Plutarch",0,3,6,0,0,0,2,27,12,0,2,2,27
"Polybius",0,8,0,0,0,0,1,6,73,0,1,0,16
"Sophocles",17,0,0,0,3,1,0,0,1,61,0,0,22
"Thucydides",0,1,17,0,0,1,1,5,7,0,31,7,39
"Xenophon",0,3,9,0,0,0,10,1,9,0,4,29,36
"-SUM-",22,22,43,6,25,16,15,19,61,9,19,19,276
"Aeschylus",47,0,0,2,0,2,0,0,0,9,0,0,13
"Diodorus",0,18,3,0,0,0,0,3,27,0,1,0,34
"Herodotus",0,4,41,0,0,0,3,6,3,0,3,7,26
"Hesiod",2,0,0,32,4,6,0,0,0,1,0,1,14
"HomerIl",0,0,0,2,73,8,0,0,0,0,0,0,10
"HomerOd",0,0,0,3,11,52,0,0,0,1,0,0,15
"Lysias",0,1,7,0,0,0,39,1,5,0,5,6,25
"Plutarch",0,4,4,0,0,0,3,34,11,0,3,0,25
"Polybius",0,3,1,0,0,0,2,4,62,0,2,1,13
"Sophocles",11,0,0,1,0,1,0,0,0,53,0,0,13
"Thucydides",0,5,12,0,0,0,3,9,14,0,23,3,46
"Xenophon",0,4,6,0,0,0,8,2,7,0,3,27,30
"-SUM-",13,21,33,8,15,17,19,25,67,11,17,18,264
"Aeschylus",53,0,0,1,1,0,0,0,0,8,0,0,10
"Diodorus",0,30,2,0,0,0,0,1,23,0,0,1,27
"Herodotus",1,5,40,0,0,0,5,1,8,1,5,3,29
"Hesiod",4,0,0,35,2,7,0,0,0,0,0,0,13
"HomerIl",0,0,0,2,64,6,0,0,0,0,0,0,8
"HomerOd",0,0,0,1,15,57,0,0,0,1,0,0,17
"Lysias",0,0,12,0,0,0,34,1,7,0,2,12,34
"Plutarch",0,4,6,0,0,0,0,25,16,0,1,3,30
"Polybius",0,8,0,0,0,0,0,2,56,0,2,2,14
"Sophocles",7,0,0,0,0,1,0,0,0,57,0,0,8
"Thucydides",0,1,11,0,0,0,6,5,5,0,29,10,38
"Xenophon",0,2,7,0,0,0,6,1,8,0,8,25,32
"-SUM-",12,20,38,4,18,14,17,11,67,10,18,31,260
"Aeschylus",57,0,0,1,0,1,0,0,0,3,0,0,5
"Diodorus",0,32,4,0,0,0,0,4,22,0,0,0,30
"Herodotus",0,4,45,0,0,0,2,4,6,1,4,6,27
"Hesiod",6,0,0,37,7,6,0,0,0,3,0,0,22
"HomerIl",0,0,0,1,59,8,0,0,0,0,0,0,9
"HomerOd",1,0,0,2,8,59,0,0,0,0,0,0,11
"Lysias",0,0,12,0,0,0,43,1,5,0,10,7,35
"Plutarch",0,3,9,0,0,0,2,30,8,0,4,1,27
"Polybius",0,4,4,0,0,0,1,4,48,0,1,0,14
"Sophocles",10,0,0,0,3,0,0,0,0,53,0,0,13
"Thucydides",0,2,13,0,0,0,4,3,7,0,29,4,33
"Xenophon",0,3,9,0,0,0,9,2,2,0,5,17,30
"-SUM-",17,16,51,4,18,15,18,18,50,7,24,18,256
"Aeschylus",59,0,0,0,0,0,0,0,0,12,0,0,12
"Diodorus",0,39,2,0,0,0,0,1,22,0,1,0,26
"Herodotus",0,3,41,0,0,0,4,6,2,0,5,2,22
"Hesiod",5,0,0,40,7,9,0,0,0,2,0,0,23
"HomerIl",0,0,0,2,59,9,0,0,0,0,0,0,11
"HomerOd",0,0,0,0,2,43,0,0,0,0,0,0,2
"Lysias",0,0,13,0,0,0,35,3,5,0,1,8,30
"Plutarch",0,8,4,0,0,0,3,30,15,0,2,3,35
"Polybius",0,6,0,0,0,0,0,1,64,0,1,2,10
"Sophocles",14,0,0,1,2,0,0,0,0,47,0,0,17
"Thucydides",0,2,8,0,0,0,3,6,11,0,25,4,34
"Xenophon",0,1,11,0,0,0,10,5,8,0,8,18,43
