author,prob,chunk_id
Aeschylus,0.00094697,Aeschylus_Agamemnon-1
Aeschylus,0.00094697,Aeschylus_Agamemnon-10
Aeschylus,0.00094697,Aeschylus_Agamemnon-11
Aeschylus,0.00094697,Aeschylus_Agamemnon-12
Aeschylus,0.00094697,Aeschylus_Agamemnon-13
Aeschylus,0.00094697,Aeschylus_Agamemnon-14
Aeschylus,0.00094697,Aeschylus_Agamemnon-15
Aeschylus,0.00094697,Aeschylus_Agamemnon-16
Aeschylus,0.00094697,Aeschylus_Agamemnon-17
Aeschylus,0.00094697,Aeschylus_Agamemnon-18
Aeschylus,0.00094697,Aeschylus_Agamemnon-19
Aeschylus,0.00094697,Aeschylus_Agamemnon-2
Aeschylus,0,Aeschylus_Agamemnon-20
Aeschylus,0.00094697,Aeschylus_Agamemnon-3
Aeschylus,0.00094697,Aeschylus_Agamemnon-4
Aeschylus,0.00094697,Aeschylus_Agamemnon-5
Aeschylus,0.00094697,Aeschylus_Agamemnon-6
Aeschylus,0.00094697,Aeschylus_Agamemnon-7
Aeschylus,0.00094697,Aeschylus_Agamemnon-8
Aeschylus,0.00094697,Aeschylus_Agamemnon-9
Aeschylus,0.00094697,Aeschylus_Ch-1
Aeschylus,0.00094697,Aeschylus_Ch-10
Aeschylus,0.00094697,Aeschylus_Ch-11
Aeschylus,0,Aeschylus_Ch-12
Aeschylus,0.00094697,Aeschylus_Ch-2
Aeschylus,0.00094697,Aeschylus_Ch-3
Aeschylus,0.00094697,Aeschylus_Ch-4
Aeschylus,0.00094697,Aeschylus_Ch-5
Aeschylus,0.00094697,Aeschylus_Ch-6
Aeschylus,0.00094697,Aeschylus_Ch-7
Aeschylus,0.00094697,Aeschylus_Ch-8
Aeschylus,0.00094697,Aeschylus_Ch-9
Aeschylus,0.00094697,Aeschylus_Eumenides-1
Aeschylus,0.00094697,Aeschylus_Eumenides-10
Aeschylus,0.00094697,Aeschylus_Eumenides-11
Aeschylus,0.00094697,Aeschylus_Eumenides-12
Aeschylus,0,Aeschylus_Eumenides-13
Aeschylus,0.00094697,Aeschylus_Eumenides-2
Aeschylus,0.00094697,Aeschylus_Eumenides-3
Aeschylus,0.00094697,Aeschylus_Eumenides-4
Aeschylus,0.00094697,Aeschylus_Eumenides-5
Aeschylus,0.00094697,Aeschylus_Eumenides-6
Aeschylus,0.00094697,Aeschylus_Eumenides-7
Aeschylus,0.00094697,Aeschylus_Eumenides-8
Aeschylus,0.00094697,Aeschylus_Eumenides-9
Aeschylus,0.00094697,Aeschylus_Persians-1
Aeschylus,0.00094697,Aeschylus_Persians-10
Aeschylus,0.00094697,Aeschylus_Persians-11
Aeschylus,0,Aeschylus_Persians-12
Aeschylus,0.00094697,Aeschylus_Persians-2
Aeschylus,0.00094697,Aeschylus_Persians-3
Aeschylus,0.00094697,Aeschylus_Persians-4
Aeschylus,0.00094697,Aeschylus_Persians-5
Aeschylus,0.00094697,Aeschylus_Persians-6
Aeschylus,0.00094697,Aeschylus_Persians-7
Aeschylus,0.00094697,Aeschylus_Persians-8
Aeschylus,0.00094697,Aeschylus_Persians-9
Aeschylus,0.00094697,Aeschylus_Prometheus-1
Aeschylus,0.00094697,Aeschylus_Prometheus-10
Aeschylus,0.00094697,Aeschylus_Prometheus-11
Aeschylus,0.00094697,Aeschylus_Prometheus-12
Aeschylus,0.00094697,Aeschylus_Prometheus-13
Aeschylus,0,Aeschylus_Prometheus-14
Aeschylus,0.00094697,Aeschylus_Prometheus-2
Aeschylus,0.00094697,Aeschylus_Prometheus-3
Aeschylus,0.00094697,Aeschylus_Prometheus-4
Aeschylus,0.00094697,Aeschylus_Prometheus-5
Aeschylus,0.00094697,Aeschylus_Prometheus-6
Aeschylus,0.00094697,Aeschylus_Prometheus-7
Aeschylus,0.00094697,Aeschylus_Prometheus-8
Aeschylus,0.00094697,Aeschylus_Prometheus-9
Aeschylus,0.00094697,Aeschylus_Seven-1
Aeschylus,0.00094697,Aeschylus_Seven-10
Aeschylus,0.00094697,Aeschylus_Seven-11
Aeschylus,0,Aeschylus_Seven-12
Aeschylus,0.00094697,Aeschylus_Seven-2
Aeschylus,0.00094697,Aeschylus_Seven-3
Aeschylus,0.00094697,Aeschylus_Seven-4
Aeschylus,0.00094697,Aeschylus_Seven-5
Aeschylus,0.00094697,Aeschylus_Seven-6
Aeschylus,0.00094697,Aeschylus_Seven-7
Aeschylus,0.00094697,Aeschylus_Seven-8
Aeschylus,0.00094697,Aeschylus_Seven-9
Aeschylus,0.00094697,Aeschylus_Suppliants-1
Aeschylus,0.00094697,Aeschylus_Suppliants-10
Aeschylus,0.00094697,Aeschylus_Suppliants-11
Aeschylus,0,Aeschylus_Suppliants-12
Aeschylus,0.00094697,Aeschylus_Suppliants-2
Aeschylus,0.00094697,Aeschylus_Suppliants-3
Aeschylus,0.00094697,Aeschylus_Suppliants-4
Aeschylus,0.00094697,Aeschylus_Suppliants-5
Aeschylus,0.00094697,Aeschylus_Suppliants-6
Aeschylus,0.00094697,Aeschylus_Suppliants-7
Aeschylus,0.00094697,Aeschylus_Suppliants-8
Aeschylus,0.00094697,Aeschylus_Suppliants-9
DiodSic,0.001736111,DiodorusSic_Book11-1
DiodSic,0.001736111,DiodorusSic_Book11-10
DiodSic,0.001736111,DiodorusSic_Book11-11
DiodSic,0.001736111,DiodorusSic_Book11-12
DiodSic,0.001736111,DiodorusSic_Book11-13
DiodSic,0.001736111,DiodorusSic_Book11-14
DiodSic,0.001736111,DiodorusSic_Book11-15
DiodSic,0.001736111,DiodorusSic_Book11-16
DiodSic,0.001736111,DiodorusSic_Book11-17
DiodSic,0.001736111,DiodorusSic_Book11-18
DiodSic,0.001736111,DiodorusSic_Book11-19
DiodSic,0.001736111,DiodorusSic_Book11-2
DiodSic,0.001736111,DiodorusSic_Book11-20
DiodSic,0.001736111,DiodorusSic_Book11-21
DiodSic,0.001736111,DiodorusSic_Book11-22
DiodSic,0.001736111,DiodorusSic_Book11-23
DiodSic,0.001736111,DiodorusSic_Book11-24
DiodSic,0.001736111,DiodorusSic_Book11-25
DiodSic,0.001736111,DiodorusSic_Book11-26
DiodSic,0.001736111,DiodorusSic_Book11-27
DiodSic,0.001736111,DiodorusSic_Book11-28
DiodSic,0.001736111,DiodorusSic_Book11-29
DiodSic,0.001736111,DiodorusSic_Book11-3
DiodSic,0.001736111,DiodorusSic_Book11-30
DiodSic,0.001736111,DiodorusSic_Book11-31
DiodSic,0.001736111,DiodorusSic_Book11-32
DiodSic,0.001736111,DiodorusSic_Book11-33
DiodSic,0.001736111,DiodorusSic_Book11-34
DiodSic,0.001736111,DiodorusSic_Book11-35
DiodSic,0.001736111,DiodorusSic_Book11-36
DiodSic,0.001736111,DiodorusSic_Book11-37
DiodSic,0.001736111,DiodorusSic_Book11-38
DiodSic,0.001736111,DiodorusSic_Book11-39
DiodSic,0.001736111,DiodorusSic_Book11-4
DiodSic,0.001736111,DiodorusSic_Book11-40
DiodSic,0.001736111,DiodorusSic_Book11-41
DiodSic,0.001736111,DiodorusSic_Book11-42
DiodSic,0.001736111,DiodorusSic_Book11-43
DiodSic,0.001736111,DiodorusSic_Book11-44
DiodSic,0.001736111,DiodorusSic_Book11-45
DiodSic,0.001736111,DiodorusSic_Book11-46
DiodSic,0.001736111,DiodorusSic_Book11-47
DiodSic,0.001736111,DiodorusSic_Book11-48
DiodSic,0,DiodorusSic_Book11-49
DiodSic,0.001736111,DiodorusSic_Book11-5
DiodSic,0.001736111,DiodorusSic_Book11-6
DiodSic,0.001736111,DiodorusSic_Book11-7
DiodSic,0.001736111,DiodorusSic_Book11-8
DiodSic,0.001736111,DiodorusSic_Book11-9
Herodotus,0.001344086,Herodotus_Book1-1
Herodotus,0.001344086,Herodotus_Book1-10
Herodotus,0.001344086,Herodotus_Book1-11
Herodotus,0.001344086,Herodotus_Book1-12
Herodotus,0.001344086,Herodotus_Book1-13
Herodotus,0.001344086,Herodotus_Book1-14
Herodotus,0.001344086,Herodotus_Book1-15
Herodotus,0.001344086,Herodotus_Book1-16
Herodotus,0.001344086,Herodotus_Book1-17
Herodotus,0.001344086,Herodotus_Book1-18
Herodotus,0.001344086,Herodotus_Book1-19
Herodotus,0.001344086,Herodotus_Book1-2
Herodotus,0.001344086,Herodotus_Book1-20
Herodotus,0.001344086,Herodotus_Book1-21
Herodotus,0.001344086,Herodotus_Book1-22
Herodotus,0.001344086,Herodotus_Book1-23
Herodotus,0.001344086,Herodotus_Book1-24
Herodotus,0.001344086,Herodotus_Book1-25
Herodotus,0.001344086,Herodotus_Book1-26
Herodotus,0.001344086,Herodotus_Book1-27
Herodotus,0.001344086,Herodotus_Book1-28
Herodotus,0.001344086,Herodotus_Book1-29
Herodotus,0.001344086,Herodotus_Book1-3
Herodotus,0.001344086,Herodotus_Book1-30
Herodotus,0.001344086,Herodotus_Book1-31
Herodotus,0.001344086,Herodotus_Book1-32
Herodotus,0.001344086,Herodotus_Book1-33
Herodotus,0.001344086,Herodotus_Book1-34
Herodotus,0.001344086,Herodotus_Book1-35
Herodotus,0.001344086,Herodotus_Book1-36
Herodotus,0.001344086,Herodotus_Book1-37
Herodotus,0.001344086,Herodotus_Book1-38
Herodotus,0.001344086,Herodotus_Book1-39
Herodotus,0.001344086,Herodotus_Book1-4
Herodotus,0.001344086,Herodotus_Book1-40
Herodotus,0.001344086,Herodotus_Book1-41
Herodotus,0.001344086,Herodotus_Book1-42
Herodotus,0.001344086,Herodotus_Book1-43
Herodotus,0.001344086,Herodotus_Book1-44
Herodotus,0.001344086,Herodotus_Book1-45
Herodotus,0.001344086,Herodotus_Book1-46
Herodotus,0.001344086,Herodotus_Book1-47
Herodotus,0.001344086,Herodotus_Book1-48
Herodotus,0.001344086,Herodotus_Book1-49
Herodotus,0.001344086,Herodotus_Book1-5
Herodotus,0.001344086,Herodotus_Book1-50
Herodotus,0.001344086,Herodotus_Book1-51
Herodotus,0.001344086,Herodotus_Book1-52
Herodotus,0.001344086,Herodotus_Book1-53
Herodotus,0.001344086,Herodotus_Book1-54
Herodotus,0.001344086,Herodotus_Book1-55
Herodotus,0.001344086,Herodotus_Book1-56
Herodotus,0.001344086,Herodotus_Book1-57
Herodotus,0.001344086,Herodotus_Book1-58
Herodotus,0.001344086,Herodotus_Book1-59
Herodotus,0.001344086,Herodotus_Book1-6
Herodotus,0.001344086,Herodotus_Book1-60
Herodotus,0.001344086,Herodotus_Book1-61
Herodotus,0.001344086,Herodotus_Book1-62
Herodotus,0,Herodotus_Book1-63
Herodotus,0.001344086,Herodotus_Book1-7
Herodotus,0.001344086,Herodotus_Book1-8
Herodotus,0.001344086,Herodotus_Book1-9
Hesiod,0.002380952,Hesiod_Shield-1
Hesiod,0.002380952,Hesiod_Shield-2
Hesiod,0.002380952,Hesiod_Shield-3
Hesiod,0.002380952,Hesiod_Shield-4
Hesiod,0.002380952,Hesiod_Shield-5
Hesiod,0.002380952,Hesiod_Shield-6
Hesiod,0.002380952,Hesiod_Shield-7
Hesiod,0,Hesiod_Shield-8
Hesiod,0.002380952,Hesiod_Theogony-1
Hesiod,0.002380952,Hesiod_Theogony-10
Hesiod,0.002380952,Hesiod_Theogony-11
Hesiod,0.002380952,Hesiod_Theogony-12
Hesiod,0.002380952,Hesiod_Theogony-13
Hesiod,0.002380952,Hesiod_Theogony-14
Hesiod,0.002380952,Hesiod_Theogony-15
Hesiod,0,Hesiod_Theogony-16
Hesiod,0.002380952,Hesiod_Theogony-2
Hesiod,0.002380952,Hesiod_Theogony-3
