"","Aeschylus","DiodSic","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",14,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,14,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,1,14,0,0,0,0,0,0,0,0,0,1
"Hesiod",0,0,0,8,3,0,2,0,0,0,0,0,5
"IlHomer",0,0,0,0,20,0,1,0,0,0,0,0,1
"Lysias",0,0,1,0,0,13,0,0,0,0,0,1,2
"OdHomer",0,0,0,0,0,0,12,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,16,2,0,1,0,3
"Polybius",0,0,0,0,0,0,0,0,8,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,11,0,0,0
"Thucydides",0,2,0,0,0,2,0,0,0,0,9,1,5
"Xenophon",0,1,2,0,0,0,0,0,0,0,0,11,3
"-SUM-",0,4,3,0,3,2,3,0,3,1,1,2,22
"Aeschylus",13,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,7,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,14,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,13,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,17,0,1,0,0,0,0,0,1
"Lysias",0,0,1,0,0,13,0,0,0,0,1,0,2
"OdHomer",0,0,0,0,2,0,12,0,0,0,0,0,2
"Plutarch",0,0,0,0,0,0,0,8,1,0,0,1,2
"Polybius",0,0,0,0,0,0,0,0,13,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,19,0,0,0
"Thucydides",0,0,0,0,0,0,0,2,0,0,13,2,4
"Xenophon",0,0,2,0,0,1,0,1,0,0,2,9,6
"-SUM-",0,0,3,0,3,1,1,3,3,1,3,3,21
"Aeschylus",20,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,14,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,16,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,10,4,0,2,0,0,0,0,0,6
"IlHomer",0,0,0,0,14,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,12,0,0,0,0,0,0,1
"OdHomer",0,0,0,0,1,0,14,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,5,0,0,1,0,1
"Polybius",0,0,0,0,0,0,0,0,12,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,15,0,0,1
"Thucydides",0,1,0,0,0,1,0,1,0,0,11,1,4
"Xenophon",0,0,1,0,0,1,0,0,1,0,3,9,6
"-SUM-",1,1,2,0,5,2,2,1,1,0,4,1,20
"Aeschylus",15,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,10,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,16,0,0,1,0,0,0,0,0,0,1
"Hesiod",0,0,0,8,3,0,1,0,0,0,0,0,4
"IlHomer",0,0,0,0,17,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,13,0,0,0,0,0,0,1
"OdHomer",0,0,0,0,0,0,14,0,0,0,0,0,0
"Plutarch",0,1,1,0,0,0,0,11,1,0,0,0,3
"Polybius",0,0,0,0,0,0,0,0,15,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,15,0,0,1
"Thucydides",0,2,0,0,0,0,0,2,0,0,9,1,5
"Xenophon",0,0,1,0,0,3,0,0,0,0,1,9,5
"-SUM-",1,3,3,0,3,4,1,2,1,0,1,1,20
"Aeschylus",13,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,14,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,21,0,0,1,0,0,0,0,2,1,4
"Hesiod",0,0,0,11,3,0,1,0,0,0,0,0,4
"IlHomer",0,0,0,0,10,0,1,0,0,0,0,0,1
"Lysias",0,0,0,0,0,9,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,0,0,17,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,14,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,13,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,17,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,11,0,0
"Xenophon",0,0,0,0,0,1,0,1,0,0,1,8,3
"-SUM-",0,0,0,0,3,2,2,1,0,1,3,2,14
"Aeschylus",19,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,12,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,10,0,0,0,0,0,0,0,1,0,1
"Hesiod",0,0,0,12,2,0,1,0,0,0,0,0,3
"IlHomer",0,0,0,0,20,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,9,0,0,0,0,0,1,2
"OdHomer",0,0,0,0,0,0,11,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,16,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,18,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,10,0,0,0
"Thucydides",0,1,0,0,0,1,0,0,0,0,11,3,5
"Xenophon",0,1,1,0,0,0,0,0,0,0,2,9,4
"-SUM-",0,2,2,0,2,1,1,0,0,0,3,4,15
"Aeschylus",14,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,17,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,13,0,0,0,0,0,0,0,2,0,2
"Hesiod",0,0,0,10,3,0,0,0,0,0,0,0,3
"IlHomer",0,0,0,0,14,0,1,0,0,0,0,0,1
"Lysias",0,0,1,0,0,14,0,0,0,0,1,3,5
"OdHomer",0,0,0,0,0,0,12,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,11,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,10,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,17,0,0,0
"Thucydides",0,1,0,0,0,0,0,0,0,0,13,1,2
"Xenophon",0,0,2,0,0,1,0,1,1,0,3,5,8
"-SUM-",0,1,3,0,3,1,1,1,1,1,6,4,22
"Aeschylus",16,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,15,0,0,0,0,0,0,3,0,0,0,3
