"","Aeschylus","Diodorus","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",18,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,14,1,0,0,0,0,0,2,0,1,0,4
"Herodotus",0,0,16,0,0,1,0,0,0,0,0,1,2
"Hesiod",0,0,0,11,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,26,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,10,0,0,0,0,0,3,4
"OdHomer",0,0,0,1,2,0,21,0,0,0,0,0,3
"Plutarch",0,1,0,0,0,0,0,17,1,0,0,0,2
"Polybius",0,0,0,0,0,0,0,0,15,0,0,0,0
"Sophocles",0,0,0,0,1,0,0,0,0,14,0,0,1
"Thucydides",0,0,0,0,0,3,0,0,1,0,8,2,6
"Xenophon",0,0,1,0,0,0,0,1,0,0,0,10,2
"-SUM-",0,1,3,1,4,4,0,1,4,1,1,6,26
"Aeschylus",18,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,9,0,0,0,0,0,1,1,0,1,0,3
"Herodotus",0,0,13,0,0,0,0,0,0,0,0,1,1
"Hesiod",0,0,0,11,10,0,1,0,0,0,0,0,11
"IlHomer",0,0,0,0,22,0,1,0,0,0,0,0,1
"Lysias",0,0,1,0,0,14,0,1,0,0,0,1,3
"OdHomer",0,0,0,2,3,0,17,0,0,0,0,0,5
"Plutarch",0,1,2,0,0,0,0,15,1,0,1,0,5
"Polybius",0,1,0,0,0,0,0,0,13,0,0,1,2
"Sophocles",2,0,0,0,1,0,0,0,0,11,0,0,3
"Thucydides",0,0,2,0,0,1,0,1,1,0,12,1,6
"Xenophon",0,0,2,0,0,1,0,0,1,0,3,4,7
"-SUM-",2,2,7,2,14,2,2,3,4,0,5,4,47
"Aeschylus",20,0,0,1,0,0,0,0,0,1,0,0,2
"Diodorus",0,16,0,0,0,0,0,0,4,0,0,0,4
"Herodotus",0,0,12,0,0,1,0,1,0,0,0,1,3
"Hesiod",1,0,0,8,4,0,0,0,0,0,0,0,5
"IlHomer",0,0,0,2,13,0,0,0,0,0,0,0,2
"Lysias",0,0,2,0,0,15,0,0,0,0,2,0,4
"OdHomer",0,0,0,0,1,0,19,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,12,1,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,15,0,0,0,0
"Sophocles",1,0,0,0,0,0,1,0,0,22,0,0,2
"Thucydides",0,1,1,0,0,1,0,0,1,0,7,0,4
"Xenophon",0,0,3,0,0,1,0,0,2,0,3,10,9
"-SUM-",2,1,6,3,5,3,1,1,8,1,5,1,37
"Aeschylus",16,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,12,0,0,0,0,0,0,3,0,1,0,4
"Herodotus",0,2,12,0,0,2,0,0,0,0,1,0,5
"Hesiod",0,0,0,13,2,0,2,0,0,1,0,0,5
"IlHomer",0,0,0,0,11,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,15,0,0,0,0,0,0,2
"OdHomer",1,0,0,0,2,0,17,0,0,0,0,0,3
"Plutarch",0,1,0,0,0,0,0,9,1,0,0,0,2
"Polybius",0,1,0,0,0,0,0,0,16,0,0,0,1
"Sophocles",2,0,0,0,1,0,1,0,0,22,0,0,4
"Thucydides",0,0,3,0,0,2,0,2,1,0,9,2,10
"Xenophon",0,0,4,0,0,3,0,0,0,0,2,8,9
"-SUM-",3,4,9,0,5,7,3,2,5,2,4,2,46
"Aeschylus",19,0,0,0,1,0,0,0,0,1,0,0,2
"Diodorus",0,12,0,0,0,0,0,0,3,0,1,0,4
"Herodotus",0,0,23,0,0,1,0,1,0,0,0,0,2
"Hesiod",0,0,0,8,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,1,17,0,0,0,0,0,0,0,1
"Lysias",0,0,2,0,0,14,0,0,0,0,3,0,5
"OdHomer",0,0,0,0,1,0,17,0,0,0,0,0,1
"Plutarch",0,1,0,0,0,0,0,15,3,0,1,0,5
"Polybius",0,1,0,0,0,0,0,0,17,0,1,0,2
"Sophocles",0,0,0,0,0,0,0,0,0,15,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,11,1,1
"Xenophon",0,0,2,0,0,1,0,1,0,0,3,7,7
"-SUM-",0,2,4,1,3,2,0,2,6,1,9,1,31
"Aeschylus",18,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,25,0,0,0,0,0,0,3,0,0,0,3
"Herodotus",0,1,17,0,0,0,0,2,0,0,1,0,4
"Hesiod",0,0,0,9,3,0,0,0,0,1,0,0,4
"IlHomer",0,0,0,0,13,0,1,0,0,0,0,0,1
"Lysias",0,0,2,0,0,12,0,0,0,0,1,0,3
"OdHomer",0,0,0,0,1,0,10,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,13,2,0,1,0,3
"Polybius",0,2,0,0,0,0,0,0,15,0,0,0,2
"Sophocles",1,0,0,0,0,0,0,0,0,19,0,0,1
"Thucydides",0,0,4,0,0,2,0,1,0,0,7,1,8
"Xenophon",0,1,2,0,0,3,0,1,0,0,2,7,9
"-SUM-",1,4,8,0,4,5,1,4,5,3,5,1,41
"Aeschylus",10,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,15,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,13,0,0,0,0,1,0,0,0,0,1
"Hesiod",0,0,0,11,5,0,0,0,0,0,0,0,5
"IlHomer",0,0,0,1,17,0,0,0,0,0,0,0,1
"Lysias",0,0,0,0,0,15,0,0,0,0,1,0,1
"OdHomer",0,0,0,0,1,0,23,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,1,0,17,1,0,0,0,2
