"","Aeschylus","DiodSic","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",21,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,9,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,11,0,0,0,0,0,0,0,1,0,1
"Hesiod",0,0,0,6,3,0,1,0,0,0,0,0,4
"IlHomer",0,0,0,0,18,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,10,0,0,0,0,0,2,2
"OdHomer",0,0,0,0,0,0,21,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,15,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,15,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,13,0,0,1
"Thucydides",0,0,0,0,0,1,0,0,0,0,8,1,2
"Xenophon",0,1,0,0,0,2,0,0,0,0,4,7,7
"-SUM-",1,1,0,0,3,3,1,0,1,0,5,3,18
"Aeschylus",14,0,0,0,0,0,0,0,0,4,0,0,4
"DiodSic",0,12,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,9,0,0,0,0,0,0,0,0,1,1
"Hesiod",1,0,0,12,5,0,2,0,0,0,0,0,8
"IlHomer",0,0,0,0,13,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,11,0,0,0,0,1,2,4
"OdHomer",0,0,0,0,0,0,17,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,8,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,18,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,14,0,0,0
"Thucydides",0,0,2,0,0,1,0,0,0,0,13,1,4
"Xenophon",0,0,0,0,0,0,0,1,0,0,0,7,1
"-SUM-",1,0,4,0,5,1,2,1,1,4,1,4,24
"Aeschylus",19,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,10,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,17,0,0,1,0,0,0,0,0,0,1
"Hesiod",0,0,0,11,2,0,1,0,0,0,0,0,3
"IlHomer",0,0,0,0,15,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,9,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,1,0,11,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,11,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,16,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,17,0,0,0
"Thucydides",0,0,2,0,0,1,0,1,0,0,10,1,5
"Xenophon",0,1,2,0,0,2,0,1,1,0,1,5,8
"-SUM-",0,1,4,0,3,4,1,2,3,1,1,1,21
"Aeschylus",14,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,11,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,10,0,0,1,0,0,0,0,1,0,2
"Hesiod",0,0,0,12,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,16,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,9,0,0,0,0,0,1,2
"OdHomer",0,0,0,0,1,0,19,0,0,0,0,0,1
"Plutarch",0,0,1,0,0,0,0,14,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,17,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,16,0,0,1
"Thucydides",0,0,1,0,0,0,0,1,0,0,13,2,4
"Xenophon",0,0,1,0,0,0,0,1,0,0,1,5,3
"-SUM-",1,0,4,0,2,1,0,2,0,1,2,3,16
"Aeschylus",12,0,0,0,0,0,0,0,0,2,0,0,2
"DiodSic",0,14,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,12,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,8,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,20,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,11,0,0,0,0,1,0,3
"OdHomer",0,0,0,0,0,0,23,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,10,0,0,1,0,1
"Polybius",0,0,0,0,0,0,0,0,15,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,10,0,0,0
"Thucydides",0,1,4,0,0,0,0,1,0,0,8,0,6
"Xenophon",0,0,1,0,0,2,0,0,0,0,3,7,6
"-SUM-",0,1,7,0,2,2,0,1,2,2,5,0,22
"Aeschylus",13,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,16,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,13,0,0,0,0,0,0,0,2,0,2
"Hesiod",0,0,0,10,3,0,0,0,0,0,0,0,3
"IlHomer",0,0,0,0,16,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,17,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,0,0,11,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,22,0,0,1,0,1
"Polybius",0,0,0,0,0,0,0,0,9,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,7,0,0,0
"Thucydides",0,0,3,0,0,1,0,0,0,0,12,0,4
"Xenophon",0,0,1,0,0,1,0,2,1,0,2,6,7
"-SUM-",0,0,4,0,3,2,0,2,3,0,5,1,20
"Aeschylus",14,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,10,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,14,0,0,0,0,0,0,0,1,0,1
"Hesiod",0,0,0,13,5,0,0,0,0,0,0,0,5
"IlHomer",0,0,0,0,15,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,9,0,0,0,0,0,0,2
"OdHomer",0,0,0,1,0,0,11,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,15,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,16,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,13,0,0,0
"Thucydides",0,0,2,0,0,1,0,0,1,0,11,1,5
"Xenophon",0,0,0,0,0,3,0,0,0,0,3,8,6
"-SUM-",0,0,4,1,5,4,0,0,3,1,4,1,23
"Aeschylus",11,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,8,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,11,0,0,0,0,0,0,0,0,1,1
"Hesiod",0,0,0,14,2,0,1,0,0,0,0,0,3
"IlHomer",0,0,0,0,20,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,14,0,0,0,0,3,0,4
"OdHomer",0,0,0,0,0,0,15,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,9,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,15,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,11,0,0,1
"Thucydides",0,0,1,0,0,0,0,0,0,0,13,0,1
"Xenophon",0,1,4,0,0,2,0,1,0,0,2,10,10
"-SUM-",1,1,6,0,2,2,1,1,1,0,5,1,21
"Aeschylus",16,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,14,1,0,0,0,0,0,0,0,0,0,1
"Herodotus",0,0,11,0,0,1,0,0,0,0,2,1,4
