"","Aeschylus","DiodSic","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",10,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,7,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,9,0,0,0,0,0,0,0,0,1,1
"Hesiod",0,0,0,5,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,9,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,5,0,0,0,0,1,1,2
"OdHomer",0,0,0,0,0,0,12,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,7,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,12,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,6,0,0,0
"Thucydides",0,0,0,0,0,0,0,1,0,0,8,0,1
"Xenophon",0,0,1,0,0,0,0,0,0,0,3,3,4
"-SUM-",0,0,2,0,2,0,0,1,1,0,4,2,12
"Aeschylus",10,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,12,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,7,0,0,1,0,0,0,0,0,0,1
"Hesiod",0,0,0,4,3,0,0,0,0,0,0,0,3
"IlHomer",0,0,0,0,6,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,6,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,12,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,10,0,0,1,0,1
"Polybius",0,2,0,0,0,0,0,0,8,0,0,0,2
"Sophocles",0,0,0,0,0,0,0,0,0,12,0,0,0
"Thucydides",0,0,1,0,0,0,0,0,0,0,4,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,5,0
"-SUM-",0,2,1,0,3,1,0,0,1,0,1,0,9
"Aeschylus",7,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,2,0,0,0,0,0,0,4,0,0,0,4
"Herodotus",0,0,14,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,6,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,7,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,9,0,0,0,0,1,1,3
"OdHomer",0,0,0,0,0,0,15,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,4,0,0,0,0,0
"Polybius",0,1,0,0,0,0,0,0,9,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,8,0,0,0
"Thucydides",0,0,1,0,0,0,0,0,0,0,8,0,1
"Xenophon",0,0,0,0,0,1,0,0,0,0,1,3,2
"-SUM-",0,1,2,0,1,1,1,0,4,0,2,1,13
"Aeschylus",8,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,6,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,7,0,0,0,0,0,0,0,1,0,1
"Hesiod",0,0,0,9,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,8,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,6,0,0,0,0,0,0,2
"OdHomer",0,0,0,0,3,0,11,0,0,0,0,0,3
"Plutarch",0,0,0,0,0,0,0,8,0,0,1,1,2
"Polybius",0,0,0,0,0,0,0,0,11,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,6,0,0,1
"Thucydides",0,0,1,0,0,0,0,0,0,0,7,1,2
"Xenophon",0,0,0,0,0,2,0,0,0,0,1,3,3
"-SUM-",1,0,3,0,4,2,0,0,0,0,3,2,15
"Aeschylus",12,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,7,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,5,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,7,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,7,0,1,0,0,0,0,0,1
"Lysias",0,0,1,0,0,5,0,0,0,0,0,0,1
"OdHomer",0,0,0,0,0,0,6,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,12,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,11,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,7,0,0,0
"Thucydides",0,0,1,0,0,1,0,0,0,0,5,0,2
"Xenophon",0,0,0,0,0,0,0,0,0,0,2,10,2
"-SUM-",0,0,2,0,1,1,2,0,2,1,2,0,11
"Aeschylus",11,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,7,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,6,0,0,0,0,0,0,0,1,0,1
"Hesiod",0,0,0,7,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,10,0,1,0,0,0,0,0,1
"Lysias",0,0,0,0,0,6,0,0,0,0,0,2,2
"OdHomer",0,0,0,0,0,0,8,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,11,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,5,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,8,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,8,1,1
"Xenophon",0,0,0,0,0,2,0,0,0,0,1,8,3
"-SUM-",0,0,0,0,0,2,1,0,1,1,2,3,10
"Aeschylus",10,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,6,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,8,0,0,0,0,0,0,0,2,0,2
"Hesiod",0,0,0,6,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,15,0,1,0,0,0,0,0,1
"Lysias",0,0,1,0,0,7,0,0,0,0,1,0,2
"OdHomer",0,0,0,0,0,0,8,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,8,0,0,0,0,0
"Polybius",0,2,0,0,0,0,0,0,9,0,0,0,2
"Sophocles",0,0,0,0,0,0,0,0,0,7,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,7,2,2
"Xenophon",0,0,0,0,0,1,0,1,0,0,1,2,3
"-SUM-",0,2,1,0,0,1,1,1,0,0,4,2,12
"Aeschylus",10,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,11,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,9,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,6,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,11,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,8,0,0,0,0,0,2,3
"OdHomer",0,0,0,0,0,0,6,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,5,0,0,0,0,0
"Polybius",0,0,0,0,0,1,0,0,11,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,8,0,0,0
"Thucydides",0,0,0,0,0,1,0,0,0,0,3,1,2
"Xenophon",0,0,1,0,0,2,0,0,0,0,0,4,3
"-SUM-",0,0,2,0,2,4,0,0,1,1,0,3,13
"Aeschylus",12,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,10,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,1,1
"Hesiod",0,0,0,4,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,9,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,4,0,0,0,0,0,1,1
"OdHomer",0,0,0,1,0,0,12,0,0,0,0,0,1
"Plutarch",0,0,1,0,0,0,0,7,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,1,8,0,0,1,2
"Sophocles",0,0,0,0,0,0,0,0,0,8,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,5,0,0
"Xenophon",0,0,0,0,0,1,0,0,0,0,5,8,6
"-SUM-",0,0,1,1,1,1,1,1,1,0,5,3,15
"Aeschylus",4,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,9,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,10,0,0,0,0,0,0,0,1,0,1
"Hesiod",0,0,0,10,0,0,0,0,0,0,0,0,0
