"","Aesch_Ag","Aesch_Ch","Aesch_Eum","Aesch_Pers","Aesch_Prom","Aesch_Sept","Aesch_Sup","Athen_12-13","DiodSic_11","Hdt_1","Hesiod_Op","Hesiod_Sh","Hesiod_Th","Iliad_1-4","Iliad_13-16","Iliad_17-20","Iliad_21-24","Iliad_5-8","Iliad_9-12","Lysias_Sels","Od_1-4","Od_13-16","Od_17-20","Od_21-24","Od_5-8","Od_9-12","Plb_1","Plb_9&10","Plut_Alc","Plut_Lyc","Soph_Aj","Soph_Ant","Soph_El","Soph_OT","Soph_Trach","Thuc_1"
"Aesch_Ag",0,66.8333527103832,70.7274279173851,72.9612144116827,69.9195803968048,69.9979603071167,71.1929209161005,67.0604168283649,84.954592979273,72.8494926572414,79.0189886853981,84.5258591452939,80.5464885051194,71.536141548897,67.8419658397464,68.5541943663174,66.8541941230009,68.9346026275155,69.7622443219632,76.798706309875,68.3604404158392,68.9155423036304,66.4813040108716,70.0471703292224,70.7382516888456,71.0003432977874,77.0657634298665,77.1199715531889,82.5017912537721,79.6730530878461,66.5445916042011,68.0042724380352,66.8208624361834,64.0139190118743,73.4592818619569,75.6916143806441
"Aesch_Ch",66.8333527103832,0,74.9620489887715,76.6544221211485,74.1799762933583,75.0936349665448,74.2694763317941,70.6640677046866,86.7779587679451,74.242769199778,83.4970576597673,86.7639063473524,83.2897827230699,73.85644222354,69.4529034044687,71.6298671718481,69.6276878313966,72.1123890473676,71.8780510291937,79.2832466243872,71.6148454746108,69.9674483572306,69.7302168099732,72.7280121111012,72.7170475357477,73.4283613490421,80.3678650370396,80.6740370004108,83.2018266134979,82.683532423595,69.6803150689853,73.0036900866815,71.7348318629464,69.6947300079914,75.2680414525759,77.6041364714892
"Aesch_Eum",70.7274279173851,74.9620489887715,0,78.3113141719363,75.1342038324141,75.1251714295539,77.9279912687094,69.5088015453441,86.5216602647938,74.2607107512818,83.6948147696527,87.8666884839651,84.3022795501482,74.1998230246599,68.7004768661512,72.823544174204,70.9660998964798,72.4417462376407,72.0354672358838,80.4163179376495,73.4608900508278,71.9234150939491,71.1114843033673,73.0746906028802,74.2519086051903,73.6978404586172,79.3129448252052,79.9366146070791,83.8372257050514,81.5826272739844,73.3220777656637,73.2061273648911,73.0192671611498,72.2276536596593,77.5176846754289,77.4717068256324
"Aesch_Pers",72.9612144116827,76.6544221211485,78.3113141719363,0,76.9849790984261,76.361226793306,76.5481635839212,75.0674710289144,87.8730843867699,76.0694910696837,83.5637134087216,87.9745002589436,81.4931159224764,75.721180144155,71.7139391621153,74.5413866985582,71.8793598824112,74.3465574007476,74.308119443555,83.9422039705926,72.2584412653932,71.9384475018442,71.5202433670821,73.2061606508022,74.1455203717032,74.6368337646207,82.2403547310205,83.3147096024001,86.2456522456151,85.9576201910453,75.6895419783236,72.6070538633224,75.7451030344398,73.495457463137,77.7858032901807,78.4295276377032
"Aesch_Prom",69.9195803968048,74.1799762933583,75.1342038324141,76.9849790984261,0,74.5921526092051,73.3852326344193,70.3437346019435,87.1884820541059,74.3546921137006,82.0377938241796,87.0212478940911,81.6215152421431,72.4104756866284,68.4597873200631,70.6888595143531,68.6375334396462,70.8503158250428,70.0458630071653,79.2949468292302,69.4678974558169,69.7037505080173,68.3506865996762,70.6751333279086,71.6835933442501,71.87760657668,80.2390381423043,81.173196580109,84.3078902281159,83.6958702907103,69.8587989354714,69.8805673622249,68.8731418676492,65.806812938308,73.5926332035794,77.4275967809366
"Aesch_Sept",69.9979603071167,75.0936349665448,75.1251714295539,76.361226793306,74.5921526092051,0,76.7749454284672,73.4298458373426,87.6804795450375,75.2971386292576,83.83466632007,86.9408106964523,81.3601710838993,73.3223069043943,69.3201462737392,72.789345431236,70.0850717064229,71.527228408634,71.7321014385597,82.0973536651454,71.0804656053542,69.9023069617462,70.8857908254439,71.2748753190947,72.9276976126981,72.5209858443218,81.3930465633173,81.6320523308272,85.6229519190013,84.4990991305552,73.278816533245,74.3084197209475,72.6938322274912,72.4256918836,76.6499702024274,78.3817621668365
"Aesch_Sup",71.1929209161005,74.2694763317941,77.9279912687094,76.5481635839212,73.3852326344193,76.7749454284672,0,72.0792053482528,90.0861810782386,77.9186579335268,85.5270548437402,88.746305216812,84.209935349813,76.8039594323465,72.778388938968,73.6015501204404,72.7887726181943,73.6776140180581,73.8621467046842,83.1855174089185,73.6644796036856,73.9934666696718,72.4408786735917,74.4177172219409,74.6019577567751,76.2836798297087,82.0583521446239,82.7405758363219,87.37296562336,86.1741126129416,73.9462926938243,75.3982861896609,72.1426243216445,71.4668169995875,76.4215579146415,81.7576757374175
"Athen_12-13",67.0604168283649,70.6640677046866,69.5088015453441,75.0674710289144,70.3437346019435,73.4298458373426,72.0792053482528,0,64.6995409958274,47.023798752187,74.897157919979,81.5501012590346,76.7410190810902,64.5248868595828,59.4914616654571,61.9506736700871,60.7166008085937,62.0340528855824,62.3347303843997,60.2213537479534,60.3814882919518,61.3069799583297,59.2554300388242,62.9913154617478,63.3937669728656,64.4569306748173,56.25702018418,56.5696735059071,62.5664671540963,58.6522014642598,65.3514457566739,65.3424639809816,67.1818914099573,62.205479926911,70.8232470333741,56.2148846868239
"DiodSic_11",84.954592979273,86.7779587679451,86.5216602647938,87.8730843867699,87.1884820541059,87.6804795450375,90.0861810782386,64.6995409958274,0,58.2394376846659,87.6104690513198,91.4464880360669,87.7099150994063,79.3509306626271,73.0141111541105,76.7198066669274,73.7845868794664,75.3782643770378,76.3241454636254,72.4400467599929,76.5280721726453,74.8883503559293,75.7855806801316,77.1035125437523,78.4242530753003,77.9725241382821,51.5645585113256,58.0057707115901,62.6614201667724,70.0765941596385,82.2230081876503,81.9965486023313,86.0163520188375,82.8612841291422,86.9185679493142,56.9272303311576
"Hdt_1",72.8494926572414,74.242769199778,74.2607107512818,76.0694910696837,74.3546921137006,75.2971386292576,77.9186579335268,47.023798752187,58.2394376846659,0,75.9860382594808,82.4102226661519,76.9579999832624,64.5103390380338,58.7354963515789,62.2781927487048,59.4267235469224,60.3944596763907,62.2671259804186,59.5726685106582,59.94301699107,60.0907232541915,59.9633307454963,61.5338351531423,64.0311150686684,63.3920205709836,56.0023665572947,55.326350746037,58.3507133453347,59.9587971286737,68.6330141439787,67.8689315197118,70.6917188575239,66.6014927036842,72.3037101026627,47.8871642564373
"Hesiod_Op",79.0189886853981,83.4970576597673,83.6948147696527,83.5637134087216,82.0377938241796,83.83466632007,85.5270548437402,74.897157919979,87.6104690513198,75.9860382594808,0,87.0169723038473,81.8514353667276,73.5234813228661,69.2383033796308,71.7568698177177,68.0957911049508,71.9536172954987,71.5733518219757,83.3018879686706,71.4515967511082,70.4396847689061,67.4473014661871,71.8514289614355,71.8767774367768,72.7089029800286,81.4920896265125,82.7225225809423,83.7414246979262,86.015128517978,77.637598777474,77.8264246864048,78.7839713147252,77.0045773755587,82.1814994458096,77.2525447821631
"Hesiod_Sh",84.5258591452939,86.7639063473524,87.8666884839651,87.9745002589436,87.0212478940911,86.9408106964523,88.746305216812,81.5501012590346,91.4464880360669,82.4102226661519,87.0169723038473,0,82.0352242391037,76.5040123650092,72.1861989227646,72.301998111164,71.3464688186165,74.1901587711404,75.0541267431189,89.3118296000538,76.0212493276728,76.3270656744078,75.4433941235575,77.5076174661191,76.7377032208048,76.6039270091321,86.7891004123745,88.6387196972626,91.0155927178173,91.6958510154889,83.9692133461395,85.4699998342832,86.8951625780264,84.2534118849617,88.9926219766041,83.8781222286258
"Hesiod_Th",80.5464885051194,83.2897827230699,84.3022795501482,81.4931159224764,81.6215152421431,81.3601710838993,84.209935349813,76.7410190810902,87.7099150994063,76.9579999832624,81.8514353667276,82.0352242391037,0,72.0195978523519,67.8220246818127,70.0772251561141,67.5137069160508,70.2634876277135,69.9123652435716,83.6692058091543,69.764474885766,69.6021039706754,69.8970837165607,70.6472024537034,71.0081817767933,69.8361009263526,81.7861617089018,84.3239119820218,86.2998011104608,86.5564064488076,79.7180931024525,81.2537323231788,81.3796134844747,80.4258066091446,84.1729947837508,78.7515717813195
"Iliad_1-4",71.536141548897,73.85644222354,74.1998230246599,75.721180144155,72.4104756866284,73.3223069043943,76.8039594323465,64.5248868595828,79.3509306626271,64.5103390380338,73.5234813228661,76.5040123650092,72.0195978523519,0,48.7002695414013,51.0181502463246,49.2135571465638,49.4845533613472,49.6820433965979,71.1206530583916,53.6665191183861,50.8653312651421,51.610011868165,53.5703820700048,54.090512692028,53.2248119241346,72.6704640789171,73.2849470010648,75.6397964842784,77.1042839541458,67.4383977988776,68.4770742832872,69.7871412493036,67.1589382743187,72.0891357612651,66.0979274521238
