,Athen_12-13,DiodSic_11,Hdt_1,Lysias_Sels,Plb_1,Plb_9&10,Plut_Alc,Plut_Lyc,Thuc_1
Athen_12-13,,,,,,,,,
DiodSic_11,64.699541,,,,,,,,
Hdt_1,47.02379875,58.23943768,,,,,,,
Lysias_Sels,60.22135375,72.44004676,59.57266851,,,,,,
Plb_1,56.25702018,51.56455851,56.00236656,65.81088497,,,,,
Plb_9&10,56.56967351,58.00577071,55.32635075,63.006833,47.24831383,,,,
Plut_Alc,62.56646715,62.66142017,58.35071335,68.10436902,61.03444883,61.48902708,,,
Plut_Lyc,58.65220146,70.07659416,59.95879713,67.26738841,61.46473539,60.42479608,64.37478763,,
Thuc_1,56.21488469,56.92723033,47.88716426,59.32040337,55.72859422,55.47824453,58.44114654,61.93981306,
,,,,,,,,,
,,,,,,,,,
average,59.45421793,,,,,,,,
,,,,,,,,,
max,72.44004676,,,,,,,,
,,,,,,,,,
min,47.02379875,,,,,,,,
