"","Aesch_Ag","Aesch_Ch","Aesch_Eum","Aesch_Pers","Aesch_Prom","Aesch_Sept","Aesch_Sup","Athen_12-13","DiodSic_11","Hdt_1","Hesiod_Op","Hesiod_Sh","Hesiod_Th","Iliad_1-4","Iliad_13-16","Iliad_17-20","Iliad_21-24","Iliad_5-8","Iliad_9-12","Lysias_Sels","Od_1-4","Od_13-16","Od_17-20","Od_21-24","Od_5-8","Od_9-12","Plb_1","Plb_9&10","Plut_Alc","Plut_Lyc","Soph_Aj","Soph_Ant","Soph_El","Soph_OT","Soph_Trach","Thuc_1"
"Aesch_Ag",0,4.3561971310152,2.46078508925707,4.76476712129294,5.19535658453658,5.0833344136163,5.13486611767392,4.57610947260617,7.08220801810995,5.86089186804259,5.07156530429292,5.36318792697655,5.2963818915035,6.30209636496226,6.93394695318702,6.40359556753215,7.51158057702637,6.8396936949455,6.53176819910616,5.61997393896416,6.21692291732628,6.52100443795415,6.09535367607391,6.52065557608709,6.54247640673554,7.09207732384877,6.40185673454945,6.33219804332619,6.81627392151644,5.63140224258804,4.99829213576808,4.93261133921909,5.45929478883965,5.09666321502741,5.07411540965632,7.05988505184689
"Aesch_Ch",4.3561971310152,0,3.769718268498,2.78737911914749,2.50963878755051,2.40201867048967,2.63175395553922,4.70621712480897,7.75801054151045,6.17853025413646,3.82308207463411,4.43626843388321,5.26889423338242,5.35286033691411,6.08379452849322,5.45223741307188,6.5107767869199,5.9429580540332,5.7072775481075,6.27278723760747,5.31456188042482,5.50004151695088,4.8523177720615,5.68661642779801,5.63424213528556,6.28837971058275,7.43522660987508,7.37553093282584,7.61251209014246,6.4462466617801,2.49053497266376,2.87651052474383,2.89597843537165,2.72542464858672,3.09820413717397,7.72643517394014
"Aesch_Eum",2.46078508925707,3.769718268498,0,3.76193107167554,3.95287809011664,3.97171496788716,5.04182856456545,4.01318918927834,6.10300288246982,4.7717283838885,4.04303232877644,4.34573574590291,4.4221557466349,4.79235096614139,5.37012281953213,4.95925955135093,5.88413102284033,5.28592109560304,4.97406018082894,4.92221990523807,4.687462486258,5.04127725900607,4.75981872133457,5.049534851545,4.98429654220017,5.4903306376648,5.79184311795644,5.69478118981733,5.91269765149928,4.98454931164203,4.17677458160176,3.78557713494339,4.74951979622412,4.27622232762387,4.00459660471025,5.99555606282489
"Aesch_Pers",4.76476712129294,2.78737911914749,3.76193107167554,0,2.41110286089517,1.95276411574023,3.74136704112684,3.83559107786185,6.25065505832733,4.70404372929317,2.92776138408503,3.54915720425786,3.90243131443402,4.200494012814,4.85209084881097,4.43009849637817,5.31388887994182,4.76695518699196,4.47017580582526,5.2720898625124,4.08763771531769,4.51582893644963,4.04971898674215,4.5792643337727,4.37667032427804,5.05328089290992,6.17188224453942,6.07455571637237,6.08200228789417,5.25558448436972,2.93089394150541,2.36573489598634,3.45131035393213,3.00515610895819,2.6509737802947,6.12011602108428
"Aesch_Prom",5.19535658453658,2.50963878755051,3.95287809011664,2.41110286089517,0,2.04426543704941,3.68507348585739,4.57275325067449,7.00244080364354,5.38090590271605,3.44625246544741,4.28765770163552,4.96197905855744,4.33820335866979,5.01892085826771,4.59074077111683,5.352077873861,4.85789294300851,4.60283129112489,5.75751409205646,4.15526589936093,4.48232408620725,4.00661747854314,4.69461341130575,4.51527386173078,5.10166112667004,6.99816460104982,6.83754162975499,6.83796014293547,6.0194158147476,2.32383773508751,2.10065346284746,2.75896815096231,2.39684729451635,2.3931431026436,6.81724805990489
"Aesch_Sept",5.0833344136163,2.40201867048967,3.97171496788716,1.95276411574023,2.04426543704941,0,3.44860681536813,4.33234120828359,6.88736106304345,5.35391841649215,3.34074262560122,3.93364174623353,4.6311445385691,4.54667430654139,5.14973936015139,4.73854217993841,5.52905214641737,5.02508274507677,4.84921748125434,5.98294648892182,4.48680945609904,4.8128925271363,4.30765365165305,4.9402755566727,4.77012231321043,5.35368363680008,6.83097514432226,6.7722230680136,6.82940622866925,5.94325317227213,2.58234063710387,2.36838606907032,3.22443949277952,2.87550780354009,2.77702063462524,6.85562922348304
"Aesch_Sup",5.13486611767392,2.63175395553922,5.04182856456545,3.74136704112684,3.68507348585739,3.44860681536813,0,5.42547853063633,8.74076093014645,7.2259873419802,4.81651105957801,5.47938084233739,6.1066252502347,6.62597796040112,7.3735074794066,6.71773440843597,7.82992833253704,7.19601764397045,6.97515384954552,7.09620450025454,6.56577224409225,6.73404709607902,6.05841506884927,6.93856698308007,6.89699689751326,7.54308040869402,8.22564838750692,8.11693097434426,8.5266367984143,7.22674317981091,3.4235975315972,3.98862378926275,3.56708719892883,3.56200056336369,4.15827974781889,8.70916063821197
"Athen_12-13",4.57610947260617,4.70621712480897,4.01318918927834,3.83559107786185,4.57275325067449,4.33234120828359,5.42547853063633,0,4.28991647534476,2.81892576048223,3.84098769436592,4.2161567817968,3.60355274670902,4.67285373942892,5.33604340673991,4.97286515139697,6.05150973304649,5.2727967084725,4.85904160733112,3.24920961495913,4.60349581142987,5.06824297720114,4.78950106774317,5.03090997841006,4.88783667566009,5.45587494959741,3.57395732129664,3.5546641723152,4.02246996786083,2.7403603767534,4.48343309305583,3.72510468714524,4.97448455048008,4.36543194048612,3.81508225320959,4.3039193096308
"DiodSic_11",7.08220801810995,7.75801054151045,6.10300288246982,6.25065505832733,7.00244080364354,6.88736106304345,8.74076093014645,4.28991647534476,0,2.36279387959226,5.69927054267834,5.6790442399474,4.73510753911161,5.23609504697458,5.29078437559609,5.50122724876536,5.85765636052761,5.41736460256503,5.02064296054984,3.83170253492197,5.2067208403648,5.6621997839962,6.00564513038231,5.45696657761063,5.24425343260659,5.34399164349277,2.3728069536131,2.6480583584315,2.00890254451117,3.23116961801961,7.38924466947294,6.27087746499129,7.94576420968603,7.30768199911147,6.43329756648942,2.00020309222082
"Hdt_1",5.86089186804259,6.17853025413646,4.7717283838885,4.70404372929317,5.38090590271605,5.35391841649215,7.2259873419802,2.81892576048223,2.36279387959226,0,4.30525239873345,4.49349376950285,3.70594408778676,3.85472746206981,4.20493586488363,4.24202845305223,4.81412908202404,4.22419336925423,3.80172113899932,2.77347030450363,3.74385197950729,4.28242191198535,4.44896461079092,4.12297227839167,3.88597574404733,4.20551872894283,2.81196974303969,2.70547393854277,2.3175681376411,2.52927455169513,5.72671938370685,4.62612857665278,6.26313063412503,5.62494448832207,4.73707024476896,2.06386078873
