"","x"
"1","atr-l"
"2","atr-l"
"3","auxy-d"
"4","auxy-d"
"5","auxp-r"
"6","auxp-r"
"7","obj-n"
"8","obj-n"
"9","coord-c"
"10","coord-c"
"11","adv-v"
"12","adv-v"
"13","auxk-u"
"14","auxk-u"
"15","#-auxk-u"
"16","#-auxk-u"
"17","atr-a"
"18","atr-a"
"19","adv-n"
"20","adv-n"
"21","obj-n-atr-l"
"22","obj-n-atr-l"
"23","pred-v-auxy-d"
"24","pred-v-auxy-d"
"25","#-pred-v-auxy-d"
"26","#-pred-v-auxy-d"
"27","pred-v"
"28","pred-v"
"29","#-pred-v"
"30","#-pred-v"
"31","atr-n"
"32","atr-n"
"33","sbj-n"
"34","sbj-n"
"35","coord-c-auxy-d"
"36","coord-c-auxy-d"
"37","obj-v"
"38","obj-v"
"39","auxz-d"
"40","auxz-d"
"41","adv-d"
"42","adv-d"
"43","auxp-r-adv-n"
"44","auxp-r-adv-n"
"45","obj-p"
"46","obj-p"
"47","pred_co-v"
"48","pred_co-v"
"49","coord-c-pred_co-v"
"50","coord-c-pred_co-v"
"51","auxc-c"
"52","auxc-c"
"53","adv-n-atr-l"
"54","adv-n-atr-l"
"55","sbj-n-atr-l"
"56","sbj-n-atr-l"
"57","adv_co-v"
"58","adv_co-v"
"59","coord-c-adv_co-v"
"60","coord-c-adv_co-v"
"61","#-coord-c-pred_co-v"
"62","#-coord-c-pred_co-v"
"63","atr-v"
"64","atr-v"
"65","sbj-p"
"66","sbj-p"
"67","atr-n-atr-l"
"68","atr-n-atr-l"
"69","auxp-r-adv-n-atr-l"
"70","auxp-r-adv-n-atr-l"
"71","#-coord-c-auxy-d"
"72","#-coord-c-auxy-d"
"73","pred-v-adv-v"
"74","pred-v-adv-v"
"75","#-pred-v-adv-v"
"76","#-pred-v-adv-v"
"77","adv-v-auxp-r"
"78","adv-v-auxp-r"
"79","auxc-c-adv-v"
"80","auxc-c-adv-v"
"81","adv-p"
"82","adv-p"
"83","adv-a"
"84","adv-a"
"85","obj_co-v"
"86","obj_co-v"
"87","obj-n-atr-a"
"88","obj-n-atr-a"
"89","pnom-a"
"90","pnom-a"
"91","coord-c-obj_co-v"
"92","coord-c-obj_co-v"
"93","pred-v-auxp-r"
"94","pred-v-auxp-r"
"95","#-pred-v-auxp-r"
"96","#-pred-v-auxp-r"
"97","adv-v-obj-n"
"98","adv-v-obj-n"
"99","atr-p"
"100","atr-p"
"101","obj_co-n"
"102","obj_co-n"
"103","#-coord-c"
"104","#-coord-c"
"105","auxp-r-obj-n"
"106","auxp-r-obj-n"
"107","coord-c-obj_co-n"
"108","coord-c-obj_co-n"
"109","pred-v-sbj-n"
"110","pred-v-sbj-n"
"111","#-pred-v-sbj-n"
"112","#-pred-v-sbj-n"
"113","obj-a"
"114","obj-a"
"115","#-pred-v-coord-c"
"116","#-pred-v-coord-c"
"117","pred-v-coord-c"
"118","pred-v-coord-c"
"119","auxp-r-adv-p"
"120","auxp-r-adv-p"
"121","adv-n-atr-a"
"122","adv-n-atr-a"
"123","obj-v-auxp-r"
"124","obj-v-auxp-r"
"125","sbj-v"
"126","sbj-v"
"127","pnom-n"
"128","pnom-n"
"129","coord-c-coord-c"
"130","coord-c-coord-c"
"131","#-pred-v-auxc-c"
"132","#-pred-v-auxc-c"
"133","pred-v-auxc-c"
"134","pred-v-auxc-c"
"135","adv_co-n"
"136","adv_co-n"
"137","auxp-r-atr-n"
"138","auxp-r-atr-n"
"139","pred-v-obj-v"
"140","pred-v-obj-v"
"141","#-pred-v-obj-v"
"142","#-pred-v-obj-v"
"143","pred-v-obj-n"
"144","pred-v-obj-n"
"145","#-pred-v-obj-n"
"146","#-pred-v-obj-n"
"147","auxp-r-obj-n-atr-l"
"148","auxp-r-obj-n-atr-l"
"149","adv-v-obj-n-atr-l"
"150","adv-v-obj-n-atr-l"
"151","adv-v-obj-v"
"152","adv-v-obj-v"
"153","pred_co-v-auxp-r"
"154","pred_co-v-auxp-r"
"155","coord-c-pred_co-v-auxp-r"
"156","coord-c-pred_co-v-auxp-r"
"157","pred_co-v-adv-v"
"158","pred_co-v-adv-v"
"159","#-pred-v-coord-c-adv_co-v"
"160","#-pred-v-coord-c-adv_co-v"
"161","pred-v-coord-c-adv_co-v"
"162","pred-v-coord-c-adv_co-v"
"163","coord-c-pred_co-v-adv-v"
"164","coord-c-pred_co-v-adv-v"
"165","pred_co-v-obj-n"
"166","pred_co-v-obj-n"
"167","coord-c-pred_co-v-obj-n"
"168","coord-c-pred_co-v-obj-n"
"169","obj-v-obj-n"
"170","obj-v-obj-n"
"171","sbj-n-atr-a"
"172","sbj-n-atr-a"
"173","obj-n-atr-n"
"174","obj-n-atr-n"
"175","pred-v-sbj-n-atr-l"
"176","pred-v-sbj-n-atr-l"
"177","#-pred-v-sbj-n-atr-l"
"178","#-pred-v-sbj-n-atr-l"
"179","coord-c-adv_co-n"
"180","coord-c-adv_co-n"
"181","adv-v-sbj-n"
"182","adv-v-sbj-n"
"183","adv-v-auxp-r-adv-n"
"184","adv-v-auxp-r-adv-n"
"185","#-coord-c-pred_co-v-auxp-r"
"186","#-coord-c-pred_co-v-auxp-r"
"187","adv_co-v-obj-n"
"188","adv_co-v-obj-n"
"189","#-coord-c-pred_co-v-adv-v"
"190","#-coord-c-pred_co-v-adv-v"
"191","adv-v-adv-d"
"192","adv-v-adv-d"
"193","pred-v-adv-d"
"194","pred-v-adv-d"
"195","#-pred-v-adv-d"
"196","#-pred-v-adv-d"
"197","adv_co-v-auxp-r"
"198","adv_co-v-auxp-r"
"199","#-coord-c-pred_co-v-obj-n"
"200","#-coord-c-pred_co-v-obj-n"
"201","coord-c-adv_co-v-obj-n"
"202","coord-c-adv_co-v-obj-n"
"203","obj-n-atr-v"
"204","obj-n-atr-v"
"205","coord-c-adv_co-v-auxp-r"
"206","coord-c-adv_co-v-auxp-r"
"207","sbj-a"
"208","sbj-a"
"209","sbj_co-n"
"210","sbj_co-n"
"211","auxp-r-adv-n-atr-a"
"212","auxp-r-adv-n-atr-a"
"213","atr-v-auxp-r"
"214","atr-v-auxp-r"
"215","#-pred-v-auxc-c-adv-v"
"216","#-pred-v-auxc-c-adv-v"
"217","pred-v-auxc-c-adv-v"
"218","pred-v-auxc-c-adv-v"
"219","adv-v-obj-p"
"220","adv-v-obj-p"
"221","obj-v-obj-p"
"222","obj-v-obj-p"
"223","#-pred-v-auxp-r-adv-n"
"224","#-pred-v-auxp-r-adv-n"
"225","pred-v-auxp-r-adv-n"
"226","pred-v-auxp-r-adv-n"
"227","coord-c-sbj_co-n"
"228","coord-c-sbj_co-n"
"229","adv-v-coord-c"
"230","adv-v-coord-c"
"231","coord-c-auxp-r"
"232","coord-c-auxp-r"
"233","pred-v-adv-v-auxp-r"
"234","pred-v-adv-v-auxp-r"
"235","obj-a-atr-l"
"236","obj-a-atr-l"
"237","#-pred-v-adv-v-auxp-r"
"238","#-pred-v-adv-v-auxp-r"
"239","coord-c-coord-c-pred_co-v"
"240","coord-c-coord-c-pred_co-v"
"241","sbj_co-v"
"242","sbj_co-v"
"243","coord-c-sbj_co-v"
"244","coord-c-sbj_co-v"
"245","atr_co-a"
"246","atr_co-a"
"247","pred-v-obj-n-atr-l"
"248","pred-v-obj-n-atr-l"
"249","#-pred-v-obj-n-atr-l"
"250","#-pred-v-obj-n-atr-l"
"251","coord-c-atr_co-a"
"252","coord-c-atr_co-a"
"253","coord-c-coord-c-adv_co-v"
"254","coord-c-coord-c-adv_co-v"
"255","pred-v-obj-p"
"256","pred-v-obj-p"
"257","pred_co-v-obj-n-atr-l"
"258","pred_co-v-obj-n-atr-l"
"259","#-pred-v-obj-p"
"260","#-pred-v-obj-p"
"261","obj-v-atr-l"
"262","obj-v-atr-l"
"263","auxp-r-atr-n-atr-l"
"264","auxp-r-atr-n-atr-l"
"265","sbj-n-atr-n"
"266","sbj-n-atr-n"
"267","coord-c-pred_co-v-obj-n-atr-l"
"268","coord-c-pred_co-v-obj-n-atr-l"
"269","#-coord-c-coord-c-pred_co-v"
"270","#-coord-c-coord-c-pred_co-v"
"271","atr_co-v"
"272","atr_co-v"
"273","obj_co-n-atr-l"
"274","obj_co-n-atr-l"
"275","obj-v-sbj-n"
"276","obj-v-sbj-n"
"277","coord-c-atr_co-v"
"278","coord-c-atr_co-v"
"279","coord-c-obj_co-n-atr-l"
"280","coord-c-obj_co-n-atr-l"
"281","auxp-r-adv-a"
"282","auxp-r-adv-a"
"283","atr_co-n"
"284","atr_co-n"
"285","adv-a-atr-l"
"286","adv-a-atr-l"
"287","obj-v-obj-n-atr-l"
"288","obj-v-obj-n-atr-l"
"289","obj_co-v-obj-n"
"290","obj_co-v-obj-n"
"291","pred-v-sbj-p"
"292","pred-v-sbj-p"
"293","#-pred-v-sbj-p"
"294","#-pred-v-sbj-p"
"295","adv-v-sbj-n-atr-l"
"296","adv-v-sbj-n-atr-l"
"297","coord-c-sbj-n"
"298","coord-c-sbj-n"
"299","adv-v-auxz-d"
"300","adv-v-auxz-d"
"301","exd-n"
"302","exd-n"
"303","auxp-r-coord-c-adv_co-n"
"304","auxp-r-coord-c-adv_co-n"
"305","auxc-c-coord-c-adv_co-v"
"306","auxc-c-coord-c-adv_co-v"
"307","coord-c-obj_co-v-obj-n"
"308","coord-c-obj_co-v-obj-n"
"309","coord-c-atr_co-n"
"310","coord-c-atr_co-n"
"311","#-pred-v-coord-c-auxy-d"
"312","#-pred-v-coord-c-auxy-d"
"313","pred-v-coord-c-auxy-d"
"314","pred-v-coord-c-auxy-d"
"315","adv-v-auxp-r-adv-n-atr-l"
"316","adv-v-auxp-r-adv-n-atr-l"
"317","auxc-c-obj-v"
"318","auxc-c-obj-v"
"319","pred-v-adv-v-obj-n"
"320","pred-v-adv-v-obj-n"
"321","#-pred-v-adv-v-obj-n"
"322","#-pred-v-adv-v-obj-n"
"323","pred_co-v-obj-v"
"324","pred_co-v-obj-v"
"325","coord-c-pred_co-v-obj-v"
"326","coord-c-pred_co-v-obj-v"
"327","pred_co-v-sbj-n"
"328","pred_co-v-sbj-n"
"329","obj-n-atr-n-atr-l"
"330","obj-n-atr-n-atr-l"
"331","auxp-r-coord-c"
"332","auxp-r-coord-c"
"333","adv-v-atr-l"
"334","adv-v-atr-l"
"335","#-coord-c-pred_co-v-obj-n-atr-l"
