"","x"
"1","Diodorus"
"2","Diodorus"
"3","Diodorus"
"4","Diodorus"
"5","Diodorus"
"6","Diodorus"
"7","Diodorus"
"8","Diodorus"
"9","Diodorus"
"10","Diodorus"
"11","Diodorus"
"12","Diodorus"
"13","Diodorus"
"14","Diodorus"
"15","Diodorus"
"16","Diodorus"
"17","Diodorus"
"18","Diodorus"
"19","Diodorus"
"20","Diodorus"
"21","Diodorus"
"22","Diodorus"
"23","Diodorus"
"24","Diodorus"
"25","Diodorus"
"26","Herodotus"
"27","Herodotus"
"28","Herodotus"
"29","Herodotus"
"30","Herodotus"
"31","Herodotus"
"32","Herodotus"
"33","Herodotus"
"34","Herodotus"
"35","Herodotus"
"36","Herodotus"
"37","Herodotus"
"38","Herodotus"
"39","Herodotus"
"40","Herodotus"
"41","Herodotus"
"42","Herodotus"
"43","Herodotus"
"44","Herodotus"
"45","Herodotus"
"46","Herodotus"
"47","Herodotus"
"48","Herodotus"
"49","Herodotus"
"50","Herodotus"
"51","Herodotus"
"52","Herodotus"
"53","Herodotus"
"54","Herodotus"
"55","Herodotus"
"56","Herodotus"
"57","Herodotus"
"58","Plutarch"
"59","Plutarch"
"60","Plutarch"
"61","Plutarch"
"62","Plutarch"
"63","Plutarch"
"64","Plutarch"
"65","Plutarch"
"66","Plutarch"
"67","Plutarch"
"68","Plutarch"
"69","Plutarch"
"70","Plutarch"
"71","Plutarch"
"72","Plutarch"
"73","Plutarch"
"74","Plutarch"
"75","Plutarch"
"76","Plutarch"
"77","Plutarch"
"78","Plutarch"
"79","Polybius"
"80","Polybius"
"81","Polybius"
"82","Polybius"
"83","Polybius"
"84","Polybius"
"85","Polybius"
"86","Polybius"
"87","Polybius"
"88","Polybius"
"89","Polybius"
"90","Polybius"
"91","Polybius"
"92","Polybius"
"93","Polybius"
"94","Polybius"
"95","Polybius"
"96","Polybius"
"97","Polybius"
"98","Polybius"
"99","Polybius"
"100","Polybius"
"101","Polybius"
"102","Polybius"
"103","Polybius"
"104","Polybius"
"105","Polybius"
"106","Polybius"
"107","Polybius"
"108","Polybius"
"109","Polybius"
"110","Polybius"
"111","Polybius"
"112","Polybius"
"113","Polybius"
"114","Polybius"
"115","Polybius"
"116","Polybius"
"117","Polybius"
"118","Polybius"
"119","Polybius"
"120","Polybius"
"121","Polybius"
"122","Polybius"
"123","Polybius"
"124","Polybius"
"125","Polybius"
"126","Polybius"
"127","Polybius"
"128","Polybius"
"129","Polybius"
"130","Polybius"
"131","Polybius"
"132","Polybius"
"133","Polybius"
"134","Polybius"
"135","Polybius"
"136","Polybius"
"137","Polybius"
"138","Polybius"
"139","Polybius"
"140","Polybius"
"141","Polybius"
"142","Polybius"
"143","Polybius"
"144","Polybius"
"145","Polybius"
"146","Polybius"
"147","Polybius"
"148","Polybius"
"149","Polybius"
"150","Polybius"
"151","Polybius"
"152","Thucydides"
"153","Thucydides"
"154","Thucydides"
"155","Thucydides"
"156","Thucydides"
"157","Thucydides"
"158","Thucydides"
"159","Thucydides"
"160","Thucydides"
"161","Thucydides"
"162","Thucydides"
"163","Thucydides"
"164","Thucydides"
"165","Thucydides"
"166","Thucydides"
"167","Thucydides"
"168","Thucydides"
"169","Thucydides"
"170","Thucydides"
"171","Thucydides"
"172","Thucydides"
"173","Thucydides"
"174","Thucydides"
"175","Thucydides"
