author_rate,chunk_rate,chunk_rel,
0.2,0.000823045,DiodorusSic_Book11-1,243
0.2,0.000823045,DiodorusSic_Book11-10,
0.2,0.000823045,DiodorusSic_Book11-100,
0.2,0.000823045,DiodorusSic_Book11-101,
0.2,0.000823045,DiodorusSic_Book11-102,
0.2,0.000823045,DiodorusSic_Book11-103,
0.2,0.000823045,DiodorusSic_Book11-104,
0.2,0.000823045,DiodorusSic_Book11-105,
0.2,0.000823045,DiodorusSic_Book11-106,
0.2,0.000823045,DiodorusSic_Book11-107,
0.2,0.000823045,DiodorusSic_Book11-108,
0.2,0.000823045,DiodorusSic_Book11-109,
0.2,0.000823045,DiodorusSic_Book11-11,
0.2,0.000823045,DiodorusSic_Book11-110,
0.2,0.000823045,DiodorusSic_Book11-111,
0.2,0.000823045,DiodorusSic_Book11-112,
0.2,0.000823045,DiodorusSic_Book11-113,
0.2,0.000823045,DiodorusSic_Book11-114,
0.2,0.000823045,DiodorusSic_Book11-115,
0.2,0.000823045,DiodorusSic_Book11-116,
0.2,0.000823045,DiodorusSic_Book11-117,
0.2,0.000823045,DiodorusSic_Book11-118,
0.2,0.000823045,DiodorusSic_Book11-119,
0.2,0.000823045,DiodorusSic_Book11-12,
0.2,0.000823045,DiodorusSic_Book11-120,
0.2,0.000823045,DiodorusSic_Book11-121,
0.2,0.000823045,DiodorusSic_Book11-122,
0.2,0.000823045,DiodorusSic_Book11-123,
0.2,0.000823045,DiodorusSic_Book11-124,
0.2,0.000823045,DiodorusSic_Book11-125,
0.2,0.000823045,DiodorusSic_Book11-126,
0.2,0.000823045,DiodorusSic_Book11-127,
0.2,0.000823045,DiodorusSic_Book11-128,
0.2,0.000823045,DiodorusSic_Book11-129,
0.2,0.000823045,DiodorusSic_Book11-13,
0.2,0.000823045,DiodorusSic_Book11-130,
0.2,0.000823045,DiodorusSic_Book11-131,
0.2,0.000823045,DiodorusSic_Book11-132,
0.2,0.000823045,DiodorusSic_Book11-133,
0.2,0.000823045,DiodorusSic_Book11-134,
0.2,0.000823045,DiodorusSic_Book11-135,
0.2,0.000823045,DiodorusSic_Book11-136,
0.2,0.000823045,DiodorusSic_Book11-137,
0.2,0.000823045,DiodorusSic_Book11-138,
0.2,0.000823045,DiodorusSic_Book11-139,
0.2,0.000823045,DiodorusSic_Book11-14,
0.2,0.000823045,DiodorusSic_Book11-140,
0.2,0.000823045,DiodorusSic_Book11-141,
0.2,0.000823045,DiodorusSic_Book11-142,
0.2,0.000823045,DiodorusSic_Book11-143,
0.2,0.000823045,DiodorusSic_Book11-144,
0.2,0.000823045,DiodorusSic_Book11-145,
0.2,0.000823045,DiodorusSic_Book11-146,
0.2,0.000823045,DiodorusSic_Book11-147,
0.2,0.000823045,DiodorusSic_Book11-148,
0.2,0.000823045,DiodorusSic_Book11-149,
0.2,0.000823045,DiodorusSic_Book11-15,
0.2,0.000823045,DiodorusSic_Book11-150,
0.2,0.000823045,DiodorusSic_Book11-151,
0.2,0.000823045,DiodorusSic_Book11-152,
0.2,0.000823045,DiodorusSic_Book11-153,
0.2,0.000823045,DiodorusSic_Book11-154,
0.2,0.000823045,DiodorusSic_Book11-155,
0.2,0.000823045,DiodorusSic_Book11-156,
0.2,0.000823045,DiodorusSic_Book11-157,
0.2,0.000823045,DiodorusSic_Book11-158,
0.2,0.000823045,DiodorusSic_Book11-159,
0.2,0.000823045,DiodorusSic_Book11-16,
0.2,0.000823045,DiodorusSic_Book11-160,
0.2,0.000823045,DiodorusSic_Book11-161,
0.2,0.000823045,DiodorusSic_Book11-162,
0.2,0.000823045,DiodorusSic_Book11-163,
0.2,0.000823045,DiodorusSic_Book11-164,
0.2,0.000823045,DiodorusSic_Book11-165,
0.2,0.000823045,DiodorusSic_Book11-166,
0.2,0.000823045,DiodorusSic_Book11-167,
0.2,0.000823045,DiodorusSic_Book11-168,
0.2,0.000823045,DiodorusSic_Book11-169,
0.2,0.000823045,DiodorusSic_Book11-17,
