author_rate,chunk_rate,chunk_ref,
0.2,0.002061856,DiodorusSic_Book11-1,97
0.2,0.002061856,DiodorusSic_Book11-10,
0.2,0.002061856,DiodorusSic_Book11-11,
0.2,0.002061856,DiodorusSic_Book11-12,
0.2,0.002061856,DiodorusSic_Book11-13,
0.2,0.002061856,DiodorusSic_Book11-14,
0.2,0.002061856,DiodorusSic_Book11-15,
0.2,0.002061856,DiodorusSic_Book11-16,
0.2,0.002061856,DiodorusSic_Book11-17,
0.2,0.002061856,DiodorusSic_Book11-18,
0.2,0.002061856,DiodorusSic_Book11-19,
0.2,0.002061856,DiodorusSic_Book11-2,
0.2,0.002061856,DiodorusSic_Book11-20,
0.2,0.002061856,DiodorusSic_Book11-21,
0.2,0.002061856,DiodorusSic_Book11-22,
0.2,0.002061856,DiodorusSic_Book11-23,
0.2,0.002061856,DiodorusSic_Book11-24,
0.2,0.002061856,DiodorusSic_Book11-25,
0.2,0.002061856,DiodorusSic_Book11-26,
0.2,0.002061856,DiodorusSic_Book11-27,
0.2,0.002061856,DiodorusSic_Book11-28,
0.2,0.002061856,DiodorusSic_Book11-29,
0.2,0.002061856,DiodorusSic_Book11-3,
0.2,0.002061856,DiodorusSic_Book11-30,
0.2,0.002061856,DiodorusSic_Book11-31,
0.2,0.002061856,DiodorusSic_Book11-32,
0.2,0.002061856,DiodorusSic_Book11-33,
0.2,0.002061856,DiodorusSic_Book11-34,
0.2,0.002061856,DiodorusSic_Book11-35,
0.2,0.002061856,DiodorusSic_Book11-36,
0.2,0.002061856,DiodorusSic_Book11-37,
0.2,0.002061856,DiodorusSic_Book11-38,
0.2,0.002061856,DiodorusSic_Book11-39,
0.2,0.002061856,DiodorusSic_Book11-4,
0.2,0.002061856,DiodorusSic_Book11-40,
0.2,0.002061856,DiodorusSic_Book11-41,
0.2,0.002061856,DiodorusSic_Book11-42,
0.2,0.002061856,DiodorusSic_Book11-43,
0.2,0.002061856,DiodorusSic_Book11-44,
0.2,0.002061856,DiodorusSic_Book11-45,
0.2,0.002061856,DiodorusSic_Book11-46,
0.2,0.002061856,DiodorusSic_Book11-47,
0.2,0.002061856,DiodorusSic_Book11-48,
