"","Diodorus","Herodotus","Plutarch","Polybius","Thucydides","-SUM-"
"Diodorus",3,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,1,2,0,2
"Polybius",0,0,0,6,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,2,0,2
"Diodorus",4,0,0,0,0,0
"Herodotus",0,1,0,0,0,0
"Plutarch",0,1,2,1,0,2
"Polybius",0,0,0,2,0,0
"Thucydides",1,1,0,0,5,2
"-SUM-",1,2,0,1,0,4
"Diodorus",2,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,2,3,0,3
"Polybius",0,0,0,2,0,0
"Thucydides",1,0,0,0,4,1
"-SUM-",1,0,0,3,0,4
"Diodorus",3,0,0,0,0,0
"Herodotus",0,0,0,0,0,0
"Plutarch",1,0,2,2,0,3
"Polybius",0,0,0,4,0,0
"Thucydides",0,2,0,0,4,2
"-SUM-",1,2,0,2,0,5
"Diodorus",1,0,0,0,0,0
"Herodotus",0,8,0,0,0,0
"Plutarch",0,0,1,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0
"Diodorus",4,0,0,1,0,1
"Herodotus",0,4,0,0,1,1
"Plutarch",0,0,3,1,0,1
"Polybius",0,0,0,1,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,2,1,3
"Diodorus",3,0,0,0,0,0
"Herodotus",0,7,0,0,0,0
"Plutarch",0,0,1,3,0,3
"Polybius",0,0,0,1,0,0
"Thucydides",0,0,0,1,2,1
"-SUM-",0,0,0,4,0,4
"Diodorus",3,0,0,1,0,1
"Herodotus",0,2,0,0,1,1
"Plutarch",0,0,2,2,1,3
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,1,0,1,1
"-SUM-",0,0,1,3,2,6
"Diodorus",0,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,3,1,0,1
"Polybius",1,0,0,6,0,1
"Thucydides",1,2,0,0,1,3
"-SUM-",2,2,0,1,0,5
"Diodorus",2,0,0,0,0,0
"Herodotus",0,5,0,0,0,0
"Plutarch",1,0,2,2,1,4
"Polybius",0,0,0,2,0,0
"Thucydides",0,1,0,0,2,1
"-SUM-",1,1,0,2,1,5
"Diodorus",1,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,4,3,0,3
"Polybius",0,0,0,3,0,0
"Thucydides",0,2,0,0,3,2
"-SUM-",0,2,0,3,0,5
"Diodorus",3,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,4,0,1,1
"Polybius",0,0,0,3,0,0
"Thucydides",0,1,1,0,1,2
"-SUM-",0,1,1,0,1,3
"Diodorus",3,0,0,1,0,1
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,2,1,0,1
"Polybius",0,0,0,3,0,0
"Thucydides",2,1,0,0,1,3
"-SUM-",2,1,0,2,0,5
"Diodorus",1,0,0,2,0,2
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",1,1,1,1,3,4
"-SUM-",1,1,1,3,0,6
"Diodorus",5,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,7,0,0
"Thucydides",0,0,0,0,1,0
"-SUM-",0,0,0,0,0,0
"Diodorus",1,0,0,0,0,0
"Herodotus",0,5,0,0,1,1
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",1,0,0,1,4,2
"-SUM-",1,0,0,1,1,3
"Diodorus",4,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,1,1,0,1
"Polybius",0,0,0,3,0,0
"Thucydides",0,1,0,0,4,1
"-SUM-",0,1,0,1,0,2
"Diodorus",3,0,0,2,0,2
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,3,2,0,2
"Polybius",0,0,0,1,0,0
"Thucydides",0,0,1,0,2,1
"-SUM-",0,0,1,4,0,5
"Diodorus",4,0,0,0,0,0
