"","Diodorus","Herodotus","Plutarch","Polybius","Thucydides","-SUM-"
"Diodorus",30,0,0,12,0,12
"Herodotus",2,29,1,3,2,8
"Plutarch",1,4,17,5,1,11
"Polybius",4,1,2,27,0,7
"Thucydides",2,10,0,2,15,14
"-SUM-",9,15,3,22,3,52
"Diodorus",20,1,2,10,0,13
"Herodotus",0,26,0,0,1,1
"Plutarch",1,5,23,7,1,14
"Polybius",5,2,2,26,3,12
"Thucydides",2,7,3,3,20,15
"-SUM-",8,15,7,20,5,55
"Diodorus",22,2,0,11,1,14
"Herodotus",0,22,0,1,2,3
"Plutarch",2,1,22,8,3,14
"Polybius",3,1,2,29,2,8
"Thucydides",1,8,5,2,20,16
"-SUM-",6,12,7,22,8,55
"Diodorus",26,1,1,10,0,12
"Herodotus",2,26,2,1,6,11
"Plutarch",0,4,17,3,1,8
"Polybius",6,2,0,24,0,8
"Thucydides",3,9,6,1,19,19
"-SUM-",11,16,9,15,7,58
"Diodorus",23,2,1,9,1,13
"Herodotus",1,18,0,4,2,7
"Plutarch",2,3,18,3,1,9
"Polybius",5,1,2,39,1,9
"Thucydides",1,4,5,2,22,12
"-SUM-",9,10,8,18,5,50
"Diodorus",23,2,1,13,0,16
"Herodotus",1,26,1,1,5,8
"Plutarch",1,4,19,3,3,11
"Polybius",4,1,2,20,2,9
"Thucydides",1,6,3,5,23,15
"-SUM-",7,13,7,22,10,59
"Diodorus",19,0,0,8,0,8
"Herodotus",4,29,0,0,2,6
"Plutarch",3,5,29,5,3,16
"Polybius",2,2,0,24,1,5
"Thucydides",0,5,4,5,20,14
"-SUM-",9,12,4,18,6,49
"Diodorus",31,1,1,5,1,8
"Herodotus",2,27,1,1,6,10
"Plutarch",2,3,19,2,5,12
"Polybius",2,0,2,31,2,6
"Thucydides",1,5,2,2,16,10
"-SUM-",7,9,6,10,14,46
"Diodorus",20,5,0,7,2,14
"Herodotus",2,26,0,5,5,12
"Plutarch",1,0,21,6,4,11
"Polybius",2,0,3,27,1,6
"Thucydides",2,8,3,1,19,14
"-SUM-",7,13,6,19,12,57
"Diodorus",15,1,0,6,2,9
"Herodotus",1,24,1,1,1,4
"Plutarch",1,2,23,6,5,14
"Polybius",3,0,1,41,2,6
"Thucydides",1,7,4,3,19,15
"-SUM-",6,10,6,16,10,48
"Diodorus",15,2,1,9,1,13
"Herodotus",4,30,2,3,4,13
"Plutarch",1,4,13,3,4,12
"Polybius",5,0,2,29,0,7
"Thucydides",0,8,6,4,20,18
"-SUM-",10,14,11,19,9,63
"Diodorus",19,1,2,9,3,15
"Herodotus",1,20,2,0,4,7
"Plutarch",1,4,23,4,5,14
"Polybius",5,0,0,30,0,5
"Thucydides",4,5,1,7,20,17
"-SUM-",11,10,5,20,12,58
"Diodorus",19,0,0,9,1,10
"Herodotus",1,25,1,3,5,10
"Plutarch",1,3,20,5,4,13
"Polybius",8,0,3,26,0,11
"Thucydides",2,9,1,5,19,17
"-SUM-",12,12,5,22,10,61
"Diodorus",29,2,0,8,0,10
"Herodotus",1,26,1,1,3,6
"Plutarch",3,5,17,7,3,18
"Polybius",4,1,5,17,2,12
"Thucydides",4,3,2,2,24,11
"-SUM-",12,11,8,18,8,57
"Diodorus",25,4,1,10,2,17
"Herodotus",3,17,1,2,3,9
"Plutarch",2,1,25,8,3,14
"Polybius",3,2,2,28,0,7
"Thucydides",0,6,4,2,16,12
"-SUM-",8,13,8,22,8,59
"Diodorus",27,2,1,7,0,10
"Herodotus",0,23,1,4,2,7
"Plutarch",3,1,21,6,4,14
"Polybius",4,0,0,24,0,4
"Thucydides",3,10,1,3,23,17
"-SUM-",10,13,3,20,6,52
"Diodorus",22,5,1,10,0,16
"Herodotus",3,28,2,1,4,10
"Plutarch",1,4,20,6,2,13
"Polybius",2,1,0,21,0,3
"Thucydides",0,10,2,7,18,19
"-SUM-",6,20,5,24,6,61
"Diodorus",18,1,0,11,0,12
"Herodotus",1,23,3,1,5,10
"Plutarch",4,5,17,4,6,19
"Polybius",4,0,1,28,0,5
"Thucydides",1,10,4,1,22,16
"-SUM-",10,16,8,17,11,62
"Diodorus",16,0,2,12,0,14
"Herodotus",1,27,2,5,7,15
"Plutarch",0,5,18,3,3,11
"Polybius",3,1,2,21,3,9
"Thucydides",2,6,3,6,22,17
"-SUM-",6,12,9,26,13,66
"Diodorus",15,1,0,7,0,8
"Herodotus",4,24,2,0,6,12
"Plutarch",6,4,11,10,9,29
"Polybius",2,1,0,29,0,3
"Thucydides",4,6,2,1,26,13
"-SUM-",16,12,4,18,15,65
"Diodorus",19,3,0,8,0,11
"Herodotus",0,29,0,2,4,6
"Plutarch",3,0,20,4,2,9
"Polybius",3,1,1,43,1,6
"Thucydides",1,3,0,2,21,6
"-SUM-",7,7,1,16,7,38
"Diodorus",17,1,3,11,0,15
"Herodotus",0,21,4,2,3,9
"Plutarch",1,4,15,8,4,17
