"","Diodorus","Herodotus","Plutarch","Polybius","Thucydides","-SUM-"
"Diodorus",3,0,0,0,0,0
"Herodotus",0,7,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,0,0,0
"Thucydides",0,1,0,0,5,1
"-SUM-",0,1,0,0,0,1
"Diodorus",3,0,0,1,0,1
"Herodotus",0,1,0,0,0,0
"Plutarch",0,0,5,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,1,0,1
"Diodorus",2,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,6,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0
"Diodorus",1,0,0,0,0,0
"Herodotus",0,7,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",5,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0
"Diodorus",4,0,0,1,0,1
"Herodotus",0,2,0,0,1,1
"Plutarch",0,0,5,0,0,0
"Polybius",0,0,0,1,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,1,1,2
"Diodorus",2,0,0,1,0,1
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,0,0,1,0,1
"Diodorus",5,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,1,2,0,0,1
"Polybius",0,0,0,1,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,1,0,0,0,1
"Diodorus",4,0,0,0,0,0
"Herodotus",0,6,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,1,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0
"Diodorus",1,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,1,0,0,6,1
"-SUM-",0,1,0,0,0,1
"Diodorus",3,0,0,0,0,0
"Herodotus",0,5,0,0,0,0
"Plutarch",0,1,2,0,0,1
"Polybius",0,0,0,4,0,0
"Thucydides",0,1,0,0,2,1
"-SUM-",0,2,0,0,0,2
"Diodorus",6,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",2,0,0,1,0,1
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,6,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,1,0,1
"Diodorus",5,0,0,0,0,0
"Herodotus",0,1,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,6,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,0,0,0,0,0
"Diodorus",3,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,0,0,0,0,0
"Diodorus",4,0,0,0,0,0
"Herodotus",0,1,0,0,0,0
"Plutarch",0,1,4,0,0,1
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,1,0,0,0,1
"Diodorus",1,0,0,0,0,0
"Herodotus",0,5,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0
"Diodorus",6,0,0,0,0,0
"Herodotus",0,1,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",5,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,1,0,1,1,2
"-SUM-",0,1,0,1,0,2
"Diodorus",0,0,0,1,0,1
"Herodotus",0,4,0,0,0,0
"Plutarch",0,1,4,0,0,1
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,1,0,1,0,2
"Diodorus",7,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,1,0
"-SUM-",0,0,0,0,0,0
"Diodorus",3,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,1,3,0,0,1
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,1,0,0,0,1
"Diodorus",5,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,0,0,0,0,0
"Diodorus",5,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,0,0,0,0,0
"Diodorus",2,0,0,1,0,1
"Herodotus",0,6,0,0,0,0
"Plutarch",0,0,5,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,1,0
"-SUM-",0,0,0,1,0,1
"Diodorus",3,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,6,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,0,0,0,0,0
"Diodorus",3,0,0,1,0,1
"Herodotus",0,3,0,0,0,0
"Plutarch",0,1,2,0,0,1
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,1,0,1,0,2
"Diodorus",6,0,0,0,0,0
"Herodotus",0,5,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0
"Diodorus",3,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,1,4,1
"-SUM-",0,0,0,1,0,1
"Diodorus",6,0,0,0,0,0
"Herodotus",0,5,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,0,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",5,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,1,3,0,0,1
"Polybius",0,0,0,1,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,1,0,0,0,1
"Diodorus",5,0,0,0,0,0
"Herodotus",0,4,0,0,1,1
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,1,1
"Diodorus",2,0,0,1,0,1
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,6,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,0,0,1,0,1
"Diodorus",3,0,0,0,0,0
"Herodotus",0,1,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,7,0
"-SUM-",0,0,0,0,0,0
"Diodorus",6,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,1,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",2,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,5,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0
"Diodorus",3,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,1,3,0,0,1
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,1,0,0,0,1
"Diodorus",3,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",1,0,0,5,0,1
"Thucydides",0,0,0,0,4,0
"-SUM-",1,0,0,0,0,1
"Diodorus",0,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,1,0,0,7,1
"-SUM-",0,1,0,0,0,1
"Diodorus",4,0,0,1,0,1
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,1,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,1,0,1
"Diodorus",5,0,0,1,0,1
"Herodotus",0,6,0,0,0,0
"Plutarch",0,0,1,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,1,0,1
"Diodorus",7,0,0,0,0,0
"Herodotus",0,6,0,0,0,0
"Plutarch",0,0,1,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,0,0,0,0,0
"Diodorus",1,0,0,1,0,1
"Herodotus",0,5,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,1,0,1
"Diodorus",1,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,0,0,0,0,0
"Diodorus",2,0,0,0,0,0
"Herodotus",0,7,0,0,0,0
"Plutarch",0,1,0,0,0,1
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,1,0,0,0,1
"Diodorus",4,0,0,0,0,0
"Herodotus",0,6,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,0,0
"-SUM-",0,0,0,0,0,0
"Diodorus",2,0,0,1,0,1
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,7,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,1,0,1
"Diodorus",3,0,0,1,0,1
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,1,0,1
"Diodorus",2,0,0,0,0,0
"Herodotus",0,6,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0
"Diodorus",6,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,1,2,0,0,1
"Polybius",0,0,0,1,1,1
"Thucydides",0,0,0,0,3,0
"-SUM-",0,1,0,0,1,2
"Diodorus",5,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,1,3,0,0,1
"Polybius",0,0,0,1,1,1
"Thucydides",0,0,0,0,3,0
"-SUM-",0,1,0,0,1,2
"Diodorus",6,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,1,1,0,2,2
"-SUM-",0,1,1,0,0,2
"Diodorus",2,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,1,4,0,0,1
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,1,0,0,0,1
"Diodorus",1,0,0,1,0,1
"Herodotus",0,1,0,0,0,0
"Plutarch",0,1,5,0,0,1
"Polybius",0,0,0,6,0,0
"Thucydides",0,1,0,0,2,1
"-SUM-",0,2,0,1,0,3
"Diodorus",5,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,1,0,0,3,1
"-SUM-",0,1,0,0,0,1
"Diodorus",2,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,1,3,0,0,1
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,1,0,0,0,1
"Diodorus",4,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,0,0,0,0,0
"Diodorus",2,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,5,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,0,0,0,0,0
"Diodorus",2,0,0,0,0,0
"Herodotus",0,5,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,2,0,0,4,2
"-SUM-",0,2,0,0,0,2
"Diodorus",4,0,0,1,0,1
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,1,0,1
"Diodorus",3,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,1,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,7,0
"-SUM-",0,0,0,0,0,0
"Diodorus",1,0,0,0,0,0
"Herodotus",0,5,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,2,0,1,4,3
"-SUM-",0,2,0,1,0,3
"Diodorus",3,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,5,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",2,0,0,2,0,2
"Herodotus",0,4,0,0,1,1
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,0,0,2,1,3
"Diodorus",4,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",2,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",3,0,0,0,0,0
"Herodotus",0,6,0,0,0,0
"Plutarch",0,1,2,0,0,1
"Polybius",0,0,0,4,0,0
"Thucydides",0,1,0,0,1,1
"-SUM-",0,2,0,0,0,2
"Diodorus",3,0,0,1,0,1
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,6,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,1,0,1
"Diodorus",1,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,2,6,0,0,2
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,2,0,0,0,2
"Diodorus",4,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,1,4,0,0,1
"Polybius",0,0,0,2,1,1
"Thucydides",0,0,0,0,2,0
"-SUM-",0,1,0,0,1,2
"Diodorus",4,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,1,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",6,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,1,0,0,2,1
"-SUM-",0,1,0,0,0,1
"Diodorus",2,0,0,1,0,1
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,7,0,0
"Thucydides",0,0,0,0,1,0
"-SUM-",0,0,0,1,0,1
"Diodorus",6,0,0,1,0,1
"Herodotus",0,3,0,0,0,0
"Plutarch",0,1,2,0,0,1
"Polybius",0,0,0,1,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,1,0,1,0,2
"Diodorus",4,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,1,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,7,0
"-SUM-",0,0,0,0,0,0
"Diodorus",3,0,0,0,0,0
"Herodotus",0,5,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",3,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,6,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0
"Diodorus",1,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,1,3,0,0,1
"Polybius",0,0,0,7,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,1,0,0,0,1
"Diodorus",1,0,0,0,0,0
"Herodotus",0,7,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",2,0,0,0,0,0
"Herodotus",0,5,0,0,0,0
"Plutarch",0,1,2,0,0,1
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,1,0,0,0,1
"Diodorus",4,0,0,1,0,1
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,1,0,1
"Diodorus",5,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,1,1,0,0,1
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,1,0,0,0,1
"Diodorus",2,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,1,4,0,0,1
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,1,0,0,0,1
"Diodorus",3,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,0,0,0,0,0
"Diodorus",3,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,5,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0
"Diodorus",4,0,0,0,0,0
"Herodotus",0,5,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",1,0,0,1,0,1
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,1,0,0
"Thucydides",0,1,0,0,7,1
"-SUM-",0,1,0,1,0,2
"Diodorus",2,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,0,0,0,0,0
"Diodorus",3,0,0,0,0,0
"Herodotus",0,6,0,0,0,0
"Plutarch",0,0,1,0,0,0
"Polybius",0,0,0,6,0,0
"Thucydides",0,0,0,0,2,0
"-SUM-",0,0,0,0,0,0
"Diodorus",6,0,0,1,0,1
"Herodotus",0,5,0,0,1,1
"Plutarch",0,0,2,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,1,0
"-SUM-",0,0,0,1,1,2
"Diodorus",6,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,2,0,0,0
"Polybius",1,0,0,2,0,1
"Thucydides",0,0,0,0,5,0
"-SUM-",1,0,0,0,0,1
"Diodorus",2,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,1,4,0,0,1
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,1,0,0,0,1
"Diodorus",3,0,0,1,0,1
"Herodotus",0,4,0,0,0,0
"Plutarch",0,1,1,0,0,1
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,1,0,1,0,2
"Diodorus",1,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,7,0,0,0
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,1,0
"-SUM-",0,0,0,0,0,0
"Diodorus",3,0,0,0,0,0
"Herodotus",0,6,0,0,0,0
"Plutarch",0,0,0,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,0,0,0,0,0
"Diodorus",5,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,1,0,0,0
"Polybius",1,0,0,5,0,1
"Thucydides",0,0,0,0,3,0
"-SUM-",1,0,0,0,0,1
"Diodorus",3,0,0,0,0,0
"Herodotus",0,4,1,0,0,1
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,2,0,0
"Thucydides",0,0,0,0,5,0
"-SUM-",0,0,1,0,0,1
"Diodorus",5,0,0,0,0,0
"Herodotus",0,3,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0
"Diodorus",4,0,0,0,0,0
"Herodotus",0,2,0,0,0,0
"Plutarch",0,0,5,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0
"Diodorus",2,0,0,0,0,0
"Herodotus",0,2,0,0,1,1
"Plutarch",0,1,3,0,0,1
"Polybius",0,0,0,6,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,1,0,0,1,2
