"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"Aeschylus_Agamemnon","9527","9527","7815","5419","3309","1786","917","445","198","82","42"
"Aeschylus_Ch","5501","5501","4465","3059","1808","957","475","227","117","75","51"
"Aeschylus_Eumenides","6148","6148","5046","3533","2113","1065","497","208","72","21","5"
"Aeschylus_Persians","5961","5961","4940","3506","2168","1126","503","194","76","30","15"
"Aeschylus_Prometheus","6823","6823","5603","3895","2368","1252","644","332","184","126","87"
"Aeschylus_Seven","5974","5974","4877","3422","2020","1012","457","230","131","81","50"
"Aeschylus_Suppliants","5748","5748","4593","3074","1806","864","372","142","59","27","15"
"Athenaeus_Book12","19334","19334","17256","13664","9950","6483","3790","2154","1200","653","355"
"Athenaeus_Book13","23781","23781","20813","15677","10608","6419","3459","1759","841","391","187"
"Demosthenes_Philippic1","3591","3591","3265","2687","2164","1627","1172","816","542","334","201"
"DiodorusSic_Book11","24223","24223","22240","17927","13274","8406","4559","2269","1062","476","228"
"Herodotus_Book1","31158","31158","28003","21951","15731","9768","5322","2691","1331","656","352"
"Hesiod_Shield","3705","3705","3178","2281","1436","830","496","295","162","90","46"
"Hesiod_Theogony","7761","7761","6867","5270","3650","2022","1122","611","233","82","31"
"Hesiod_Works","6654","6654","5661","3934","2423","1233","575","238","70","17","2"
"HomerIliad_Iliad-full","123727","123727","106738","75222","46291","26086","13864","6987","3431","1627","799"
"HomerOdy_Odyssey-full","98229","98229","84377","57632","35211","19405","10257","5367","2841","1464","755"
"Lysias_SelectOrations","20400","20400","18449","14740","11383","8211","5574","3610","2186","1282","754"
"Plutarch_Alcibiades","10640","10640","9794","8093","6185","4265","2700","1592","922","537","294"
"Plutarch_Lycurgus","9996","9996","9117","7518","5761","3919","2459","1421","741","359","185"
"Polybius_Book1","26894","26894","24887","20461","15651","10622","6465","3683","2033","1022","478"
"Polybius_Book10","14060","14060","13010","10925","8654","6123","3940","2349","1334","736","372"
"Polybius_Book2","20067","20067","18608","15418","11971","8271","5209","3065","1733","923","496"
"Polybius_Book21","11560","11560","10542","8566","6510","4396","2648","1460","773","373","169"
"Polybius_Book6","16376","16376","15110","12529","9794","6787","4209","2446","1317","700","375"
"Polybius_Book9","10966","10966","10072","8331","6590","4750","3109","1876","1065","570","286"
"Sophocles_Ajax","9110","9110","7517","5257","3284","1820","938","456","234","130","84"
"Sophocles_Antigone","8443","8443","7040","5027","3133","1691","835","376","184","89","43"
"Sophocles_Electra","10121","10121","8220","5604","3530","1975","1046","553","328","198","110"
"Sophocles_OT","10752","10752","8842","6158","3922","2226","1165","598","291","140","68"
"Sophocles_Trachiniae","8316","8316","6963","5044","3348","1954","1083","601","303","154","77"
"Thucydides_Book1","23913","23913","21942","17952","13787","9451","5893","3374","1824","958","459"
"Xenophon_Cyr1","13105","13105","11750","9411","7059","4880","3093","1812","955","483","241"
"Xenophon_Hell1","8000","8000","7241","5720","4243","2798","1659","919","528","305","179"
