,Diod_Sic_Book_11_s-253_w-8,Diod_Sic_Book_11_s-564_w-22,DiodorusSic_Book11,Hdt_Book_1_s-1440_w-6,Hdt_Book_1_s-743_w-4,Herodotus_Book1,Plutarch_Alcibiades,Plutarch_Alcibiades_s-132_w-14,Plutarch_Alcibiades_s-295_w-2,Plutarch_Lycurgus,Plutarch_Lycurgus_s-116_w-28,Plutarch_Lycurgus_s-163_w-3,Polybius_Book1,Polybius_Book_1_s-458_w-2,Polybius_Book_1_s-560_w-48,Thuc_Book_1_s-552_w-19,Thuc_Book_1_s-586_w-15,Thucydides_Book1
Diod_Sic_Book_11_s-253_w-8,NA,0.364789062,0.046902351,0.312305723,0.349243594,0.037468033,0.100394961,0.331429945,0.365569651,0.111658808,0.342293801,0.334286736,0.039387369,0.33632878,0.349439573,0.345339105,0.343825374,0.044528776
Diod_Sic_Book_11_s-564_w-22,NA,NA,0.046510854,0.338762215,0.362724952,0.037384049,0.101286037,0.336222047,0.356096657,0.112104133,0.346027577,0.361167848,0.039028204,0.368023677,0.360182638,0.357670603,0.328125,0.044188592
DiodorusSic_Book11,NA,NA,NA,0.041779598,0.04115474,0.403950003,0.286901535,0.042648865,0.041906332,0.263388392,0.043394038,0.044241791,0.413889306,0.04422502,0.047026755,0.047547329,0.043139588,0.411487953
Hdt_Book_1_s-1440_w-6,NA,NA,NA,NA,0.339630016,0.034141602,0.089444783,0.313790047,0.308969885,0.100361725,0.333167144,0.344751866,0.034863322,0.316234463,0.315400586,0.322412329,0.280731847,0.040078443
Hdt_Book_1_s-743_w-4,NA,NA,NA,NA,NA,0.033295119,0.089689006,0.351559492,0.365417376,0.100107335,0.34318555,0.337063649,0.034567821,0.324358892,0.332096016,0.369330055,0.364865735,0.039270488
Herodotus_Book1,NA,NA,NA,NA,NA,NA,0.249048233,0.035019299,0.033776343,0.226551278,0.035820537,0.035699667,0.392953016,0.035451365,0.037770703,0.038321046,0.03499194,0.407746844
Plutarch_Alcibiades,NA,NA,NA,NA,NA,NA,NA,0.093562911,0.091937454,0.403283904,0.093810656,0.096617067,0.255768903,0.096357998,0.10155627,0.103333012,0.093903345,0.282784074
Plutarch_Alcibiades_s-132_w-14,NA,NA,NA,NA,NA,NA,NA,NA,0.34602649,0.103858569,0.356107152,0.338054301,0.036374594,0.318178991,0.31530772,0.365126855,0.320393213,0.040896488
Plutarch_Alcibiades_s-295_w-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101488002,0.362496866,0.336866679,0.035226112,0.329462529,0.337651971,0.376952172,0.367963708,0.039902794
Plutarch_Lycurgus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104461942,0.106135763,0.233114983,0.107101406,0.112268007,0.114316683,0.104879038,0.255917666
Plutarch_Lycurgus_s-116_w-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338408136,0.036461806,0.325454657,0.329339186,0.353867012,0.328915737,0.041660548
Plutarch_Lycurgus_s-163_w-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037119229,0.35959073,0.34380037,0.339028297,0.304293869,0.042192919
Polybius_Book1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037130078,0.039462369,0.040016082,0.036035744,0.392024773
Polybius_Book_1_s-458_w-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383350339,0.331603745,0.292337452,0.041897872
Polybius_Book_1_s-560_w-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338672372,0.309551139,0.044871057
Thuc_Book_1_s-552_w-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33291314,0.045249058
Thuc_Book_1_s-586_w-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041233539
Thucydides_Book1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
