,Diod_Sic_Book_11_s-122_w-15,Diod_Sic_Book_11_s-168_w-6,Diod_Sic_Book_11_s-1_w-1,Diod_Sic_Book_11_s-207_w-63,Diod_Sic_Book_11_s-253_w-8,Diod_Sic_Book_11_s-285_w-13,Diod_Sic_Book_11_s-328_w-19,Diod_Sic_Book_11_s-367_w-39,Diod_Sic_Book_11_s-408_w-34,Diod_Sic_Book_11_s-40_w-8,Diod_Sic_Book_11_s-451_w-26,Diod_Sic_Book_11_s-489_w-2,Diod_Sic_Book_11_s-524_w-8,Diod_Sic_Book_11_s-564_w-22,Diod_Sic_Book_11_s-605_w-25,Diod_Sic_Book_11_s-642_w-38,Diod_Sic_Book_11_s-682_w-19,Diod_Sic_Book_11_s-726_w-8,Diod_Sic_Book_11_s-765_w-20,Diod_Sic_Book_11_s-807_w-26,Diod_Sic_Book_11_s-81_w-35,Diod_Sic_Book_11_s-846_w-16,Diod_Sic_Book_11_s-891_w-23,Diod_Sic_Book_11_s-935_w-4,Diod_Sic_Book_11_s-982_w-2,Hdt_Book_1_s-103_w-31,Hdt_Book_1_s-1045_w-21,Hdt_Book_1_s-1089_w-18,Hdt_Book_1_s-1143_w-9,Hdt_Book_1_s-1189_w-14,Hdt_Book_1_s-1237_w-2,Hdt_Book_1_s-1292_w-20,Hdt_Book_1_s-1333_w-56,Hdt_Book_1_s-1376_w-4,Hdt_Book_1_s-1440_w-6,Hdt_Book_1_s-1492_w-14,Hdt_Book_1_s-153_w-18,Hdt_Book_1_s-1542_w-11,Hdt_Book_1_s-1_w-1,Hdt_Book_1_s-201_w-37,Hdt_Book_1_s-259_w-13,Hdt_Book_1_s-308_w-27,Hdt_Book_1_s-353_w-24,Hdt_Book_1_s-400_w-5,Hdt_Book_1_s-450_w-23,Hdt_Book_1_s-503_w-13,Hdt_Book_1_s-51_w-14,Hdt_Book_1_s-546_w-27,Hdt_Book_1_s-598_w-6,Hdt_Book_1_s-647_w-25,Hdt_Book_1_s-697_w-4,Hdt_Book_1_s-743_w-4,Hdt_Book_1_s-787_w-14,Hdt_Book_1_s-837_w-7,Hdt_Book_1_s-887_w-5,Hdt_Book_1_s-943_w-17,Hdt_Book_1_s-993_w-11,Plutarch_Alcibiades_s-132_w-14,Plutarch_Alcibiades_s-175_w-2,Plutarch_Alcibiades_s-1_w-1,Plutarch_Alcibiades_s-214_w-4,Plutarch_Alcibiades_s-256_w-14,Plutarch_Alcibiades_s-295_w-2,Plutarch_Alcibiades_s-340_w-3,Plutarch_Alcibiades_s-373_w-12,Plutarch_Alcibiades_s-408_w-9,Plutarch_Alcibiades_s-45_w-6,Plutarch_Alcibiades_s-93_w-24,Plutarch_Lycurgus_s-116_w-28,Plutarch_Lycurgus_s-163_w-3,Plutarch_Lycurgus_s-1_w-1,Plutarch_Lycurgus_s-205_w-33,Plutarch_Lycurgus_s-253_w-17,Plutarch_Lycurgus_s-310_w-30,Plutarch_Lycurgus_s-351_w-16,Plutarch_Lycurgus_s-36_w-42,Plutarch_Lycurgus_s-396_w-2,Plutarch_Lycurgus_s-79_w-33,Polybius_Book_1_s-100_w-3,Polybius_Book_1_s-143_w-44,Polybius_Book_1_s-188_w-7,Polybius_Book_1_s-1_w-1,Polybius_Book_1_s-223_w-8,Polybius_Book_1_s-257_w-16,Polybius_Book_1_s-301_w-14,Polybius_Book_1_s-30_w-4,Polybius_Book_1_s-343_w-19,Polybius_Book_1_s-380_w-37,Polybius_Book_1_s-415_w-2,Polybius_Book_1_s-458_w-2,Polybius_Book_1_s-496_w-18,Polybius_Book_1_s-522_w-52,Polybius_Book_1_s-560_w-48,Polybius_Book_1_s-595_w-28,Polybius_Book_1_s-627_w-42,Polybius_Book_1_s-663_w-22,Polybius_Book_1_s-67_w-19,Polybius_Book_1_s-698_w-28,Polybius_Book_1_s-737_w-27,Polybius_Book_1_s-771_w-4,Polybius_Book_1_s-808_w-71,Polybius_Book_1_s-842_w-8,Polybius_Book_1_s-882_w-24,Polybius_Book_1_s-927_w-17,Polybius_Book_1_s-967_w-10,Thuc_Book_1_s-109_w-25,Thuc_Book_1_s-146_w-8,Thuc_Book_1_s-185_w-9,Thuc_Book_1_s-1_w-1,Thuc_Book_1_s-219_w-19,Thuc_Book_1_s-255_w-70,Thuc_Book_1_s-299_w-47,Thuc_Book_1_s-344_w-15,Thuc_Book_1_s-36_w-5,Thuc_Book_1_s-380_w-5,Thuc_Book_1_s-421_w-9,Thuc_Book_1_s-460_w-46,Thuc_Book_1_s-507_w-2,Thuc_Book_1_s-552_w-19,Thuc_Book_1_s-586_w-15,Thuc_Book_1_s-632_w-4,Thuc_Book_1_s-676_w-2,Thuc_Book_1_s-67_w-29,Thuc_Book_1_s-717_w-18,Thuc_Book_1_s-752_w-6,Thuc_Book_1_s-794_w-11,Thuc_Book_1_s-829_w-3,Thuc_Book_1_s-863_w-2,Thuc_Book_1_s-904_w-12
Diod_Sic_Book_11_s-122_w-15,NA,0.022970085,0.019417476,0.023433243,0.022163588,0.023466667,0.018646777,0.026344086,0.027159153,0.020320856,0.017003188,0.017432647,0.019118428,0.021401819,0.012624934,0.031453362,0.022838499,0.024864865,0.016613076,0.025177887,0.025066667,0.024298056,0.025862069,0.02907916,0.011158798,0.012585212,0.011658718,0.014300847,0.015360169,0.014721346,0.011006289,0.008844953,0.009921671,0.014300847,0.012054507,0.012048193,0.009921671,0.004508566,0.009885536,0.014240506,0.018987342,0.009921671,0.014705882,0.016842105,0.010493179,0.014752371,0.015806112,0.018401682,0.006845708,0.009865005,0.010983264,0.015255129,0.011542497,0.014188124,0.01369863,0.011548556,0.015822785,0.014652015,0.0125,0.016196447,0.008320333,0.01363398,0.018518519,0.00780437,0.015143603,0.009505703,0.01694018,0.008298755,0.007284079,0.01363398,0.01039501,0.012506514,0.011122881,0.01039501,0.010373444,0.0093361,0.013577023,0.0109375,0.009947644,0.018094731,0.014744602,0.004108885,0.02065678,0.015932023,0.016985138,0.0125,0.019354839,0.022811671,0.016833246,0.017515924,0.014195584,0.014752371,0.007898894,0.013248543,0.017857143,0.019118428,0.016358839,0.009849663,0.011452369,0.01363398,0.011997913,0.018104366,0.016264428,0.013684211,0.021264689,0.012493493,0.011530398,0.005149331,0.008826584,0.004632012,0.016850974,0.013185654,0.012156448,0.009854772,0.01141671,0.00987013,0.007280291,0.010405827,0.01254574,0.009389671,0.016324381,0.017048482,0.013034411,0.009345794,0.011954262,0.008337676,0.0109375,0.0109375,0.009771987
Diod_Sic_Book_11_s-168_w-6,NA,NA,0.027777778,0.031920748,0.021658743,0.031771675,0.029665588,0.026386645,0.028882834,0.023643203,0.02247191,0.023961661,0.028448739,0.027493261,0.014783527,0.032626427,0.023991276,0.02601626,0.027672273,0.026908292,0.021831736,0.017732402,0.024797844,0.024154589,0.01205857,0.011012061,0.013290803,0.015400956,0.014308426,0.014210526,0.012618297,0.012023001,0.015781168,0.01378579,0.013137152,0.013130252,0.012585212,0.000900901,0.005186722,0.00999474,0.015263158,0.009937238,0.014195584,0.016332982,0.017460317,0.017460317,0.012092534,0.022198732,0.007387863,0.009880395,0.008886566,0.022281167,0.012624934,0.016350211,0.015327696,0.010504202,0.012638231,0.013082156,0.011464304,0.015690377,0.007808433,0.021164021,0.022340426,0.014158364,0.017829051,0.006966434,0.018046709,0.0109375,0.011512297,0.014188124,0.011991658,0.011997913,0.012752391,0.0109375,0.009340944,0.013034411,0.009375,0.012539185,0.019587083,0.020299145,0.019607843,0.009829281,0.023404255,0.027434104,0.024638457,0.009360374,0.01883746,0.022304833,0.017395888,0.016463091,0.018508726,0.020700637,0.013793103,0.019220502,0.01521511,0.019691325,0.016384778,0.011966701,0.017838405,0.009942439,0.013605442,0.021948608,0.013095862,0.018538136,0.01901566,0.009880395,0.014210526,0.006195147,0.0109432,0.002572016,0.013137152,0.020212766,0.015400956,0.00987013,0.006725297,0.008835759,0.00363259,0.008844953,0.012035583,0.014705882,0.018498943,0.017618793,0.012526096,0.00622084,0.015143603,0.010989011,0.010954617,0.009375,0.008690929
Diod_Sic_Book_11_s-1_w-1,NA,NA,NA,0.022099448,0.020309995,0.019407008,0.03573392,0.02506812,0.019146608,0.02173913,0.019459459,0.016059957,0.021058315,0.030120482,0.016068559,0.024043716,0.028301887,0.023561644,0.021869874,0.019337017,0.01827957,0.028618602,0.026258206,0.022258415,0.009657594,0.013312034,0.01074691,0.021103896,0.018328841,0.010626993,0.011170213,0.011646374,0.013829787,0.015608181,0.009549072,0.012765957,0.019796683,0.005555556,0.005783386,0.013911182,0.014384656,0.010068892,0.016550988,0.013844515,0.014430786,0.011727079,0.01171459,0.020855615,0.006410256,0.007886435,0.009004237,0.015483182,0.013333333,0.011164274,0.016621984,0.01064396,0.01280683,0.013793103,0.012684989,0.010542963,0.009508716,0.014376997,0.012273212,0.009518773,0.015906681,0.007078507,0.015013405,0.011081794,0.010058232,0.011146497,0.010548523,0.011087645,0.015658747,0.012150026,0.011058452,0.010005266,0.011634056,0.011099366,0.012786361,0.016720604,0.012260128,0.007845188,0.015508021,0.020573904,0.020540541,0.013220518,0.021881838,0.021505376,0.015458422,0.021633315,0.016034206,0.019334049,0.017808958,0.01344809,0.017039404,0.018309101,0.018240343,0.011591149,0.013763896,0.013297872,0.015400956,0.020032485,0.018676628,0.017148982,0.022766079,0.012678288,0.01656868,0.006802721,0.009488666,0.004699739,0.014392324,0.016648765,0.013426423,0.006820567,0.012118019,0.011081794,0.005795574,0.007368421,0.012195122,0.011134677,0.013859275,0.014563107,0.011087645,0.007890584,0.013199578,0.009528851,0.011099366,0.011634056,0.011595803
Diod_Sic_Book_11_s-207_w-63,NA,NA,NA,NA,0.025959978,0.031850632,0.031404959,0.038333333,0.021523179,0.02750275,0.020697168,0.017259978,0.022863364,0.028618602,0.018368449,0.027593819,0.033688939,0.023153252,0.040336134,0.027466368,0.024496462,0.025400331,0.028697572,0.029152915,0.017889088,0.014484979,0.013557484,0.017915309,0.01955459,0.014492754,0.010160428,0.015508021,0.01827957,0.015159718,0.010689471,0.016657711,0.012292892,0.004677268,0.006885593,0.016189962,0.018299247,0.011211959,0.020496224,0.015021459,0.013978495,0.020562771,0.018338727,0.024851432,0.007534984,0.00740349,0.010678057,0.016675632,0.016146394,0.015037594,0.01618123,0.013426423,0.01671159,0.014423077,0.017094017,0.013297872,0.009569378,0.021586616,0.024456522,0.015524625,0.014925373,0.011726384,0.026186579,0.01981789,0.010660981,0.011758418,0.009544008,0.01547492,0.01465798,0.014925373,0.011128776,0.012214551,0.010632642,0.008488064,0.014500537,0.018488309,0.018898488,0.006305833,0.027218291,0.027991218,0.024576734,0.012227539,0.025414365,0.026086957,0.024350649,0.024004364,0.017780172,0.017808958,0.0146183,0.015184382,0.014973262,0.027899344,0.023887079,0.012738854,0.013851891,0.011758418,0.019313305,0.024070022,0.022090517,0.018358531,0.021167048,0.016,0.012861736,0.004729375,0.011695906,0.007376185,0.014484979,0.022282609,0.01461039,0.011671088,0.013269639,0.012765957,0.010655301,0.007415254,0.021540118,0.011205977,0.016129032,0.025795829,0.014392324,0.009009009,0.012208068,0.011205977,0.01657754,0.011708356,0.010549695
Diod_Sic_Book_11_s-253_w-8,NA,NA,NA,NA,NA,0.018392013,0.020073957,0.031016043,0.027434104,0.015279241,0.022751323,0.018324607,0.021613073,0.017414248,0.017268446,0.03002681,0.023706897,0.024064171,0.023504274,0.020496224,0.016762703,0.027896996,0.02724359,0.020624008,0.013547841,0.00931677,0.012605042,0.013095862,0.01787592,0.013520541,0.011948052,0.009798865,0.016129032,0.015756303,0.00879462,0.007747934,0.01244168,0.003542958,0.00564392,0.015159435,0.018267223,0.01244168,0.010880829,0.01508845,0.011440458,0.01038961,0.014590933,0.02462022,0.006253257,0.010288066,0.010351967,0.012993763,0.0140625,0.011941848,0.015682175,0.011960478,0.010914761,0.014507772,0.01185567,0.009768638,0.007201646,0.011923276,0.021008403,0.01242236,0.01185567,0.006870706,0.015175301,0.009773663,0.00669413,0.010351967,0.008735868,0.006153846,0.008895866,0.010813594,0.009235505,0.009763618,0.009268795,0.008230453,0.010373444,0.016842105,0.01459854,0.00509165,0.017782427,0.021141649,0.018421053,0.012377514,0.014300847,0.01990571,0.015608741,0.015207132,0.017763845,0.013548723,0.012572027,0.01471361,0.018740239,0.018927445,0.021533613,0.010791367,0.011861784,0.015080603,0.017133956,0.015781168,0.01399689,0.019392034,0.022172949,0.016563147,0.011941848,0.004587156,0.010819165,0.003564155,0.010362694,0.014644351,0.008868023,0.006656426,0.01338826,0.011334364,0.004622496,0.008226221,0.008767406,0.014537902,0.013520541,0.016341592,0.011861784,0.006666667,0.009758603,0.008776458,0.011351909,0.008230453,0.008588298
Diod_Sic_Book_11_s-285_w-13,NA,NA,NA,NA,NA,NA,0.025187567,0.032990806,0.026587086,0.024691358,0.026809651,0.022823779,0.028387788,0.02632993,0.020667727,0.030319437,0.030668127,0.025405405,0.029842648,0.022925764,0.0256,0.027612344,0.031960997,0.030727763,0.015503876,0.013641133,0.014338821,0.014830508,0.015889831,0.013116474,0.012591815,0.012526096,0.015748031,0.013220518,0.010989011,0.016298633,0.011500261,0.004504505,0.006217617,0.012631579,0.018977333,0.012029289,0.024920467,0.013102725,0.018498943,0.018498943,0.016332982,0.020537125,0.006312467,0.009859886,0.009921671,0.015781168,0.012598425,0.010994764,0.015295359,0.012073491,0.020116464,0.008840354,0.018324607,0.011960478,0.010416667,0.014690451,0.020127119,0.014128728,0.018858041,0.012063492,0.02071163,0.012493493,0.010432968,0.012035583,0.012493493,0.011972931,0.012725345,0.009865005,0.010368066,0.013534617,0.016221873,0.009880395,0.016859852,0.021890016,0.019027484,0.008247423,0.023898035,0.022982362,0.016436903,0.009865005,0.021540118,0.022799576,0.018967334,0.026766595,0.015789474,0.022281167,0.016454352,0.015392781,0.019989479,0.025093433,0.020116464,0.014575742,0.008298755,0.015756303,0.015167364,0.022447889,0.017322835,0.017960909,0.025266704,0.01459854,0.013648294,0.007220217,0.008822003,0.00514668,0.016307207,0.022884513,0.016445623,0.008803729,0.014568158,0.012493493,0.010954617,0.010400416,0.013068479,0.01787592,0.017386723,0.021936865,0.01144641,0.011440458,0.017232376,0.010966057,0.01304121,0.010931806,0.010314875
Diod_Sic_Book_11_s-328_w-19,NA,NA,NA,NA,NA,NA,NA,0.025876011,0.025013594,0.024232633,0.025806452,0.018567639,0.022447889,0.024771136,0.021831736,0.027642276,0.02852441,0.021621622,0.026044493,0.024698134,0.021321962,0.025488069,0.019881784,0.024193548,0.01559792,0.013157895,0.011158342,0.014885699,0.019743863,0.017989418,0.012105263,0.012572027,0.017414248,0.016506922,0.014225501,0.011554622,0.012605042,0.005444646,0.005194805,0.013749339,0.019047619,0.011542497,0.015822785,0.014218009,0.012124407,0.014799154,0.015856237,0.018997361,0.005274262,0.007272727,0.010487677,0.021773765,0.012644889,0.013164824,0.015889831,0.009458749,0.011591149,0.012041885,0.014659686,0.014121339,0.009399478,0.019037546,0.026203209,0.015247108,0.014659686,0.008259212,0.018617021,0.01572327,0.009942439,0.013144059,0.009375,0.009906152,0.012772751,0.012539185,0.010931806,0.01305483,0.014150943,0.009916493,0.011041009,0.021424746,0.020180563,0.007235142,0.018557794,0.026372443,0.021390374,0.010427529,0.021069692,0.023974427,0.014744602,0.019743863,0.013705851,0.014263074,0.016515717,0.017618793,0.014173228,0.018094731,0.023454158,0.012513034,0.011488251,0.014210526,0.021658743,0.02528241,0.01471361,0.016410799,0.02942841,0.015183246,0.017451084,0.005684755,0.014667365,0.00464636,0.014225501,0.015915119,0.017590618,0.007788162,0.00987526,0.010427529,0.005205622,0.007284079,0.01471361,0.020095188,0.019067797,0.023668639,0.010960334,0.009375,0.013048017,0.01472909,0.01255887,0.012029289,0.008705114
Diod_Sic_Book_11_s-367_w-39,NA,NA,NA,NA,NA,NA,NA,NA,0.028415301,0.023168103,0.023643203,0.018056293,0.023031601,0.024811219,0.019148936,0.031045752,0.034825871,0.032275711,0.026644916,0.033259424,0.021356113,0.032258065,0.022665947,0.025889968,0.020069808,0.011046817,0.013333333,0.019796683,0.024154589,0.015864622,0.013192612,0.011530398,0.018518519,0.017075774,0.011578947,0.021242698,0.014225501,0.002722323,0.004680187,0.018626929,0.01531151,0.013691417,0.020159151,0.017998941,0.018597237,0.014285714,0.016419492,0.025531915,0.007944915,0.008858781,0.013164824,0.020722635,0.02020202,0.017478814,0.01970181,0.011070111,0.013213531,0.012060829,0.018957346,0.01787592,0.017932489,0.019607843,0.026795284,0.014736842,0.018421053,0.006993007,0.018646777,0.013089005,0.011548556,0.012631579,0.011500261,0.013095862,0.014415376,0.010443864,0.011476265,0.013075314,0.015239096,0.011518325,0.018027572,0.018726592,0.025120257,0.005165289,0.028418231,0.024206563,0.029697624,0.010971787,0.025543478,0.028954424,0.029427501,0.025806452,0.027837259,0.018056293,0.022544283,0.02311828,0.022257552,0.02688172,0.02733119,0.008844953,0.012035583,0.025039957,0.019535375,0.029204976,0.015806112,0.0224,0.020798201,0.015739769,0.013720317,0.007257646,0.010449321,0.003615702,0.021796917,0.021367521,0.020889127,0.005186722,0.016238869,0.013089005,0.008368201,0.007820647,0.014736842,0.012618297,0.023441662,0.028138528,0.013626834,0.007287871,0.017857143,0.013150973,0.014705882,0.010460251,0.007621121
Diod_Sic_Book_11_s-408_w-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02506812,0.021656741,0.020967742,0.027144408,0.020054201,0.022078621,0.034197463,0.032869081,0.032026505,0.03601108,0.026125625,0.021012931,0.022416621,0.031318681,0.019480519,0.014991182,0.014925373,0.016747704,0.016146394,0.01722282,0.019282271,0.014941302,0.012175754,0.018152696,0.01396348,0.010079576,0.016542156,0.01544196,0.003693444,0.008961518,0.019903174,0.017084891,0.010598834,0.017084891,0.021995708,0.018230563,0.013340448,0.016034206,0.017581247,0.005869797,0.010005266,0.014909478,0.01982851,0.013326226,0.013851891,0.017158177,0.01171459,0.016595289,0.014861996,0.018056293,0.011070111,0.012711864,0.016533333,0.013888889,0.012725345,0.015898251,0.007073955,0.021024259,0.011075949,0.01005291,0.017618793,0.014285714,0.012684989,0.014008621,0.013213531,0.009458749,0.008407777,0.013771186,0.011627907,0.013859275,0.020562771,0.014957265,0.006788512,0.018766756,0.026115343,0.023293608,0.011075949,0.022428884,0.019849785,0.014909478,0.021069692,0.019839142,0.02537797,0.018898488,0.01344086,0.016489362,0.018299247,0.016051364,0.015327696,0.012150026,0.017618793,0.012705135,0.016172507,0.01487779,0.018776824,0.027428571,0.011603376,0.013312034,0.007326007,0.012150026,0.006799163,0.012765957,0.019375673,0.017789757,0.009463722,0.015856237,0.010010537,0.006852926,0.013227513,0.011652542,0.0176,0.020375335,0.020607375,0.014830508,0.007886435,0.011591149,0.00845666,0.012162877,0.011093502,0.011589404
Diod_Sic_Book_11_s-40_w-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020364416,0.017525226,0.018133333,0.022066738,0.018617021,0.021598272,0.021845986,0.018358531,0.023874118,0.019146608,0.020277481,0.02055165,0.022678186,0.02590394,0.012131716,0.014791337,0.011720831,0.015458422,0.020331728,0.012658228,0.019118428,0.012067156,0.019067797,0.015458422,0.011585045,0.014248021,0.012631579,0.004549591,0.005205622,0.012169312,0.014248021,0.009443861,0.015856237,0.01371308,0.011615628,0.018065887,0.01320655,0.017960909,0.005285412,0.010443864,0.011041009,0.011591149,0.013742072,0.010526316,0.013234516,0.010010537,0.013220518,0.013130252,0.011506276,0.012029289,0.011006289,0.018538136,0.014838368,0.014210526,0.014158364,0.005717916,0.0192,0.012565445,0.008905186,0.012638231,0.012035583,0.012572027,0.012260128,0.010449321,0.010427529,0.008333333,0.012054507,0.010994764,0.013199578,0.01547492,0.019138756,0.008817427,0.019138756,0.024219591,0.024731183,0.010977522,0.021668472,0.019670388,0.014775726,0.02306867,0.013199578,0.019148936,0.016008538,0.011164274,0.014203051,0.023592493,0.013756614,0.016255899,0.014165792,0.014240506,0.014721346,0.026443605,0.015279241,0.017525226,0.016806723,0.012029289,0.014263074,0.006217617,0.010983264,0.008307373,0.015327696,0.019743863,0.011146497,0.009379885,0.009895833,0.009921671,0.007318348,0.013641133,0.012611666,0.010498688,0.015873016,0.015508021,0.008872651,0.006243496,0.016264428,0.008909853,0.01471361,0.009937238,0.010376843
