"","Diod_Sic_Book_11_s-122_w-15","Diod_Sic_Book_11_s-168_w-6","Diod_Sic_Book_11_s-1_w-1","Diod_Sic_Book_11_s-207_w-63","Diod_Sic_Book_11_s-253_w-8","Diod_Sic_Book_11_s-285_w-13","Diod_Sic_Book_11_s-328_w-19","Diod_Sic_Book_11_s-367_w-39","Diod_Sic_Book_11_s-408_w-34","Diod_Sic_Book_11_s-40_w-8","Diod_Sic_Book_11_s-451_w-26","Diod_Sic_Book_11_s-489_w-2","Diod_Sic_Book_11_s-524_w-8","Diod_Sic_Book_11_s-564_w-22","Diod_Sic_Book_11_s-605_w-25","Diod_Sic_Book_11_s-642_w-38","Diod_Sic_Book_11_s-682_w-19","Diod_Sic_Book_11_s-726_w-8","Diod_Sic_Book_11_s-765_w-20","Diod_Sic_Book_11_s-807_w-26","Diod_Sic_Book_11_s-81_w-35","Diod_Sic_Book_11_s-846_w-16","Diod_Sic_Book_11_s-891_w-23","Diod_Sic_Book_11_s-935_w-4","Diod_Sic_Book_11_s-982_w-2","Hdt_Book_1_s-103_w-31","Hdt_Book_1_s-1045_w-21","Hdt_Book_1_s-1089_w-18","Hdt_Book_1_s-1143_w-9","Hdt_Book_1_s-1189_w-14","Hdt_Book_1_s-1237_w-2","Hdt_Book_1_s-1292_w-20","Hdt_Book_1_s-1333_w-56","Hdt_Book_1_s-1376_w-4","Hdt_Book_1_s-1440_w-6","Hdt_Book_1_s-1492_w-14","Hdt_Book_1_s-153_w-18","Hdt_Book_1_s-1542_w-11","Hdt_Book_1_s-1_w-1","Hdt_Book_1_s-201_w-37","Hdt_Book_1_s-259_w-13","Hdt_Book_1_s-308_w-27","Hdt_Book_1_s-353_w-24","Hdt_Book_1_s-400_w-5","Hdt_Book_1_s-450_w-23","Hdt_Book_1_s-503_w-13","Hdt_Book_1_s-51_w-14","Hdt_Book_1_s-546_w-27","Hdt_Book_1_s-598_w-6","Hdt_Book_1_s-647_w-25","Hdt_Book_1_s-697_w-4","Hdt_Book_1_s-743_w-4","Hdt_Book_1_s-787_w-14","Hdt_Book_1_s-837_w-7","Hdt_Book_1_s-887_w-5","Hdt_Book_1_s-943_w-17","Hdt_Book_1_s-993_w-11","Plutarch_Alcibiades_s-132_w-14","Plutarch_Alcibiades_s-175_w-2","Plutarch_Alcibiades_s-1_w-1","Plutarch_Alcibiades_s-214_w-4","Plutarch_Alcibiades_s-256_w-14","Plutarch_Alcibiades_s-295_w-2","Plutarch_Alcibiades_s-340_w-3","Plutarch_Alcibiades_s-373_w-12","Plutarch_Alcibiades_s-408_w-9","Plutarch_Alcibiades_s-45_w-6","Plutarch_Alcibiades_s-93_w-24","Plutarch_Lycurgus_s-116_w-28","Plutarch_Lycurgus_s-163_w-3","Plutarch_Lycurgus_s-1_w-1","Plutarch_Lycurgus_s-205_w-33","Plutarch_Lycurgus_s-253_w-17","Plutarch_Lycurgus_s-310_w-30","Plutarch_Lycurgus_s-351_w-16","Plutarch_Lycurgus_s-36_w-42","Plutarch_Lycurgus_s-396_w-2","Plutarch_Lycurgus_s-79_w-33","Polybius_Book_1_s-100_w-3","Polybius_Book_1_s-143_w-44","Polybius_Book_1_s-188_w-7","Polybius_Book_1_s-1_w-1","Polybius_Book_1_s-223_w-8","Polybius_Book_1_s-257_w-16","Polybius_Book_1_s-301_w-14","Polybius_Book_1_s-30_w-4","Polybius_Book_1_s-343_w-19","Polybius_Book_1_s-380_w-37","Polybius_Book_1_s-415_w-2","Polybius_Book_1_s-458_w-2","Polybius_Book_1_s-496_w-18","Polybius_Book_1_s-522_w-52","Polybius_Book_1_s-560_w-48","Polybius_Book_1_s-595_w-28","Polybius_Book_1_s-627_w-42","Polybius_Book_1_s-663_w-22","Polybius_Book_1_s-67_w-19","Polybius_Book_1_s-698_w-28","Polybius_Book_1_s-737_w-27","Polybius_Book_1_s-771_w-4","Polybius_Book_1_s-808_w-71","Polybius_Book_1_s-842_w-8","Polybius_Book_1_s-882_w-24","Polybius_Book_1_s-927_w-17","Polybius_Book_1_s-967_w-10","Thuc_Book_1_s-109_w-25","Thuc_Book_1_s-146_w-8","Thuc_Book_1_s-185_w-9","Thuc_Book_1_s-1_w-1","Thuc_Book_1_s-219_w-19","Thuc_Book_1_s-255_w-70","Thuc_Book_1_s-299_w-47","Thuc_Book_1_s-344_w-15","Thuc_Book_1_s-36_w-5","Thuc_Book_1_s-380_w-5","Thuc_Book_1_s-421_w-9","Thuc_Book_1_s-460_w-46","Thuc_Book_1_s-507_w-2","Thuc_Book_1_s-552_w-19","Thuc_Book_1_s-586_w-15","Thuc_Book_1_s-632_w-4","Thuc_Book_1_s-676_w-2","Thuc_Book_1_s-67_w-29","Thuc_Book_1_s-717_w-18","Thuc_Book_1_s-752_w-6","Thuc_Book_1_s-794_w-11","Thuc_Book_1_s-829_w-3","Thuc_Book_1_s-863_w-2","Thuc_Book_1_s-904_w-12"
"Diod_Sic_Book_11_s-122_w-15",NA,0.12,0.102774922918808,0.132385120350109,0.101058710298364,0.144527098831031,0.116615067079463,0.148959474260679,0.12817679558011,0.120638085742772,0.112549800796813,0.111557788944724,0.131182795698925,0.112953367875648,0.114488348530902,0.137665198237885,0.128378378378378,0.147058823529412,0.142694063926941,0.147465437788018,0.128898128898129,0.141280353200883,0.120085015940489,0.125806451612903,0.096875,0.0888030888030888,0.103413654618474,0.11005291005291,0.0941658137154555,0.101936799184506,0.128996692392503,0.0960960960960961,0.0908221797323136,0.125,0.0954676952748312,0.110441767068273,0.0911764705882353,0.0679933665008292,0.0767790262172285,0.104984093319194,0.100307062436029,0.10515873015873,0.119246861924686,0.123949579831933,0.105263157894737,0.111111111111111,0.0964102564102564,0.0910010111223458,0.0726415094339623,0.0907335907335907,0.113821138211382,0.106029106029106,0.0925373134328358,0.104771784232365,0.123778501628664,0.1029263370333,0.0941658137154555,0.0989330746847721,0.102272727272727,0.104228121927237,0.0874524714828897,0.109422492401216,0.112603305785124,0.0880681818181818,0.120307988450433,0.0831435079726651,0.122257053291536,0.0817084493964717,0.0859010270774977,0.103053435114504,0.0957923008057296,0.0943579766536965,0.106514994829369,0.0923507462686567,0.0886194029850746,0.0971153846153846,0.09689557855127,0.0884030418250951,0.0814393939393939,0.127725856697819,0.122199592668024,0.0599001663893511,0.103042198233562,0.125975473801561,0.115426105717368,0.082483781278962,0.0925373134328358,0.110562685093781,0.106045589692765,0.113936927772126,0.109073359073359,0.0956175298804781,0.103143418467584,0.103042198233562,0.0972495088408644,0.098703888334995,0.10990099009901,0.081468218442256,0.0909918107370337,0.102739726027397,0.0948434622467772,0.108519269776876,0.102983638113571,0.0911764705882353,0.135667396061269,0.0885275519421861,0.0915354330708661,0.0833333333333333,0.0819209039548023,0.0716204118173679,0.127049180327869,0.0909990108803165,0.094488188976378,0.0972354623450906,0.0874524714828897,0.0744101633393829,0.0819209039548023,0.0860927152317881,0.0852641334569045,0.0977295162882527,0.127523910733262,0.117578579743888,0.112016293279022,0.0910834132310642,0.0929332042594385,0.0928853754940712,0.0741410488245931,0.0854947166186359,0.098159509202454
"Diod_Sic_Book_11_s-168_w-6",0.12,NA,0.118626430801249,0.128400435255713,0.120234604105572,0.144220572640509,0.12448132780083,0.148633879781421,0.150731158605174,0.12938816449348,0.131445904954499,0.134083930399181,0.151912568306011,0.122002085505735,0.119918699186992,0.15,0.135746606334842,0.146726862302483,0.173099415204678,0.159117305458769,0.12396694214876,0.131004366812227,0.135483870967742,0.12433011789925,0.0982839313572543,0.115498519249753,0.112121212121212,0.113347457627119,0.0962128966223132,0.107361963190184,0.126234906695939,0.110323886639676,0.0927342256214149,0.101621621621622,0.0984555984555985,0.121457489878543,0.101778656126482,0.066006600660066,0.0950570342205323,0.100105374077977,0.116062176165803,0.0951913640824338,0.130801687763713,0.123689727463312,0.125133689839572,0.112024665981501,0.093973442288049,0.122533748701973,0.0857959961868446,0.0926640926640927,0.100200400801603,0.115062761506276,0.11336032388664,0.107995846313603,0.135815991237678,0.125385405960946,0.0928571428571429,0.0987415295256534,0.0927835051546392,0.101860920666014,0.0945558739255014,0.0980980980980981,0.128661087866109,0.0951474785918173,0.1,0.0829545454545455,0.138624338624339,0.0926966292134832,0.0938967136150235,0.0873239436619718,0.0936663693131133,0.0931134820562561,0.0938775510204082,0.0901486988847584,0.0966228893058161,0.10648596321394,0.0885368126747437,0.0986590038314176,0.0926456542502388,0.121649484536082,0.126530612244898,0.0731707317073171,0.120398009950249,0.126948775055679,0.129770992366412,0.0793357933579336,0.1,0.107072691552063,0.0993117010816126,0.106962663975782,0.11531007751938,0.104208416833667,0.108374384236453,0.120398009950249,0.101377952755906,0.105105105105105,0.125250501002004,0.0822898032200358,0.111008325624422,0.0929332042594385,0.104823747680891,0.11734693877551,0.0933333333333333,0.0996055226824458,0.130434782608696,0.0942883046237534,0.0902845927379784,0.0689956331877729,0.0920303605313093,0.0705357142857143,0.116514690982776,0.103896103896104,0.107355864811133,0.0908230842005676,0.0852272727272727,0.0752493200362647,0.0716945996275605,0.0628465804066543,0.0891364902506964,0.109561752988048,0.130851063829787,0.145238095238095,0.111788617886179,0.0919540229885057,0.0980582524271845,0.0948616600790514,0.0818181818181818,0.0853307766059444,0.0803212851405622
"Diod_Sic_Book_11_s-1_w-1",0.102774922918808,0.118626430801249,NA,0.123620309050773,0.0973709834469328,0.114616193480547,0.1198738170347,0.136563876651982,0.12682379349046,0.11144578313253,0.112234580384226,0.102226720647773,0.114101184068891,0.114978902953586,0.110769230769231,0.126385809312639,0.130884041331803,0.132954545454545,0.133640552995392,0.133101851851852,0.127637130801688,0.131256952169077,0.11866235167206,0.117136659436009,0.101286173633441,0.10547263681592,0.0830830830830831,0.107296137339056,0.0992685475444096,0.106029106029106,0.115171650055371,0.112487100103199,0.0859903381642512,0.119820828667413,0.0917073170731707,0.127329192546584,0.103726082578046,0.077319587628866,0.0719016083254494,0.111713665943601,0.0975103734439834,0.104733131923464,0.122601279317697,0.120212765957447,0.113146551724138,0.107291666666667,0.105042016806723,0.119072708113804,0.0748560460652591,0.0764023210831721,0.102145045965271,0.107936507936508,0.0875251509054326,0.10432033719705,0.11500547645126,0.111570247933884,0.0958333333333333,0.0962671905697446,0.0934223069590086,0.0961347869177403,0.0909970958373669,0.102249488752556,0.106471816283925,0.0968992248062016,0.0955109837631328,0.0898483080513419,0.116156282998944,0.0943755958055291,0.0862559241706161,0.0941402497598463,0.0923076923076923,0.0937808489634748,0.0900621118012422,0.0856067732831609,0.0910815939278937,0.0944498539435248,0.0829406220546654,0.111330049261084,0.0880077369439071,0.102061855670103,0.109406952965235,0.0734415029888984,0.105894105894106,0.127128263337117,0.125,0.0972354623450906,0.0996948118006104,0.110220440881764,0.0968063872255489,0.0955284552845529,0.10546875,0.0873493975903614,0.102691924227318,0.112562814070352,0.0945273631840796,0.0970677451971689,0.11178247734139,0.0768535262206148,0.106741573033708,0.0979228486646884,0.0902325581395349,0.100204498977505,0.0950533462657614,0.0927218344965105,0.120746432491767,0.1,0.112016293279022,0.0701598579040853,0.0947775628626693,0.0756608933454877,0.111909650924025,0.105906313645621,0.1082995951417,0.107421875,0.0963035019455253,0.0795559666975023,0.0863723608445297,0.0791984732824427,0.0845864661654135,0.0971943887775551,0.120171673819742,0.113341204250295,0.103696098562628,0.0830917874396135,0.0934119960668633,0.0911823647294589,0.0772769089236431,0.0976331360946746,0.0785714285714286
"Diod_Sic_Book_11_s-207_w-63",0.132385120350109,0.128400435255713,0.123620309050773,NA,0.113496932515337,0.124312431243124,0.13984461709212,0.150462962962963,0.131147540983607,0.102061855670103,0.128586609989373,0.113347457627119,0.130385487528345,0.108813928182807,0.120042872454448,0.141190198366394,0.152068126520681,0.148502994011976,0.175155279503106,0.148962148962149,0.135462555066079,0.131791907514451,0.126268320180383,0.128555176336746,0.111683848797251,0.0871327254305978,0.103594080338266,0.11685393258427,0.115511551155116,0.116430903155604,0.122827346465817,0.127982646420824,0.100303951367781,0.110854503464203,0.103061224489796,0.122863247863248,0.0873586844809866,0.0748175182481752,0.0672514619883041,0.111486486486486,0.112322791712105,0.0962732919254658,0.130289532293987,0.134078212290503,0.124293785310734,0.114130434782609,0.102173913043478,0.117903930131004,0.0670611439842209,0.0804020100502513,0.101587301587302,0.100327153762268,0.107218683651805,0.119733924611973,0.116173120728929,0.114930182599356,0.0997830802603037,0.0988786952089704,0.106786427145709,0.0998970133882595,0.0988900100908174,0.0982048574445618,0.131782945736434,0.100603621730382,0.109,0.0860606060606061,0.125966850828729,0.099009900990099,0.0905511811023622,0.0999000999000999,0.0955951265229616,0.0996916752312436,0.09375,0.0845481049562682,0.0934119960668633,0.096969696969697,0.0892156862745098,0.102123356926188,0.100202429149798,0.134213421342134,0.124597207303974,0.0590790616854909,0.131216931216931,0.120892018779343,0.139697322467986,0.0869140625,0.114316239316239,0.112266112266112,0.123940677966102,0.111111111111111,0.110659898477157,0.101159114857745,0.11482254697286,0.118200836820084,0.0993788819875776,0.107936507936508,0.117400419287212,0.0826291079812207,0.104247104247104,0.108583247156153,0.103112840466926,0.124593716143012,0.100908173562059,0.09865005192108,0.127293577981651,0.0973282442748092,0.0979166666666667,0.0865921787709497,0.086395233366435,0.0814393939393939,0.120042872454448,0.112526539278132,0.111461619348055,0.103726082578046,0.0933734939759036,0.0876685934489403,0.0885572139303483,0.0832507433102081,0.101678183613031,0.113804004214963,0.135440180586907,0.135508155583438,0.113856068743287,0.0906344410876133,0.0837537840565086,0.0993723849372385,0.0873320537428023,0.0913705583756345,0.0898395721925134
"Diod_Sic_Book_11_s-253_w-8",0.101058710298364,0.120234604105572,0.0973709834469328,0.113496932515337,NA,0.123138033763654,0.110459433040078,0.13360739979445,0.14240170031881,0.0907407407407407,0.100563909774436,0.106870229007634,0.128571428571429,0.0962099125364431,0.0928030303030303,0.139412997903564,0.130620985010707,0.134962805526036,0.131974248927039,0.147540983606557,0.106796116504854,0.125129265770424,0.132924335378323,0.120040691759919,0.08,0.0824175824175824,0.0908230842005676,0.0909990108803165,0.0871248789932236,0.100872938894277,0.0988786952089704,0.0953288846520496,0.0883424408014572,0.100719424460432,0.0769230769230769,0.0964083175803403,0.0726102941176471,0.0591805766312595,0.0524475524475524,0.0873015873015873,0.0824544582933845,0.082483781278962,0.101960784313725,0.12964824120603,0.104,0.0914340712223292,0.085024154589372,0.0936293436293436,0.0577264653641208,0.0705244122965642,0.0818438381937912,0.0971540726202159,0.0929791271347249,0.0917073170731707,0.103343465045593,0.0955109837631328,0.0756704980842912,0.0742081447963801,0.100271002710027,0.0748858447488584,0.0763701707097934,0.102687140115163,0.124254473161034,0.0926430517711172,0.0963096309630963,0.0737179487179487,0.103718199608611,0.0740088105726872,0.0798580301685892,0.087151841868823,0.0812182741116751,0.0846366145354186,0.079731027857829,0.0755048287971905,0.0663755458515284,0.0765765765765766,0.0786914235190097,0.0734109221128021,0.0659536541889483,0.0940499040307102,0.110470701248799,0.0531324345757335,0.113421550094518,0.123548046462513,0.121649484536082,0.0757042253521127,0.0960989533777355,0.0886426592797784,0.110056925996205,0.0953288846520496,0.128517823639775,0.0774976657329599,0.1,0.113421550094518,0.107852412488174,0.0885122410546139,0.113744075829384,0.0649789029535865,0.0867302688638335,0.104770813844715,0.101950354609929,0.101825168107589,0.0840108401084011,0.0785582255083179,0.121149897330595,0.0976460331299041,0.0828677839851024,0.0740740740740741,0.0769919427036705,0.0637755102040816,0.0959164292497626,0.0956439393939394,0.0927835051546392,0.0787824529991047,0.0841628959276018,0.0746527777777778,0.0712377560106857,0.0674955595026643,0.0859929078014184,0.09689557855127,0.113886113886114,0.125416204217536,0.0987535953978907,0.0915750915750916,0.0833333333333333,0.0953729933899906,0.0753246753246753,0.0882352941176471,0.0732635585156993
"Diod_Sic_Book_11_s-285_w-13",0.144527098831031,0.144220572640509,0.114616193480547,0.124312431243124,0.123138033763654,NA,0.125263157894737,0.153674832962138,0.148063781321185,0.131364562118126,0.125382262996942,0.123329907502569,0.149336283185841,0.135974304068522,0.126424870466321,0.146067415730337,0.143352601156069,0.144,0.150174621653085,0.163313609467456,0.139065817409766,0.130675526024363,0.122977346278317,0.131291028446389,0.0919175911251981,0.101778656126482,0.100303951367781,0.118790496760259,0.110410094637224,0.117154811715481,0.117127071823204,0.108606557377049,0.0983446932814021,0.114317425083241,0.0977517106549365,0.119877049180328,0.0794896957801766,0.0658783783783784,0.068609022556391,0.101713062098501,0.102803738317757,0.0955223880597015,0.129273504273504,0.146420824295011,0.121081081081081,0.121976866456362,0.102296450939457,0.110416666666667,0.0694576593720266,0.0823643410852713,0.0961538461538462,0.110993657505285,0.107142857142857,0.107368421052632,0.125550660792952,0.104294478527607,0.094300518134715,0.0926829268292683,0.0993314231136581,0.10009910802775,0.0916988416988417,0.0962512664640324,0.11882229232387,0.106134371957157,0.101435406698565,0.0906976744186047,0.140860215053763,0.0909090909090909,0.0952380952380952,0.10009624639076,0.0919747520288548,0.0934119960668633,0.103340292275574,0.0893697083725306,0.096958174904943,0.0940834141610087,0.0867106503298775,0.0863723608445297,0.0982490272373541,0.117708333333333,0.129668049792531,0.08147512864494,0.115461847389558,0.125282167042889,0.113413304252999,0.0958254269449715,0.110542476970317,0.126646403242148,0.124362895005097,0.130616509926855,0.137137137137137,0.108053007135576,0.112224448897796,0.122222222222222,0.116279069767442,0.11577868852459,0.119191919191919,0.081447963800905,0.0961182994454713,0.110667996011964,0.0959925442684063,0.104294478527607,0.0915221579961464,0.111111111111111,0.135105204872647,0.0976058931860037,0.093812375249501,0.0699115044247788,0.0891658676893576,0.0705244122965642,0.114871794871795,0.124871001031992,0.104522613065327,0.0984555984555985,0.0969932104752667,0.0872794800371402,0.0808753568030447,0.0934489402697495,0.0997150997150997,0.105633802816901,0.120855614973262,0.123368920521945,0.111225540679712,0.0932944606413994,0.0930460333006856,0.0984924623115578,0.0889712696941613,0.102665350444225,0.0882051282051282
"Diod_Sic_Book_11_s-328_w-19",0.116615067079463,0.12448132780083,0.1198738170347,0.13984461709212,0.110459433040078,0.125263157894737,NA,0.129067245119306,0.144632768361582,0.123867069486405,0.125888324873096,0.12846865364851,0.131094257854821,0.105809128630705,0.103030303030303,0.149103139013453,0.129545454545455,0.148401826484018,0.146651270207852,0.154205607476636,0.132352941176471,0.126234906695939,0.144420131291028,0.141758241758242,0.0998415213946117,0.0948191593352884,0.100908173562059,0.107446808510638,0.110994764397906,0.116545265348595,0.117711771177118,0.106924643584521,0.0946859903381643,0.119866814650388,0.1015625,0.121552604698672,0.091897233201581,0.0635451505016722,0.0763430725730443,0.105882352941176,0.1,0.101593625498008,0.117894736842105,0.121436114044351,0.119226638023631,0.102880658436214,0.100622406639004,0.116788321167883,0.0762631077216397,0.0861568247821878,0.113613101330604,0.104602510460251,0.10435663627153,0.110294117647059,0.12363238512035,0.115107913669065,0.100622406639004,0.0911736178467507,0.0946969696969697,0.0996055226824458,0.0986460348162476,0.0859140859140859,0.14331550802139,0.11972522080471,0.104106972301815,0.0939675174013921,0.108108108108108,0.0925401322001889,0.108445297504798,0.102785782901057,0.0896057347670251,0.108134920634921,0.0925925925925926,0.0838769804287046,0.0933962264150943,0.0894230769230769,0.0842696629213483,0.0859598853868195,0.092485549132948,0.106776180698152,0.105050505050505,0.0656565656565657,0.100591715976331,0.124579124579125,0.116430903155604,0.0691244239631336,0.0976837865055388,0.102665350444225,0.100297914597815,0.109183673469388,0.101351351351351,0.0865671641791045,0.108349900596421,0.114885114885115,0.11011011011011,0.109533468559838,0.0922473012757605,0.0762331838565022,0.109972041006524,0.103550295857988,0.101679104477612,0.112820512820513,0.0858778625954199,0.102794411177645,0.128148959474261,0.102209944751381,0.109879032258065,0.0907457322551662,0.0846007604562738,0.086837294332724,0.118852459016393,0.102719033232628,0.107321965897693,0.0990384615384615,0.0860420650095602,0.0808823529411765,0.0764150943396226,0.0888252148997135,0.101325757575758,0.109547738693467,0.150819672131148,0.144230769230769,0.116374871266735,0.098153547133139,0.0904669260700389,0.105740181268882,0.0885608856088561,0.0893203883495146,0.0933333333333333
"Diod_Sic_Book_11_s-367_w-39",0.148959474260679,0.148633879781421,0.136563876651982,0.150462962962963,0.13360739979445,0.153674832962138,0.129067245119306,NA,0.161137440758294,0.113052415210689,0.131440588853838,0.136606189967983,0.148863636363636,0.132675438596491,0.119450317124736,0.165687426556992,0.183497536945813,0.172289156626506,0.185185185185185,0.202770780856423,0.122448979591837,0.146651270207852,0.140765765765766,0.140589569160998,0.103505843071786,0.0990899898887765,0.110178384050367,0.115044247787611,0.107758620689655,0.105207226354942,0.126002290950745,0.0990615224191867,0.11336032388664,0.106575963718821,0.0993975903614458,0.134185303514377,0.0949948927477017,0.0787119856887299,0.0653218059558117,0.114699331848552,0.111827956989247,0.0937818552497452,0.120915032679739,0.129527991218441,0.123608017817372,0.120819848975189,0.0924548352816153,0.123376623376623,0.0745098039215686,0.0792864222001982,0.102403343782654,0.109544468546638,0.104493207941484,0.111834961997828,0.142528735632184,0.11558854718982,0.107758620689655,0.101917255297679,0.110781404549951,0.0995934959349594,0.0920792079207921,0.114164904862579,0.140969162995595,0.111334002006018,0.116302186878728,0.097708082026538,0.136413641364136,0.0955165692007797,0.0946341463414634,0.0996055226824458,0.0913284132841328,0.0850850850850851,0.111231101511879,0.0886319845857418,0.078544061302682,0.1,0.0986328125,0.099601593625498,0.0900990099009901,0.138344226579521,0.144552319309601,0.0721739130434783,0.144820295983087,0.138660399529965,0.149305555555556,0.0878378378378378,0.106806282722513,0.126819126819127,0.120959332638165,0.123667377398721,0.132924335378323,0.107740585774059,0.132984293193717,0.13166144200627,0.127882599580713,0.127523910733262,0.132075471698113,0.0876048462255359,0.116682738669238,0.119587628865979,0.125490196078431,0.134843581445523,0.101694915254237,0.105154639175258,0.127828054298643,0.107516650808754,0.113660062565172,0.080512351326624,0.102487562189055,0.0723562152133581,0.119450317124736,0.123809523809524,0.123819517313746,0.0979228486646884,0.0975124378109453,0.0854700854700855,0.0992063492063492,0.075801749271137,0.101364522417154,0.117954070981211,0.128318584070796,0.154522613065327,0.107481559536354,0.104733131923464,0.111338100102145,0.110531803962461,0.0820754716981132,0.1,0.0828092243186583
"Diod_Sic_Book_11_s-408_w-34",0.12817679558011,0.150731158605174,0.12682379349046,0.131147540983607,0.14240170031881,0.148063781321185,0.144632768361582,0.161137440758294,NA,0.127136752136752,0.136659436008677,0.132096069868996,0.159198113207547,0.119153674832962,0.13172338090011,0.140828402366864,0.149014778325123,0.153846153846154,0.166458072590738,0.174904942965779,0.132516703786192,0.148809523809524,0.145348837209302,0.149236192714454,0.112478031634446,0.105427974947808,0.0980810234541578,0.116173120728929,0.109877913429523,0.118232044198895,0.11957796014068,0.121311475409836,0.0983606557377049,0.129916567342074,0.106846473029046,0.117456896551724,0.111821086261981,0.0707635009310987,0.0897177419354839,0.0994350282485876,0.101861993428258,0.115261472785486,0.125984251968504,0.146620847651775,0.110985277463194,0.128348214285714,0.0964912280701754,0.125975473801561,0.0831643002028398,0.098343685300207,0.115092290988056,0.111731843575419,0.111231101511879,0.0969162995594714,0.135135135135135,0.12035010940919,0.106194690265487,0.104880581516096,0.11734693877551,0.111814345991561,0.109391124871001,0.103225806451613,0.131313131313131,0.112255406797116,0.111675126903553,0.101123595505618,0.119153674832962,0.105953582240161,0.0994974874371859,0.102434077079108,0.105263157894737,0.0965732087227414,0.0987925356750823,0.115384615384615,0.086053412462908,0.0994871794871795,0.0980980980980981,0.0912778904665314,0.0926680244399185,0.136312849162011,0.13019693654267,0.0654288240495137,0.121147715196599,0.151774785801714,0.123399301513388,0.089197224975223,0.123362445414847,0.121019108280255,0.109110169491525,0.125,0.135646687697161,0.101495726495726,0.114164904862579,0.125933831376734,0.120855614973262,0.119176598049837,0.112050739957717,0.0920421860019175,0.105675146771037,0.118393234672304,0.107814045499505,0.111834961997828,0.0956256358087487,0.0989473684210526,0.153571428571429,0.106134371957157,0.0912906610703043,0.0775700934579439,0.0942249240121581,0.0835734870317003,0.121871599564744,0.108252947481243,0.123922413793103,0.113168724279835,0.1059670781893,0.0783365570599613,0.08,0.0833333333333333,0.113131313131313,0.122712594187298,0.148148148148148,0.155642023346304,0.11195652173913,0.0975359342915811,0.104166666666667,0.106723585912487,0.101377952755906,0.104058272632674,0.101973684210526
"Diod_Sic_Book_11_s-40_w-8",0.120638085742772,0.12938816449348,0.11144578313253,0.102061855670103,0.0907407407407407,0.131364562118126,0.123867069486405,0.113052415210689,0.127136752136752,NA,0.1240234375,0.11328125,0.120743034055728,0.0927021696252465,0.107421875,0.113778705636743,0.108021390374332,0.106652587117212,0.121343445287107,0.113513513513514,0.122244488977956,0.111342351716961,0.121649484536082,0.115583075335397,0.0871491875923191,0.115163147792706,0.103213242453749,0.116494845360825,0.0920792079207921,0.110557768924303,0.11957671957672,0.100389863547758,0.0950605778191985,0.10515247108307,0.0985915492957746,0.117647058823529,0.0861742424242424,0.0677165354330709,0.0802919708029197,0.0946083418107833,0.1012909632572,0.101727447216891,0.112903225806452,0.126530612244898,0.11522633744856,0.118473895582329,0.0920792079207921,0.0976331360946746,0.0772769089236431,0.093984962406015,0.0854947166186359,0.098,0.0968992248062016,0.0870425321463897,0.106625258799172,0.110344827586207,0.115267947421638,0.0957746478873239,0.0980751604032997,0.0966824644549763,0.0927643784786642,0.0834932821497121,0.104373757455268,0.105607476635514,0.0851449275362319,0.0812294182217344,0.119191919191919,0.102022058823529,0.0931506849315069,0.09375,0.102541630148992,0.0944287063267233,0.0909090909090909,0.0984503190519599,0.0998168498168498,0.105362182502352,0.085972850678733,0.0826446280991736,0.0980392156862745,0.111111111111111,0.108292682926829,0.059967585089141,0.0997150997150997,0.123789020452099,0.103305785123967,0.0760966875559534,0.0874159462055716,0.105916030534351,0.0921177587844254,0.104696673189824,0.101489757914339,0.0830945558739255,0.104007633587786,0.0976303317535545,0.0993314231136581,0.107212475633528,0.0865475070555033,0.0809399477806789,0.0921169176262179,0.106768350810296,0.0890471950133571,0.0963035019455253,0.0966542750929368,0.0986590038314176,0.114345114345114,0.084938704028021,0.0916905444126074,0.0707587382779199,0.0853211009174312,0.0751091703056769,0.112855740922473,0.102812803103783,0.0903901046622265,0.107476635514019,0.0738377392889699,0.0855614973262032,0.0883164673413064,0.0853994490358127,0.0875451263537906,0.0987535953978907,0.119631901840491,0.0983425414364641,0.0963972736124635,0.0811808118081181,0.0992438563327032,0.0826210826210826,0.0881567230632235,0.0888681010289991,0.097029702970297
