"","a","b","score"
"1","Diod_Sic_Book_11_s-1_w-1","Diod_Sic_Book_11_s-765_w-20",0.0218698742482231
"2","Diod_Sic_Book_11_s-168_w-6","Diod_Sic_Book_11_s-328_w-19",0.0296655879180151
"3","Diod_Sic_Book_11_s-168_w-6","Diod_Sic_Book_11_s-524_w-8",0.0284487385936661
"4","Diod_Sic_Book_11_s-168_w-6","Hdt_Book_1_s-1292_w-20",0.0120230005227392
"5","Diod_Sic_Book_11_s-168_w-6","Polybius_Book_1_s-1_w-1",0.00982928091050181
"6","Diod_Sic_Book_11_s-168_w-6","Polybius_Book_1_s-595_w-28",0.0192205018686599
"7","Diod_Sic_Book_11_s-207_w-63","Polybius_Book_1_s-223_w-8",0.0272182906913446
"8","Diod_Sic_Book_11_s-207_w-63","Thuc_Book_1_s-67_w-29",0.0143923240938166
"9","Diod_Sic_Book_11_s-253_w-8","Polybius_Book_1_s-595_w-28",0.0147136100893326
"10","Diod_Sic_Book_11_s-285_w-13","Diod_Sic_Book_11_s-489_w-2",0.0228237791932059
"11","Diod_Sic_Book_11_s-285_w-13","Diod_Sic_Book_11_s-642_w-38",0.0303194369247428
"12","Diod_Sic_Book_11_s-285_w-13","Diod_Sic_Book_11_s-846_w-16",0.0276123443421765
"13","Diod_Sic_Book_11_s-285_w-13","Polybius_Book_1_s-223_w-8",0.0238980350504514
"14","Diod_Sic_Book_11_s-285_w-13","Polybius_Book_1_s-967_w-10",0.0252667040988209
"15","Diod_Sic_Book_11_s-328_w-19","Diod_Sic_Book_11_s-451_w-26",0.0258064516129032
"16","Diod_Sic_Book_11_s-328_w-19","Diod_Sic_Book_11_s-524_w-8",0.0224478888295029
"17","Diod_Sic_Book_11_s-328_w-19","Diod_Sic_Book_11_s-726_w-8",0.0216216216216216
"18","Diod_Sic_Book_11_s-328_w-19","Diod_Sic_Book_11_s-765_w-20",0.0260444926749864
"19","Diod_Sic_Book_11_s-328_w-19","Hdt_Book_1_s-1292_w-20",0.0125720272393924
"20","Diod_Sic_Book_11_s-328_w-19","Hdt_Book_1_s-743_w-4",0.0217737652681891
"21","Diod_Sic_Book_11_s-328_w-19","Polybius_Book_1_s-595_w-28",0.0176187933796049
"22","Diod_Sic_Book_11_s-367_w-39","Diod_Sic_Book_11_s-807_w-26",0.0332594235033259
"23","Diod_Sic_Book_11_s-367_w-39","Diod_Sic_Book_11_s-846_w-16",0.032258064516129
"24","Diod_Sic_Book_11_s-367_w-39","Hdt_Book_1_s-1_w-1",0.0046801872074883
"25","Diod_Sic_Book_11_s-367_w-39","Thuc_Book_1_s-676_w-2",0.0281385281385281
"26","Diod_Sic_Book_11_s-408_w-34","Polybius_Book_1_s-458_w-2",0.0210696920583468
"27","Diod_Sic_Book_11_s-451_w-26","Diod_Sic_Book_11_s-726_w-8",0.0316248636859324
"28","Diod_Sic_Book_11_s-489_w-2","Diod_Sic_Book_11_s-642_w-38",0.0257787325456498
"29","Diod_Sic_Book_11_s-489_w-2","Polybius_Book_1_s-223_w-8",0.0136196961760084
"30","Diod_Sic_Book_11_s-489_w-2","Polybius_Book_1_s-808_w-71",0.0140551795939615
"31","Diod_Sic_Book_11_s-489_w-2","Polybius_Book_1_s-967_w-10",0.0160753880266075
"32","Diod_Sic_Book_11_s-489_w-2","Thuc_Book_1_s-299_w-47",0.0147290899526565
"33","Diod_Sic_Book_11_s-524_w-8","Hdt_Book_1_s-1292_w-20",0.0109431995831162
"34","Diod_Sic_Book_11_s-524_w-8","Polybius_Book_1_s-595_w-28",0.0170122275385433
"35","Diod_Sic_Book_11_s-524_w-8","Thuc_Book_1_s-421_w-9",0.00829445308449974
"36","Diod_Sic_Book_11_s-564_w-22","Diod_Sic_Book_11_s-605_w-25",0.0186071238702818
"37","Diod_Sic_Book_11_s-564_w-22","Diod_Sic_Book_11_s-682_w-19",0.0394225430316491
"38","Diod_Sic_Book_11_s-564_w-22","Diod_Sic_Book_11_s-765_w-20",0.0294438386041439
"39","Diod_Sic_Book_11_s-564_w-22","Hdt_Book_1_s-51_w-14",0.0185774946921444
"40","Diod_Sic_Book_11_s-564_w-22","Hdt_Book_1_s-837_w-7",0.012118018967334
"41","Diod_Sic_Book_11_s-605_w-25","Diod_Sic_Book_11_s-682_w-19",0.0277626565051715
"42","Diod_Sic_Book_11_s-605_w-25","Hdt_Book_1_s-201_w-37",0.0104712041884817
"43","Diod_Sic_Book_11_s-605_w-25","Hdt_Book_1_s-51_w-14",0.0120292887029289
"44","Diod_Sic_Book_11_s-605_w-25","Hdt_Book_1_s-837_w-7",0.0109603340292276
"45","Diod_Sic_Book_11_s-605_w-25","Thuc_Book_1_s-299_w-47",0.0142030510257759
"46","Diod_Sic_Book_11_s-605_w-25","Thuc_Book_1_s-676_w-2",0.0142932768660667
"47","Diod_Sic_Book_11_s-642_w-38","Diod_Sic_Book_11_s-682_w-19",0.0389972144846797
"48","Diod_Sic_Book_11_s-642_w-38","Diod_Sic_Book_11_s-935_w-4",0.0321350762527233
"49","Diod_Sic_Book_11_s-642_w-38","Polybius_Book_1_s-223_w-8",0.0230192719486081
"50","Diod_Sic_Book_11_s-642_w-38","Polybius_Book_1_s-560_w-48",0.0171489817792069
"51","Diod_Sic_Book_11_s-642_w-38","Polybius_Book_1_s-663_w-22",0.0258760107816712
"52","Diod_Sic_Book_11_s-642_w-38","Polybius_Book_1_s-967_w-10",0.0307692307692308
"53","Diod_Sic_Book_11_s-682_w-19","Plutarch_Alcibiades_s-408_w-9",0.0136807817589577
